0	Index      	 *	Score 	Summary	Detail	
1	32632 33643	 * 	246.40	ACR|3ASPD|1BASARM|2BEXP|1DMG	178FEWX|2RCR|368ASPD|4RMIN|58BEXP|8BPWR|9BASARM|aDMG
2	32632 33642	   	226.34	ACR|3ASPD|1BASARM|2BEXP	178FEWX|2RCR|368ASPD|4RMIN|58BEXP|8BPWR|9BASARM|aLHND
3	32632 33641	   	226.24	ACR|3ASPD|1BASARM|2BEXP	178FEWX|2RCR|368ASPD|4RMIN|58BEXP|8BPWR|9BASARM|aERES
4	32325 35332	 * 	221.61	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1FEWX|2RCR|3LWND|4ASPD|5CGEN|6CDMG|7AART|8BEXP|9VULN|aBASARM
5	32325 55232	   	221.61	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1FEWX|2RCR|3LWND|4ASPD|5CGEN|6VULN|7BEXP|8CDMG|9AART|aBASARM
6	32615 35332	   	221.61	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3ASPD|4LHND|5CGEN|6CDMG|7AART|8BEXP|9VULN|aBASARM
7	32261 31132	   	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AART	1FEWX|2RCR|3TLV|4VULN|5ASPD|6CDMG|7LHND|8BEXP|9AART|aBASARM
8	32261 33332	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3TLV|4VULN|5ASPD|6CDMG|7BEXP|8LWND|9AART|aBASARM
9	32261 36132	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3TLV|4VULN|5ASPD|6CDMG|7LWND|8BEXP|9AART|aBASARM
10	32211 55232	   	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AART	1FEWX|2RCR|3TLV|4LHND|5ASPD|6VULN|7BEXP|8CDMG|9AART|aBASARM
11	32322 46232	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3LWND|4ASPD|5BEXP|6TLV|7VULN|8CDMG|9AART|aBASARM
12	32612 46232	   	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AART	1FEWX|2RCR|3ASPD|4LHND|5BEXP|6TLV|7VULN|8CDMG|9AART|aBASARM
13	32623 31432	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3ASPD|4ERES|5AART|6BEXP|7LWND|8CDMG|9VULN|aBASARM
14	32662 51232	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3ASPD|4AME|5BEXP|6VULN|7LWND|8CDMG|9AART|aBASARM
15	32662 53232	   	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AART	1FEWX|2RCR|3ASPD|4AME|5BEXP|6VULN|7LHND|8CDMG|9AART|aBASARM
16	32663 31432	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1FEWX|2RCR|3ASPD|4AME|5AART|6BEXP|7LWND|8CDMG|9VULN|aBASARM
17	62632 35332	   	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AART	1LHND|2RCR|3ASPD|4AME|5BEXP|6CDMG|7AART|8FEWX|9VULN|aBASARM
18	32252 26714	 * 	216.44	ACR|2BASARM|2DMG|1ASPD	19FEWX|2RCR|3TLV|4MBVNT|59BASARM|6DUST|7ERES|89DMG|9BPWR|aASPD
