0	Index      	 *	Score 	Summary	Detail	
1	41162 22512	 * 	233.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	1LWND|2RCR|36DMG|46ASPD|5NUKE|6BPWR|7DUR|8CDMG|9MBVNT|aBASARM
2	41161 22232	 * 	232.11	ACR|2VULN|2DMG|2AART|1ASPD|1CDMG	19LWND|2RCR|39DMG|4ASPD|5MBVNT|6CDMG|7aAART|89VULN|9BPWR
3	41121 23343	 * 	230.21	ACR|3DMG|2BEXP|1VULN|1ASPD|1AART	1LWND|2RCR|346DMG|56BEXP|6BPWR|7ASPD|8VULN|9MDPS|aAART
4	41412 23343	 * 	230.21	ACR|3ASPD|2BEXP|1VULN|1DMG|1AART	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7DMG|8VULN|9MDPS|aAART
5	41161 22231	   	230.08	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART|1CDMG	19LWND|2RCR|39DMG|4ASPD|5MBVNT|6CDMG|7AART|89VULN|9BPWR|aBEXP
6	41122 21313	 * 	229.20	ACR|3DMG|2ASPD|2BEXP|1AART	179LWND|2RCR|34aDMG|5AART|69ASPD|89BEXP|9BPWR
7	41122 11235	 * 	229.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	19LWND|2RCR|34DMG|5AART|69BEXP|79VULN|8RMIN|9BPWR|aASPD
8	41153 12632	   	229.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	19LWND|2RCR|39DMG|4AART|56VULN|7ASPD|89BEXP|9BPWR|aZMB
9	41153 12633	   	229.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	19LWND|2RCR|39DMG|4AART|56VULN|7ASPD|89BEXP|9BPWR|aFEWX
10	41121 23424	   	229.00	ACR|3DMG|2ASPD|2BEXP|1AART	1LWND|2RCR|346DMG|56BEXP|6BPWR|7aASPD|8AAC|9AART
11	41153 12622	   	225.87	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP|1CDMG	1LWND|2RCR|3DMG|4aAART|56VULN|7ASPD|8BEXP|9CDMG
12	32453 41111	 * 	225.40	ACR|1BASARM|2VULN|2DMG|1ASPD|1SELL	1AEMAG|2SELL|3RCR|4aDMG|5LWND|6ASPD|7aVULN|8BASARM|9aCGEN|aBPWR
13	41121 21263	 * 	225.37	ACR|3DMG|3BEXP|1VULN|1ASPD	1LWND|2RCR|346DMG|56aBEXP|6BPWR|7VULN|8FEWX|9ASPD
14	41121 21563	   	225.37	ACR|3DMG|3BEXP|1VULN|1ASPD	1LWND|2RCR|346DMG|56aBEXP|6BPWR|7VULN|8LHND|9ASPD
15	41121 21663	   	225.37	ACR|3DMG|3BEXP|1VULN|1ASPD	1LWND|2RCR|346DMG|56aBEXP|6BPWR|7VULN|8DUR|9ASPD
16	41412 21263	 * 	225.37	ACR|3ASPD|3BEXP|1VULN|1DMG	1LWND|2RCR|36aBEXP|456ASPD|6BPWR|7VULN|8FEWX|9DMG
17	41121 23313	   	225.27	ACR|3DMG|3BEXP|1VULN|1ASPD	1LWND|2RCR|346DMG|56aBEXP|6BPWR|7ASPD|8VULN|9DUST
18	41412 23313	   	225.27	ACR|3ASPD|3BEXP|1VULN|1DMG	1LWND|2RCR|36aBEXP|456ASPD|6BPWR|7DMG|8VULN|9DUST
19	41161 22237	   	224.74	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG|1AAC	19LWND|2RCR|39DMG|4ASPD|5MBVNT|6CDMG|7AART|89VULN|9BPWR|aAAC
20	41121 53312	 * 	224.13	ACR|1BASARM|2DMG|2BEXP|1CDMG	1LWND|2RCR|34DMG|59BEXP|6DUR|7CDMG|8LHND|aBASARM
21	41121 43312	   	224.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1LWND|2RCR|34DMG|59BEXP|6LEGI|7CDMG|8LHND|aBASARM
22	41121 21223	   	223.90	ACR|3DMG|2BEXP|1VULN|1AART|1CDMG	1LWND|2RCR|346DMG|56BEXP|6BPWR|7VULN|8FEWX|9AART|aCDMG
23	41412 21223	   	223.90	ACR|3ASPD|2BEXP|1VULN|1AART|1CDMG	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7VULN|8FEWX|9AART|aCDMG
24	41165 23123	 * 	223.62	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1LWND|2RCR|36DMG|46ASPD|5MDPS|6BPWR|78CDMG|9VULN|aBEXP
25	41121 21261	   	222.41	ACR|3DMG|2BEXP|1VULN|1ASPD|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7VULN|8FEWX|9ASPD|aAAC
26	41121 21561	   	222.41	ACR|3DMG|2BEXP|1VULN|1ASPD|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7VULN|8LHND|9ASPD|aAAC
27	41121 21661	   	222.41	ACR|3DMG|2BEXP|1VULN|1ASPD|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7VULN|8DUR|9ASPD|aAAC
28	41412 21261	   	222.41	ACR|3ASPD|2BEXP|1VULN|1DMG|1AAC	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7VULN|8FEWX|9DMG|aAAC
29	41121 23311	   	222.31	ACR|3DMG|2BEXP|1VULN|1ASPD|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7ASPD|8VULN|9DUST|aAAC
30	41121 23334	   	222.31	ACR|3DMG|2BEXP|1VULN|1ASPD|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7ASPD|8VULN|9MULARM|aAAC
31	41412 23311	   	222.31	ACR|3ASPD|2BEXP|1VULN|1DMG|1AAC	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7DMG|8VULN|9DUST|aAAC
32	41412 23334	   	222.31	ACR|3ASPD|2BEXP|1VULN|1DMG|1AAC	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7DMG|8VULN|9MULARM|aAAC
33	41161 28243	 * 	221.92	ACR|1BASARM|2ASPD|1DMG|2CDMG	1LWND|2RCR|3DMG|4aASPD|5MBVNT|67CDMG|8ZMB|9BASARM
34	41121 21623	   	220.24	ACR|3DMG|3BEXP|1VULN|1AART	1LWND|2RCR|346DMG|56aBEXP|6BPWR|7VULN|8DUR|9AART
35	41412 21623	   	220.24	ACR|3ASPD|3BEXP|1VULN|1AART	1LWND|2RCR|36aBEXP|456ASPD|6BPWR|7VULN|8DUR|9AART
36	41162 25133	 * 	219.21	ACR|3DMG|2ASPD|1VULN|1CDMG	1LWND|2RCR|367DMG|46ASPD|5NUKE|6BPWR|8VULN|9ERES|aCDMG
37	41121 25153	 * 	219.15	ACR|3DMG|2VULN|3BEXP	1LWND|2RCR|346DMG|56aBEXP|6BPWR|7RCVC|89VULN
38	41122 21616	   	218.57	ACR|2ASPD|2DMG|1VULN|1AART|1CDMG	17LWND|2RCR|34DMG|5AART|6aASPD|8CDMG|9VULN
39	41153 12335	 * 	218.53	ACR|2VULN|3DMG|1ASPD|1AART	19LWND|2RCR|39aDMG|4AART|56VULN|7ASPD|89DUR|9BPWR
40	41153 11336	 * 	218.45	ACR|3VULN|2AART|1DMG|1CDMG|1BEXP	1LWND|2RCR|3DMG|49AART|567VULN|8BEXP|aCDMG
41	41153 12235	   	218.33	ACR|2VULN|3DMG|1ASPD|1AART	19LWND|2RCR|39aDMG|4AART|56VULN|7ASPD|89DUST|9BPWR
42	41152 11332	   	217.99	ACR|2VULN|3BEXP|2DMG|1AART	178LWND|2RCR|39DMG|4AART|59aBEXP|69VULN|9BPWR
43	41162 25131	   	217.94	ACR|3DMG|2ASPD|1VULN|1BEXP	1LWND|2RCR|367DMG|46ASPD|5NUKE|6BPWR|8VULN|9ERES|aBEXP
44	41121 24214	   	217.65	ACR|3DMG|3BEXP|2VULN	1aLWND|2RCR|346DMG|56aBEXP|6aBPWR|7DUST|8FEWX|9aVULN
45	41121 26153	   	217.55	ACR|3DMG|2VULN|3BEXP	17LWND|2RCR|346DMG|56aBEXP|6BPWR|89VULN
46	41121 21222	   	217.28	ACR|3DMG|2BEXP|1VULN|1AART|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7VULN|8FEWX|9AART|aAAC
47	41121 21622	   	217.28	ACR|3DMG|2BEXP|1VULN|1AART|1AAC	1LWND|2RCR|346DMG|56BEXP|6BPWR|7VULN|8DUR|9AART|aAAC
48	41412 21222	   	217.28	ACR|3ASPD|2BEXP|1VULN|1AART|1AAC	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7VULN|8FEWX|9AART|aAAC
49	41412 21622	   	217.28	ACR|3ASPD|2BEXP|1VULN|1AART|1AAC	1LWND|2RCR|36BEXP|456ASPD|6BPWR|7VULN|8DUR|9AART|aAAC
50	41165 23111	 * 	217.27	ACR|2ASPD|2DMG|3CDMG|1VULN	1LWND|2RCR|36DMG|46ASPD|5MDPS|6BPWR|789CDMG|aVULN
