0	Index      	 *	Score 	Summary	Detail	
1	21161 21132	 * 	253.03	ACR|3AART|3BEXP|2ASPD|1VULN|1AAC	146BEXP|2RCR|39aAART|46BPWR|56ASPD|7AAC|8VULN
2	61123 53133	 * 	252.17	ACR|1BASARM|2VULN|1AART|1ASPD|1DMG|1BEXP	1DUR|2RCR|3AART|4aVULN|5LWND|6ASPD|7BEXP|8DMG|9BASARM
3	21161 24122	 * 	249.53	ACR|3BEXP|2ASPD|1VULN|1AART|1DMG|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9VULN|aDMG
4	61123 53136	   	246.84	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7BEXP|8DMG|9BASARM|aAAC
5	21161 24413	   	245.82	ACR|3BEXP|2ASPD|2AART|1VULN|1CDMG	146BEXP|2RCR|38AART|46BPWR|56ASPD|7CDMG|9AME|aVULN
6	21161 24423	   	245.82	ACR|3BEXP|2ASPD|2AART|1VULN|1CDMG	146BEXP|2RCR|38AART|46BPWR|56ASPD|7CDMG|9TLV|aVULN
7	21161 24412	 * 	244.12	ACR|3BEXP|2ASPD|2AART|1DMG|1CDMG	146BEXP|2RCR|38AART|46BPWR|56ASPD|7CDMG|9AME|aDMG
8	21161 24422	   	244.12	ACR|3BEXP|2ASPD|2AART|1DMG|1CDMG	146BEXP|2RCR|38AART|46BPWR|56ASPD|7CDMG|9TLV|aDMG
9	21613 24412	 * 	243.55	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78aVULN|8BPWR|9RCVC
10	21161 25351	 * 	243.50	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CGEN|8MLV|9BASARM|aFEWX
11	21161 25352	   	243.50	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CGEN|8MLV|9BASARM|aBELT
