0	Index      	 *	Score 	Summary	Detail	
1	23462 31352	 * 	209.50	ACR|3ASPD|4VULN|1AART|1CDMG	1AART|279ASPD|3RMIN|4RCR|5789VULN|679ERES|79BPWR|aCDMG
2	23464 21332	 * 	208.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1VULN	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8VULN|9BEXP|aDMG
3	23464 31332	   	208.71	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1VULN	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8VULN|9BEXP|aDMG
4	64215 33112	 * 	206.25	ACR|3ASPD|3BEXP|3VULN	1RMIN|249BEXP|39aASPD|5RCR|6FEWX|7aLWND|89aVULN|9aBPWR
5	23464 31222	 * 	205.61	ACR|1BASARM|2ASPD|1DMG|1AART	1AART|2aASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8DMG|9MDPS
6	23464 31233	 * 	205.61	ACR|1BASARM|2DMG|1ASPD|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8aDMG|9LEGI
7	23662 11216	   	202.20	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1VULN	1AART|2ASPD|3CGEN|4RCR|5VULN|6DUST|7BELT|8CDMG|9BASARM|aBEXP
8	23324 12323	 * 	201.83	DCR|3ASPD|1BASARM|2BEXP|1AART|1VULN	1AART|247ASPD|3MDPS|57BEXP|67CGEN|7BPWR|8VULN|9BASARM|aRCR
9	23464 21233	   	201.77	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9DMSP|aCDMG
10	23464 31232	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8DMG|9LEGI|aBEXP
11	23464 21132	 * 	200.57	ACR|1BASARM|2AART|1ASPD|1DMG	19AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8MLV|aDMG
12	23464 21223	   	200.47	ACR|1BASARM|2AART|1ASPD|1DMG	1aAART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9MDPS
13	34225 16213	 * 	199.10	ACR|2DMG|3VULN|2BEXP|1BASICY	149VULN|27RMIN|39DMG|5RCR|6MDPS|89BEXP|9BPWR|aBASICY
14	34225 35213	   	199.10	ACR|2DMG|3VULN|2BEXP|1BASICY	149VULN|2RMIN|39DMG|5RCR|6FEWX|7DUST|89BEXP|9BPWR|aBASICY
15	26343 12135	 * 	198.66	DCR|1BASARM|3VULN|1ASPD|1DMG|1BEXP|1AART	1AART|2RPLT|357VULN|4BEXP|6DMG|8BASARM|9ASPD|aRCR
16	23662 41333	   	197.78	ACR|2ASPD|3VULN|2BEXP|1AART	1AART|27ASPD|37CGEN|4RCR|578VULN|6RMIN|7BPWR|9aBEXP
17	23462 31351	   	195.85	ACR|3ASPD|4VULN|1AART	1AART|279ASPD|3RMIN|4RCR|5789VULN|679ERES|79BPWR|aDMSP
18	23462 31353	   	195.85	ACR|3ASPD|4VULN|1AART	1AART|279ASPD|3RMIN|4RCR|5789VULN|679ERES|79BPWR|aLWND
19	23663 14323	   	194.86	ACR|1BASARM|1ASPD|1DMG|1AART|1VULN	1AART|2ASPD|3CGEN|4RCR|5LWND|6DUST|7MDPS|8VULN|9BASARM|aDMG
20	64215 32312	   	194.32	ACR|3ASPD|3BEXP|2VULN	1RMIN|249BEXP|39aASPD|5RCR|6FEWX|7aVULN|89aDUR|9aBPWR
21	23662 51332	   	193.95	ACR|4VULN|2ASPD|1BEXP|1AART	1AART|27ASPD|3CGEN|4RCR|578aVULN|67ZMB|7BPWR|9BEXP
22	23662 35332	   	193.75	ACR|4VULN|2ASPD|1AART|1BEXP	1AART|27ASPD|3CGEN|4RCR|578aVULN|67ERES|7BPWR|9BEXP
23	23662 41311	 * 	192.75	ACR|4VULN|2ASPD|2AART	19AART|27ASPD|37CGEN|4RCR|578aVULN|6RMIN|7BPWR
24	23662 51311	   	192.75	ACR|4VULN|2ASPD|2AART	19AART|27ASPD|3CGEN|4RCR|578aVULN|67ZMB|7BPWR
25	23462 31311	   	192.55	ACR|4VULN|2ASPD|2AART	19AART|27ASPD|3RMIN|4RCR|578aVULN|67ERES|7BPWR
26	23662 35311	   	192.55	ACR|4VULN|2ASPD|2AART	19AART|27ASPD|3CGEN|4RCR|578aVULN|67ERES|7BPWR
27	26343 12134	 * 	192.39	1BASARM|4VULN|2ASPD|2BEXP|1DMG|1AART	1AART|2RPLT|357aVULN|4aBEXP|6DMG|8BASARM|9aASPD|aBPWR
28	23464 21133	 * 	191.96	ACR|1BASARM|3AART|1ASPD	19aAART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8MLV
29	21623 62136	 * 	191.20	DCR|1BASARM|2DMG|1ASPD|1CDMG|1AART|1VULN	1AART|2DUR|34DMG|5CDMG|6VULN|7MBVNT|8BASARM|9ASPD|aRCR
30	26521 32135	 * 	190.67	DCR|1BASARM|2DMG|2VULN|1ASPD|1AART	1AART|2RPLT|35DMG|4DUR|67VULN|8BASARM|9ASPD|aRCR
31	26531 32135	   	190.67	DCR|1BASARM|2DMG|2VULN|1ASPD|1AART	1AART|2RPLT|35DMG|4FEWX|67VULN|8BASARM|9ASPD|aRCR
32	64225 32313	 * 	189.90	ACR|3ASPD|2BEXP|1DMG|1VULN	1RMIN|29BEXP|349ASPD|5RCR|6FEWX|7VULN|89DUR|9BPWR|aDMG
33	23464 21333	   	188.65	ACR|1BASARM|1ASPD|1BEXP|1AART|1VULN	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8VULN|9BEXP|aFEWX
34	23464 31333	   	188.65	ACR|1BASARM|1ASPD|1BEXP|1AART|1VULN	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8VULN|9BEXP|aFEWX
35	23662 11212	   	188.55	ACR|1BASARM|1ASPD|1AART|1CDMG|1VULN	1AART|2ASPD|3CGEN|4RCR|5VULN|6DUST|7BELT|8CDMG|9BASARM|aLWND
36	23464 21331	   	188.55	ACR|1BASARM|1ASPD|1AART|1BEXP|1VULN	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8VULN|9BEXP|aERES
37	23464 31331	   	188.55	ACR|1BASARM|1ASPD|1BEXP|1AART|1VULN	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8VULN|9BEXP|aERES
38	23661 14322	   	188.45	ACR|1BASARM|1ASPD|1BEXP|1AART|1VULN	1AART|2ASPD|3CGEN|4RCR|5FEWX|6DUST|7MDPS|8VULN|9BASARM|aBEXP
39	23662 11211	   	188.45	ACR|1BASARM|1ASPD|1CDMG|1AART|1VULN	1AART|2ASPD|3CGEN|4RCR|5VULN|6DUST|7BELT|8CDMG|9BASARM|aERES
40	23662 11213	   	188.45	ACR|1BASARM|1ASPD|1CDMG|1AART|1VULN	1AART|2ASPD|3CGEN|4RCR|5VULN|6DUST|7BELT|8CDMG|9BASARM|aTLV
41	23662 11215	   	188.45	ACR|1BASARM|1ASPD|1CDMG|1AART|1VULN	1AART|2ASPD|3CGEN|4RCR|5VULN|6DUST|7BELT|8CDMG|9BASARM|aAME
42	23464 21231	   	188.12	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9DMSP|aDUR
43	23464 21213	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9AME|aCGEN
44	23464 21221	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9MDPS|aDUR
45	23464 21232	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9DMSP|aNUKE
46	23464 31211	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8DMG|9AME|aLHND
