0	Index      	 *	Score 	Summary	Detail	
1	64513 13132	 * 	207.36	ACR|2ASPD|3VULN|2CDMG|1AART|1AAC	18DUST|2RCR|349VULN|58CDMG|68ASPD|7AAC|8BPWR|aAART
2	64362 23121	 * 	201.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2RCR|35LIT|48BEXP|6AAC|7ERES|9ASPD|aBASARM
3	64361 23121	   	200.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2RCR|3LIT|48BEXP|5AEMAG|6AAC|7ERES|9ASPD|aBASARM
4	24325 14324	 * 	200.11	ACR|1BASARM|3BEXP|2ASPD|1DMG|1MSE	1MSE|2RCR|356BEXP|4MBVNT|78ASPD|9DMG|aBASARM
5	64315 31323	 * 	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3LIT|4DUR|5DMG|67FEWX|8BASARM|9ASPD|aBEXP
6	64315 32323	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3LIT|47DUR|5DMG|6FEWX|8BASARM|9ASPD|aBEXP
7	64316 31323	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3LIT|4DUR|5ASPD|67FEWX|8BASARM|9DMG|aBEXP
8	64316 32323	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3LIT|47DUR|5ASPD|6FEWX|8BASARM|9DMG|aBEXP
9	64423 21134	 * 	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	1DUST|2RCR|3aBEXP|4MBVNT|5CDMG|6MLV|7aLHND|8ASPD|9aDMG|aBPWR
10	64513 13112	   	195.43	ACR|2ASPD|2VULN|2CDMG|1AART|1AAC	18DUST|2RCR|34VULN|58CDMG|68ASPD|7AAC|8BPWR|9RCVC|aAART
11	64523 13132	   	195.43	ACR|2ASPD|2VULN|2CDMG|1AART|1AAC	18DUST|2RCR|39VULN|4DMSP|58CDMG|68ASPD|7AAC|8BPWR|aAART
12	64513 13131	   	193.71	ACR|2ASPD|3VULN|2CDMG|1AAC	18DUST|2RCR|349VULN|58CDMG|68ASPD|7AAC|8BPWR|aDUR
13	64423 34241	 * 	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1DUST|2RCR|3BEXP|4MBVNT|5CDMG|67VULN|8RMIN|9BASARM|aLHND
14	64423 34244	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1DUST|2RCR|3BEXP|4MBVNT|5CDMG|67VULN|8RMIN|9BASARM|aRCVC
15	64423 34242	   	191.31	ACR|1BASARM|2VULN|1BEXP|1CDMG	1DUST|2RCR|3BEXP|4MBVNT|5CDMG|67VULN|8RMIN|9BASARM|aTLV
16	64423 34243	   	191.31	ACR|1BASARM|2VULN|1BEXP|1CDMG	1aDUST|2RCR|3BEXP|4MBVNT|5CDMG|67VULN|8RMIN|9BASARM
17	64513 12123	   	188.92	ACR|2ASPD|2VULN|1BEXP|1CDMG|1AAC	1DUST|2RCR|34VULN|5CDMG|68ASPD|7MDPS|9BEXP|aAAC
18	64133 25131	   	186.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1DUST|2RCR|3MLV|49LIT|5DMG|6AAC|7BEXP|8RCVC|aBASARM
19	64133 25231	   	186.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1DUST|2RCR|3MLV|49LIT|5DMG|6AAC|7BEXP|8DMSP|aBASARM
20	64133 25121	   	186.16	ACR|1BASARM|1DMG|1BEXP|1AAC	19DUST|2RCR|3MLV|4LIT|5DMG|6AAC|7BEXP|8RCVC|aBASARM
21	64133 25221	   	186.16	ACR|1BASARM|1DMG|1BEXP|1AAC	19DUST|2RCR|3MLV|4LIT|5DMG|6AAC|7BEXP|8DMSP|aBASARM
22	64362 22321	   	186.16	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2RCR|35LIT|4BEXP|6AAC|7RCVC|8TLV|9ASPD|aBASARM
23	64343 32231	   	186.06	ACR|1BASARM|1DMG|1BEXP|1AAC	1DUST|2RCR|39LIT|4DMG|56ERES|7AAC|8BEXP|aBASARM
24	64361 22321	   	186.06	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2RCR|3LIT|4BEXP|5AEMAG|6AAC|7RCVC|8TLV|9ASPD|aBASARM
