0	Index      	 *	Score 	Summary	Detail	
1	11633 62333	 * 	215.20	ACR|2BASARM|3ASPD|1VULN	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7MLV|89BASARM|9BPWR|aVULN
2	11633 61333	 * 	211.98	ACR|2BASARM|3ASPD|1AART	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7ERES|89BASARM|9BPWR|aAART
3	11633 62362	 * 	204.82	ACR|1BASARM|2ASPD|1DMG|1VULN	1RMIN|2CGEN|36ASPD|4ZMB|5RCR|7MLV|8BASARM|9DMG|aVULN
4	11633 61362	   	204.72	ACR|1BASARM|2ASPD|1DMG|1VULN	1RMIN|2CGEN|36ASPD|4ZMB|5RCR|7ERES|8BASARM|9DMG|aVULN
5	25311 21415	 * 	204.49	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AIRHEL|23DUST|4VULN|5RCR|6DMG|7ASPD|8AART|9ERES|aBASARM
6	61643 22223	 * 	202.17	ACR|2DMG|2VULN|1AART|1ASPD|1AAC	1AAC|2aCGEN|3ASPD|4AART|5RCR|6aDMG|7LIT|8MLV|9aVULN|aBPWR
7	25411 21511	 * 	201.32	ACR|3ASPD|2BEXP|1DMG|1VULN	1AIRHEL|2DUST|34BEXP|5RCR|6DMG|789ASPD|aVULN
8	61643 21222	   	200.99	ACR|2DMG|1AART|1ASPD|1VULN|1BEXP|1AAC	1AAC|2CGEN|3ASPD|4AART|5RCR|69DMG|7FEWX|8BEXP|aVULN
9	21221 21415	   	199.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AIRHEL|2MLV|3BEXP|4CGEN|5RCR|6DMG|7ASPD|8AART|9ERES|aBASARM
10	21221 21455	   	199.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AIRHEL|2MLV|3BEXP|4CGEN|5RCR|6DMG|7ASPD|8AART|9AME|aBASARM
11	21211 21435	   	199.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AIRHEL|2MLV|3BEXP|4ERES|5RCR|6DMG|7ASPD|8AART|9TLV|aBASARM
12	21211 21455	   	199.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AIRHEL|2MLV|3BEXP|4ERES|5RCR|6DMG|7ASPD|8AART|9AME|aBASARM
13	23211 21435	   	199.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AIRHEL|2CGEN|3BEXP|4ERES|5RCR|6DMG|7ASPD|8AART|9TLV|aBASARM
14	23211 21455	   	199.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AIRHEL|2CGEN|3BEXP|4ERES|5RCR|6DMG|7ASPD|8AART|9AME|aBASARM
15	11633 62331	   	197.43	ACR|2BASARM|3ASPD	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7aMLV|89BASARM|9BPWR
16	11633 62332	   	197.43	ACR|2BASARM|3ASPD	1aRMIN|29CGEN|369ASPD|4ZMB|5RCR|7MLV|89BASARM|9BPWR
17	11633 62334	   	197.43	ACR|2BASARM|3ASPD	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7MLV|89BASARM|9BPWR|aFEWX
18	11633 61331	   	197.33	ACR|2BASARM|3ASPD	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7ERES|89BASARM|9BPWR|aMLV
19	11633 61332	   	197.33	ACR|2BASARM|3ASPD	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7ERES|89BASARM|9BPWR|aLWND
20	11633 61334	   	197.33	ACR|2BASARM|3ASPD	1RMIN|29CGEN|369ASPD|4ZMB|5RCR|7ERES|89BASARM|9BPWR|aFEWX
