0	Index      	 *	Score 	Summary	Detail	
1	61133 21322	 * 	245.33	ACR|2VULN|1BASARM|2ASPD|1BEXP|1AART	1RCR|28FEWX|3AART|48VULN|5CGEN|6BEXP|78ASPD|8BPWR|9ZMB|aBASARM
2	61133 31322	 * 	240.23	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AART	1RCR|28FEWX|3AART|48VULN|5CGEN|6ASPD|78BEXP|8BPWR|9ZMB|aBASARM
3	61114 51212	 * 	235.01	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1RCR|2aFEWX|38AART|4ASPD|5aDMG|6LWND|7BEXP|9aVULN|aBPWR
4	62314 21315	 * 	234.16	ACR|1BASARM|2ASPD|1DMG|1AART|1CDMG	1RCR|2ERES|3AART|4DUR|56ASPD|7MULARM|8CDMG|9DMG|aBASARM
5	61124 21315	   	234.16	ACR|1BASARM|2ASPD|1DMG|1AART|1CDMG	1RCR|2FEWX|3AART|4ERES|56ASPD|7MULARM|8CDMG|9DMG|aBASARM
6	65251 22111	 * 	233.94	ACR|3ASPD|2BEXP|1VULN|1DMG|1CDMG	1RCR|2RPLT|379ASPD|4CDMG|5aBEXP|6DMG|8VULN
7	61215 22116	 * 	233.79	ACR|3ASPD|2VULN|2BEXP|1DMG	1RCR|2aFEWX|3aBEXP|479ASPD|5MLV|6DMG|8aVULN|aBPWR
8	65251 22213	 * 	232.81	ACR|3ASPD|2DMG|1BEXP|1CDMG|1AART	1RCR|2RPLT|37aASPD|4CDMG|5BEXP|68DMG|9AART
9	66115 13231	   	231.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1RCR|2LWND|3AART|48ASPD|5RPLT|6BASARM|7CDMG|9VULN|aZMB
10	66115 13232	   	231.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1RCR|2LWND|3AART|48ASPD|5RPLT|6BASARM|7CDMG|9VULN|aMLV
11	66115 13233	   	231.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1RCR|2LWND|3AART|48ASPD|5RPLT|6BASARM|7CDMG|9VULN|aFEWX
12	61115 11134	   	230.42	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2FEWX|3AART|4ASPD|5RPLT|6BASARM|7BEXP|8ZMB|9CDMG|aDMG
13	61135 21132	   	230.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2FEWX|3AART|4VULN|5AAC|6BEXP|79ASPD|8AME|aBASARM
14	61135 31132	   	230.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2FEWX|3AART|4VULN|5AAC|69ASPD|7BEXP|8AME|aBASARM
15	61115 11125	 * 	229.95	ACR|3ASPD|1BASARM|1BEXP|1AART	1RCR|2FEWX|3AART|49aASPD|5RPLT|6BASARM|7BEXP|8ZMB
16	61621 11116	   	229.69	ACR|3ASPD|2VULN|2BEXP|1AART	1RCR|26aFEWX|3MDPS|456ASPD|6aBPWR|7AART|8aVULN|9aBEXP
17	61115 11135	   	227.94	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG	1RCR|2FEWX|3AART|4aASPD|5RPLT|6BASARM|7BEXP|8ZMB|9CDMG
18	61115 13363	   	227.94	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1RCR|2FEWX|3AART|49ASPD|5RPLT|6BASARM|7CGEN|8CDMG|aBEXP
19	66115 11132	   	227.94	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG	1RCR|2LWND|3AART|4aASPD|5RPLT|6BASARM|7BEXP|8ZMB|9CDMG
20	61111 11315	 * 	227.92	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2FEWX|35AART|4ASPD|6CGEN|7MULARM|8CDMG|9DMG|aBASARM
21	61111 41315	   	227.82	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2FEWX|35AART|4ASPD|6ERES|7MULARM|8CDMG|9DMG|aBASARM
22	61115 11412	 * 	227.41	ACR|2BASARM|2BEXP|1ASPD|1AART	1RCR|2aFEWX|3AART|4ASPD|5RPLT|6aBASARM|7aBEXP|8RCVC|9MDPS|aBPWR
23	61133 21313	 * 	226.91	ACR|3VULN|2ASPD|1BEXP|1AART|1CDMG	1RCR|28FEWX|3AART|489VULN|5CGEN|6BEXP|78ASPD|8BPWR|aCDMG
24	66212 13621	 * 	226.65	ACR|1BASARM|3BEXP|2ASPD	1RCR|2LWND|379BEXP|46ASPD|5MDPS|8LHND|aBASARM
25	62324 33513	 * 	226.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1RCR|2ERES|3AART|4ZMB|5FEWX|6CDMG|7VULN|8BASARM|9BEXP|aDMG
