0	Index      	 *	Score 	Summary	Detail	
1	13162 21461	 * 	243.04	橙4易伤3伤害2全技能	1额外掉落26全技能389伤害4589易伤789低血量敌人89序列升级a核
2	11253 31352	 * 	234.77	橙3易伤2伤害1全技能1攻速2时间	1额外掉落26a易伤3挖青4攻速5a时间7核8a伤害9全技能a序列升级
3	11651 21352	 * 	231.26	橙2易伤2伤害2攻速1全技能2时间	1额外掉落2a易伤3a时间45攻速6低血量敌人7核8a伤害9全技能a序列升级
4	13162 26261	   	226.99	橙3易伤3伤害2全技能	1额外掉落26全技能379伤害459易伤89低血量敌人9序列升级a核
5	11212 31352	   	225.04	橙3易伤2伤害1全技能2时间1策反	1额外掉落26a易伤3挖青4策反5a时间7核8a伤害9全技能a序列升级
6	11253 11352	 * 	221.99	橙2易伤2伤害1全技能1攻速3时间	1额外掉落2a易伤3挖青4攻速56a时间7核8a伤害9全技能a序列升级
7	11512 61352	   	219.90	橙3易伤2伤害1全技能1策反1时间	1额外掉落26a易伤3a最后敌人4策反5时间7核8a伤害9全技能a序列升级
8	11144 63254	 * 	218.59	橙4易伤2攻速3暴击	1额外掉落239a易伤4加一5a攻速67a暴击8核a序列升级
9	11551 21352	   	217.71	橙2易伤2伤害2攻速1全技能	1额外掉落2a易伤3a最后敌人45攻速6低血量敌人7核8a伤害9全技能a序列升级
10	15151 21352	   	217.71	橙2易伤2伤害2攻速1全技能	1额外掉落2a敌人爆炸3a易伤45攻速6低血量敌人7核8a伤害9全技能a序列升级
11	11251 21352	   	217.61	橙2易伤2伤害2攻速1全技能	1额外掉落2a易伤3挖青45攻速6a低血量敌人7核8a伤害9全技能a序列升级
12	11553 11352	   	217.04	橙2易伤2伤害1全技能1攻速2时间	1额外掉落2a易伤3a最后敌人4攻速56时间7核8a伤害9全技能a序列升级
13	11653 21352	   	217.04	橙2易伤2伤害1全技能1攻速2时间	1额外掉落2a易伤3a时间4攻速5双倍矿6低血量敌人7核8a伤害9全技能a序列升级
14	11144 62254	   	213.74	橙4易伤2攻速2暴击	1额外掉落239a易伤4加一5a攻速6a暴击7立即金币8核a序列升级
15	13132 14461	   	213.32	橙3易伤3伤害1全技能	1额外掉落2全技能389伤害489低血量敌人589易伤6双倍矿7立即金币89序列升级a核
