0	Index      	 *	Score 	Summary	Detail	
1	33665 11323	 * 	218.22	DCR|4VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|347aVULN|579CDMG|6RCR|7BPWR|8DMG
2	33665 11312	 * 	209.52	DCR|3VULN|2AART|1DMG|2CDMG|2DUR	17DUR|2aAART|347VULN|57CDMG|6RCR|7BPWR|8DMG|9RCVC
3	33665 11213	 * 	204.94	DCR|5VULN|1AART|2CDMG|2DUR	17DUR|2AART|3478aVULN|57CDMG|6RCR|7BPWR|9CGEN
4	33665 11223	   	204.84	DCR|5VULN|1AART|2CDMG|2DUR	17DUR|2AART|3478aVULN|57CDMG|6RCR|7BPWR|9ERES
5	33665 11322	   	204.12	DCR|3VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|347VULN|579CDMG|6RCR|7BPWR|8DMG|aCGEN
6	33645 11323	   	204.12	DCR|3VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|37aVULN|4DMSP|579CDMG|6RCR|7BPWR|8DMG
7	33665 11321	   	204.02	DCR|3VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|347VULN|579CDMG|6RCR|7BPWR|8DMG|aERES
8	33665 11212	 * 	203.56	DCR|4VULN|2AART|2CDMG|2DUR	17DUR|2aAART|3478VULN|57CDMG|6RCR|7BPWR|9CGEN
9	33665 11232	   	203.56	DCR|4VULN|2AART|2CDMG|2DUR	17DUR|2aAART|3478VULN|57CDMG|6RCR|7BPWR|9MLV
10	33665 11222	   	203.46	DCR|4VULN|2AART|2CDMG|2DUR	17DUR|2aAART|3478VULN|57CDMG|6RCR|7BPWR|9ERES
11	61126 12116	 * 	203.08	DCR|3VULN|3DMG|1AART|2ZMB	1MBVNT|278VULN|37ZMB|4AART|567DMG|7BPWR|9RCVC|aRCR
12	61126 12136	   	203.08	DCR|3VULN|3DMG|1AART|2ZMB	1MBVNT|278VULN|37ZMB|4AART|567DMG|7BPWR|9DMSP|aRCR
13	33665 11332	 * 	201.89	DCR|3VULN|1AART|1DMG|2CDMG|3DUR	17aDUR|2AART|347VULN|57CDMG|6RCR|7BPWR|8DMG|9MLV
14	61126 12431	   	201.07	DCR|3DMG|2VULN|1AART|2ZMB|1CDMG	1MBVNT|27VULN|37ZMB|4AART|567DMG|7BPWR|8CDMG|9RCVC|aRCR
15	65214 51442	 * 	200.92	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289DMG|389DUR|4LWND|5BEXP|6RCR|789VULN|89BPWR|aCDMG
16	64714 51442	   	200.92	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289DUR|389DMG|4LWND|5BEXP|6RCR|789VULN|89BPWR|aCDMG
17	65212 51442	   	200.82	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289DMG|389DUR|4LWND|5DUST|6RCR|789VULN|89BPWR|aCDMG
18	65244 51442	   	200.82	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289DMG|389DUR|4DUST|5LHND|6RCR|789VULN|89BPWR|aCDMG
19	64712 51442	   	200.82	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289DUR|389DMG|4LWND|5DUST|6RCR|789VULN|89BPWR|aCDMG
20	64744 51442	   	200.82	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289DUR|389DMG|4DUST|5LHND|6RCR|789VULN|89BPWR|aCDMG
21	61126 72431	 * 	198.95	DCR|2VULN|2DMG|3ZMB|1AART|1CDMG	1MBVNT|27VULN|367ZMB|4AART|57DMG|7BPWR|8CDMG|9RCVC|aRCR
22	61544 42442	 * 	198.84	ACR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|289VULN|3LEGI|4RCR|5FEWX|689DMG|789DUR|89BPWR|aCDMG
23	33665 11311	   	198.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	17DUR|2AART|347VULN|57CDMG|6RCR|7BPWR|8DMG|9RCVC|aBELT
24	33665 11331	   	198.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	17DUR|2AART|347VULN|57CDMG|6RCR|7BPWR|8DMG|9MLV|aLHND
25	33665 11333	   	198.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	17DUR|2AART|347VULN|57CDMG|6RCR|7BPWR|8DMG|9MLV|aBEXP
26	33665 11313	   	197.98	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	17DUR|2AART|347VULN|57CDMG|6RCR|7BPWR|8DMG|9RCVC|aERES
27	33533 61325	 * 	195.73	ACR|2DMG|1AART|3DUR|2ZMB|1CDMG|1FLTHEA	18aDUR|2AART|3RCR|4ASPD|5aZMB|6CDMG|7FLTHEA|9aDMG|aBPWR
