0	Index      	 *	Score 	Summary	Detail	
1	62366 12111	 * 	195.95	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|1DUR	1aDMG|2CGEN|3RPLT|4aVULN|5DUR|6CDMG|7RCR|8AART|9aASPD|aBPWR
2	62212 37443	 * 	194.43	DCR|3DMG|2VULN|1AART|2CDMG	178DMG|2CGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR|aAART
3	62231 72111	   	193.21	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	1aDMG|2CGEN|3MBVNT|4aVULN|5ZMB|6DUR|7RCR|8AART|9aASPD|aBPWR
4	62222 37443	   	191.33	DCR|3DMG|2VULN|1AART|2CDMG	178DMG|24CGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR|aAART
5	34436 31322	 * 	186.88	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1LHND|2CDMG|356VULN|4AART|79ASPD|8RCR|aDMG
6	63332 35362	   	186.72	DCR|3DMG|2VULN|1AART|1CDMG	13aDMG|2LWND|48VULN|5CGEN|6CDMG|7AART|9RCR
7	63333 35362	   	186.72	DCR|3DMG|2VULN|1AART|1CDMG	13aDMG|2LWND|48VULN|5MLV|6CDMG|7AART|9RCR
8	63312 35362	   	186.62	DCR|3DMG|2VULN|1AART|1CDMG	13aDMG|2LWND|4ERES|58VULN|6CDMG|7AART|9RCR
9	62231 12111	   	186.27	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2CGEN|3MBVNT|4aVULN|5ZMB|6BEXP|7RCR|8AART|9aASPD|aBPWR
10	62231 82111	   	186.27	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2CGEN|3MBVNT|4aVULN|5ZMB|6FEWX|7RCR|8AART|9aASPD|aBPWR
11	64281 12111	   	186.27	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2MLV|3MBVNT|4aVULN|5ZMB|6BEXP|7RCR|8AART|9aASPD|aBPWR
12	62536 12231	 * 	186.09	DCR|3VULN|3DMG|2CDMG	16aDMG|2aCGEN|3TLV|456VULN|6aBPWR|7RCVC|8aCDMG|9RCR
13	43323 21651	 * 	185.41	DCR|4VULN|3CDMG|1DMG|2DUR	17DUR|2DMSP|356CDMG|457aVULN|57BPWR|8RCR|9DMG
14	62273 23433	 * 	185.37	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67aVULN|7BPWR|8RCR|9AART
15	62274 43433	   	185.37	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67aVULN|7BPWR|8RCR|9AART
16	62633 12161	 * 	184.96	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|2DUR	1aDMG|2CGEN|3aDUR|4VULN|5RPLT|6CDMG|7RCR|8AART|9aZMB|aBPWR
17	62231 43375	 * 	184.42	DCR|3VULN|2DMG|1AART|2ZMB	17DMG|28CGEN|3MBVNT|467VULN|57ZMB|7BPWR|9AART|aRCR
18	62633 12111	   	183.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	1aDMG|2CGEN|3aDUR|4VULN|5RPLT|6CDMG|7RCR|8AART|9aASPD|aBPWR
19	61221 13434	   	183.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	16DMG|2RCVC|3ERES|4CGEN|56VULN|6BPWR|7AART|8ZMB|9CDMG|aRCR
20	61632 32834	   	182.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2RCVC|34VULN|5CDMG|6MBVNT|7ZMB|8AART|aRCR
21	61632 13212	   	182.65	DCR|3VULN|2DMG|1CDMG|2DUR	1aDMG|2RCVC|34aVULN|5CDMG|69DUR|7RCR|8aFEWX|aBPWR
22	32515 11251	   	182.27	DCR|3VULN|2DMG|1AART	1aLHND|2LWND|37aVULN|4AART|5CGEN|6RCR|8LIT|9aDMG|aBPWR
23	62212 37441	   	182.23	DCR|3DMG|2VULN|2CDMG|1ZMB	178DMG|2CGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR|aZMB
24	42323 21436	 * 	182.00	DCR|5VULN|3CDMG|3DUR	127DUR|257BPWR|356CDMG|4579aVULN|8RCR
25	62231 73433	   	181.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	17DMG|27CGEN|3MBVNT|4aVULN|5ZMB|67DUR|7BPWR|8RCR|9AART
26	61632 23352	   	181.76	DCR|3VULN|2DMG|2CDMG|2DUR	19DMG|2RCVC|349VULN|56CDMG|7CGEN|89DUR|9BPWR|aRCR
27	53352 23841	 * 	180.76	ACR|3DMG|1AART|1VULN|2CDMG	18MLV|2LWND|389DMG|4RCR|58CDMG|6MBVNT|7AART|8BPWR|aVULN
