0	Index      	 *	Score 	Summary	Detail	
1	53322 36241	 * 	199.63	ACR|3DMG|2VULN|3ZMB|2CDMG	178DMG|2aBEXP|3RCVC|47VULN|5RCR|67aZMB|7aBPWR|9aCDMG
2	53322 36243	 * 	195.24	ACR|3VULN|3DMG|2ZMB|1CDMG	178DMG|2BEXP|3RCVC|47aVULN|5RCR|67ZMB|7BPWR|9CDMG
3	24452 32221	 * 	193.94	ACR|4VULN|1AART|1DMG|2DUR|1ZMB	1MLV|2479VULN|34DUR|4BPWR|5RCR|6ZMB|8DMG|aAART
4	24452 23221	   	189.87	ACR|4VULN|1AART|1DMG|2DUR|1ASPD	1MLV|2469VULN|34DUR|4BPWR|5RCR|7ASPD|8DMG|aAART
5	56326 11312	 * 	189.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5aVULN|7AART|8VENICY|9CDMG
6	53322 36216	 * 	189.14	ACR|3DMG|2VULN|1AART|2ZMB	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9MLV|aAART
7	53322 36236	   	189.14	ACR|3DMG|2VULN|1AART|2ZMB	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9CGEN|aAART
8	53322 36421	 * 	189.04	ACR|3VULN|2DMG|1AART|2ZMB	17DMG|2BEXP|3RCVC|479VULN|5RCR|67ZMB|7BPWR|8TLV|aAART
9	53622 32243	   	187.48	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	168DMG|28BEXP|3RCR|4ZMB|5FEWX|78VULN|8BPWR|9ASPD|aCDMG
10	53432 13253	   	186.52	ACR|3DMG|2VULN|1AART|2DUR	189DMG|2BEXP|39DUR|4LHND|5RCR|6LWND|79VULN|9BPWR|aAART
11	44623 22221	   	186.18	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|279VULN|3RCR|4ZMB|5RCVC|6DUR|8DMG|aAART
12	44622 32121	 * 	185.85	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	17ASPD|289VULN|3RCR|4ZMB|5FEWX|6DMG|aAART
13	53632 32263	   	185.41	ACR|3VULN|3DMG|1DUR|1ASPD	168DMG|28BEXP|3RCR|4ASPD|5FEWX|789VULN|8BPWR|aDUR
14	43322 36221	 * 	185.10	ACR|3VULN|1AART|1DMG|2ZMB|2ASPD	17ASPD|2BEXP|3RCVC|479VULN|5RCR|67ZMB|7BPWR|8DMG|aAART
15	53322 13661	   	185.09	ACR|3VULN|2DMG|1AART|1ZMB	18DMG|2BEXP|3RCVC|478VULN|5RCR|68ERES|8BPWR|9ZMB|aAART
16	31616 26221	   	183.79	ACR|3VULN|1AART|1DMG|2ZMB|2DUR	1RMIN|2RCVC|379VULN|47ZMB|5RCR|67DUR|7BPWR|8DMG|aAART
17	32616 26221	   	183.79	ACR|3VULN|1AART|1DMG|2ZMB|2DUR	12RMIN|379VULN|47ZMB|5RCR|67DUR|7BPWR|8DMG|aAART
18	24452 13221	   	182.83	ACR|4VULN|1AART|1DMG|2DUR	1MLV|2479VULN|34DUR|4BPWR|5RCR|6ERES|8DMG|aAART
19	31636 26221	   	182.48	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	1RMIN|2RCVC|379VULN|47ASPD|5RCR|67DUR|7BPWR|8DMG|aAART
20	32636 26221	   	182.48	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	12RMIN|379VULN|47ASPD|5RCR|67DUR|7BPWR|8DMG|aAART
21	54613 22121	   	182.34	ACR|4VULN|1AART|1DMG|1DUR	1DMG|2689VULN|3RCR|45FEWX|7DUR|aAART
22	63322 22562	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	1FEWX|29aDMG|3RCVC|46VULN|5RCR|7DUR|8AART
23	62233 12525	 * 	181.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17FEWX|2LIT|37VULN|4CDMG|58DMG|67DUR|7BPWR|9RCR|aAART
24	63622 22241	   	181.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78VULN|8BPWR|9TLV|aAART
25	54623 22231	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|27VULN|3RCR|4ZMB|5RCVC|6DUR|9CGEN|aAART
26	53322 36633	   	181.03	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	17DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8LSRICY|9AART|aDUR
27	53322 36225	   	179.82	ACR|3DMG|2VULN|2ZMB|1DUR|1ASPD	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9DUR|aASPD
28	53322 36242	   	179.59	ACR|3DMG|2VULN|2ZMB|1CDMG	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9CDMG|aFEWX
