0	Index      	 *	Score 	Summary	Detail	
1	31261 43112	 * 	198.19	DCR|3VULN|3CDMG|1AART|1DMG|3DUR|1SELL	178VULN|257DUR|3SELL|457CDMG|57BPWR|6AART|9RCR|aDMG
2	33631 32635	 * 	192.96	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	134VULN|2TLV|56DMG|7CDMG|8AART|9RCR|aDUR
3	31261 43111	 * 	192.23	DCR|4VULN|3CDMG|1AART|3DUR|1SELL	178aVULN|257DUR|3SELL|457CDMG|57aBPWR|6AART|9RCR
4	32221 37366	   	189.37	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	158VULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|9CDMG|aAART
5	33631 31326	 * 	187.45	DCR|4VULN|2DMG|1CDMG|1ASPD	1349VULN|2TLV|56DMG|7RCR|8ASPD|aCDMG
6	33662 31326	   	187.45	DCR|4VULN|2DMG|1CDMG|1ASPD	1359VULN|2TLV|46DMG|7RCR|8ASPD|aCDMG
7	34652 22233	 * 	187.38	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1FLTHEA	13VULN|29ZMB|4CDMG|5DMG|6RCR|7LIT|8FLTHEA|aAART
8	34652 21131	   	186.86	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	139VULN|2ZMB|4CDMG|57DMG|6RCR|8DMSP|aDUR
9	34652 21231	   	186.86	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	139VULN|2ZMB|4CDMG|57DMG|6RCR|8RCVC|aDUR
10	33631 31321	 * 	186.63	DCR|5VULN|2DMG|1ASPD	1349aVULN|2TLV|56DMG|7RCR|8ASPD
11	33662 31321	   	186.63	DCR|5VULN|2DMG|1ASPD	1359aVULN|2TLV|46DMG|7RCR|8ASPD
12	34652 21132	 * 	186.23	DCR|3VULN|2DMG|2CDMG|1ZMB	139VULN|2ZMB|4aCDMG|57DMG|6RCR|8DMSP
13	34652 21232	   	186.23	DCR|3VULN|2DMG|2CDMG|1ZMB	139VULN|2ZMB|4aCDMG|57DMG|6RCR|8RCVC
14	34652 21332	   	186.13	DCR|3VULN|2DMG|2CDMG|1ZMB	139VULN|2ZMB|4aCDMG|57DMG|6RCR|8ERES
15	33631 32631	   	186.02	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|2TLV|56DMG|7CDMG|8AART|9RCR|aLHND
16	33631 32634	   	186.02	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|2TLV|56DMG|7CDMG|8AART|9RCR|aBELT
17	33631 32636	   	186.02	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|2TLV|56DMG|7CDMG|8AART|9RCR|aRCVC
