0	Index      	 *	Score 	Summary	Detail	
1	13133 12662	 * 	226.64	ACR|3VULN|3DMG|1AART|2ASPD|1CDMG	15aVULN|2AART|3RCR|47aDMG|6CDMG|8CANSTR|9aASPD|aBPWR
2	13133 11662	 * 	225.09	ACR|4VULN|2DMG|1AART|2ASPD|1CDMG	157aVULN|2AART|3RCR|4aDMG|6CDMG|8CANSTR|9aASPD|aBPWR
3	13133 12131	 * 	219.79	ACR|3VULN|2AART|2DMG|1CDMG|1ZMB	158VULN|2aAART|3RCR|47DMG|6CDMG|9ZMB
4	13313 33211	 * 	217.96	DCR|4VULN|2DMG|1AART|2ASPD	159aVULN|2AART|3aASPD|4DUR|6RCR|7VENICY|8aDMG|aBPWR
5	13163 55211	   	217.06	ACR|4VULN|2DMG|1AART|2DUR	149aVULN|2AART|3RCR|5aDUR|6CANSTR|7ASPD|8aDMG|aBPWR
6	13443 33211	   	216.64	DCR|4VULN|2DMG|1AART|2DUR	159aVULN|2AART|3aDUR|4ASPD|6RCR|7VENICY|8aDMG|aBPWR
7	13133 11131	 * 	216.30	ACR|4VULN|2AART|1DMG|1CDMG|1ZMB	1578VULN|2aAART|3RCR|4DMG|6CDMG|9ZMB
8	13164 26312	   	215.93	ACR|4VULN|2DMG|1AART|1ZMB	1478VULN|2AART|3RCR|57LIT|67DMG|7BPWR|9ZMB|aASPD
9	13133 12111	   	215.72	ACR|3VULN|2AART|2DMG|1CDMG	158VULN|2aAART|3RCR|47DMG|6CDMG|9ASPD
10	13136 11662	   	213.79	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	17aVULN|2AART|3RCR|4aDMG|5RCVC|6CDMG|8CANSTR|9aASPD|aBPWR
11	13136 12662	   	213.79	ACR|3DMG|2VULN|1AART|2ASPD|1CDMG	1aVULN|2AART|3RCR|47aDMG|5RCVC|6CDMG|8CANSTR|9aASPD|aBPWR
12	13164 26112	   	213.28	ACR|3VULN|2AART|2DMG|1ZMB	147VULN|28AART|3RCR|57LIT|67DMG|7BPWR|9ZMB|aASPD
13	13143 11131	   	212.24	ACR|4VULN|2AART|1DMG|1CDMG	1578VULN|2aAART|3RCR|4ASPD|6CDMG|9DMG
14	13133 11111	   	212.24	ACR|4VULN|2AART|1DMG|1CDMG	1578VULN|2aAART|3RCR|4DMG|6CDMG|9ASPD
15	13133 12534	   	211.21	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8DUR|aASPD
16	13133 13534	   	211.21	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|48DMG|6CDMG|7DUR|aASPD
17	13164 21313	 * 	210.62	ACR|5VULN|2DMG|1AART	1489aVULN|2AART|3RCR|5LIT|6aDMG|7aLSRREG|aBPWR
18	13133 12135	   	209.64	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	158VULN|2AART|3RCR|47DMG|6CDMG|9ZMB|aRCVC
19	13313 33251	   	209.15	DCR|3VULN|2DMG|1AART|2ASPD|2DUR	15aVULN|2AART|3aASPD|49DUR|6RCR|7VENICY|8aDMG|aBPWR
20	13164 26313	   	208.99	ACR|4VULN|2DMG|1AART|1ZMB	1478VULN|2AART|3RCR|57LIT|67DMG|7BPWR|9ZMB|aDMSP
21	13164 26311	   	208.89	ACR|4VULN|2DMG|1AART|1ZMB	1478VULN|2AART|3RCR|57LIT|67DMG|7BPWR|9ZMB|aERES
22	13133 12411	   	208.78	ACR|3VULN|2AART|2DMG|1CDMG	159VULN|2aAART|3RCR|47DMG|6CDMG|8CGEN
23	13133 12331	 * 	208.41	ACR|3AART|2VULN|2DMG|1CDMG|1ZMB	15VULN|28aAART|3RCR|47DMG|6CDMG|9ZMB
24	13133 12132	   	208.34	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	158VULN|2AART|3RCR|47DMG|6CDMG|9ZMB|aFEWX
25	13133 12133	   	208.24	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	158VULN|2AART|3RCR|47DMG|6CDMG|9ZMB|aDUST
26	13133 12136	   	208.24	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	158VULN|2AART|3RCR|47DMG|6CDMG|9ZMB|aERES
27	13133 13334	   	207.73	ACR|4VULN|1AART|1DMG|1CDMG	1589VULN|2AART|3RCR|4DMG|6CDMG|7DUR|aASPD
28	13133 11534	   	207.73	ACR|4VULN|1AART|1DMG|1CDMG	1579VULN|2AART|3RCR|4DMG|6CDMG|8DUR|aASPD
29	13136 12131	   	206.94	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	18VULN|2aAART|3RCR|47DMG|5RCVC|6CDMG|9ZMB
30	13244 21315	 * 	206.78	DCR|3VULN|3DMG|1AART|2ZMB	178VULN|2AART|37ZMB|4CGEN|5LIT|67aDMG|7BPWR|9RCR
31	13316 33211	   	206.66	DCR|3VULN|2DMG|1AART|2ASPD	19aVULN|2AART|3aASPD|4DUR|5RCVC|6RCR|7VENICY|8aDMG|aBPWR
32	13133 11331	 * 	206.47	ACR|3VULN|3AART|1DMG|1CDMG|1ZMB	157VULN|28aAART|3RCR|4DMG|6CDMG|9ZMB
33	13443 33251	 * 	206.36	DCR|3VULN|2DMG|1AART|3DUR	15aVULN|2AART|39aDUR|4ASPD|6RCR|7VENICY|8aDMG|aBPWR
34	13164 26113	   	206.34	ACR|3VULN|2AART|2DMG|1ZMB	147VULN|28AART|3RCR|57LIT|67DMG|7BPWR|9ZMB|aDMSP
35	13164 26111	   	206.24	ACR|3VULN|2AART|2DMG|1ZMB	147VULN|28AART|3RCR|57LIT|67DMG|7BPWR|9ZMB|aERES
36	13133 11135	   	206.16	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	1578VULN|2AART|3RCR|4DMG|6CDMG|9ZMB|aRCVC
37	13433 32265	   	205.86	DCR|3VULN|3DMG|1AART	157VULN|2AART|3DUR|49aDMG|6RCR|8LHND
38	13433 32365	   	205.76	DCR|3VULN|3DMG|1AART	157VULN|2AART|3DUR|49aDMG|6RCR|8LEGI
39	13433 33211	   	205.66	DCR|4VULN|1AART|1DMG|2ASPD|2DUR	159aVULN|2AART|3aDUR|4DMG|6RCR|7VENICY|8aASPD|aBPWR
40	13133 12115	   	205.58	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9ASPD|aRCVC
41	13344 21312	   	205.47	DCR|3VULN|3DMG|1AART|2ASPD	178VULN|2AART|37ASPD|4CGEN|5LIT|67aDMG|7BPWR|9RCR
42	13133 12335	   	205.44	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	15VULN|28AART|3RCR|47DMG|6CDMG|9ZMB|aRCVC
43	13446 33211	   	205.34	DCR|3VULN|2DMG|1AART|2DUR	19aVULN|2AART|3aDUR|4ASPD|5RCVC|6RCR|7VENICY|8aDMG|aBPWR
44	13133 11411	   	205.30	ACR|4VULN|2AART|1DMG|1CDMG	1579VULN|2aAART|3RCR|4DMG|6CDMG|8CGEN
45	13133 14311	   	205.30	ACR|4VULN|2AART|1DMG|1CDMG	1589VULN|2aAART|3RCR|4DMG|6CDMG|7CGEN
46	13161 12311	   	205.30	ACR|4VULN|2AART|1DMG|1CDMG	1489VULN|2aAART|3RCR|5CGEN|6CDMG|7DMG
47	13136 11131	   	205.00	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	178VULN|2aAART|3RCR|4DMG|5RCVC|6CDMG|9ZMB
48	13133 11132	   	204.85	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	1578VULN|2AART|3RCR|4DMG|6CDMG|9ZMB|aFEWX
49	13162 55211	   	204.83	ACR|4VULN|2DMG|1AART	149aVULN|2AART|3RCR|5aBEXP|6CANSTR|7ASPD|8aDMG|aBPWR
50	13264 21316	   	204.77	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	178VULN|2AART|37ZMB|4MLV|5LIT|67DMG|7BPWR|9RCR|aCDMG
51	13133 11133	   	204.75	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	1578VULN|2AART|3RCR|4DMG|6CDMG|9ZMB|aDUST
52	13133 11136	   	204.75	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	1578VULN|2AART|3RCR|4DMG|6CDMG|9ZMB|aERES
53	13133 51311	   	204.73	ACR|4VULN|2DMG|1AART	158aVULN|2AART|3RCR|47DMG|6RPLT|9DUR
54	13133 12311	   	204.34	ACR|3AART|2VULN|2DMG|1CDMG	15VULN|28aAART|3RCR|47DMG|6CDMG|9ASPD
55	13133 12211	   	204.28	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|47DMG|6CDMG|8LHND|9DUR
56	13133 12521	   	204.28	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|47DMG|6CDMG|8DUR|9LHND
57	13133 12531	   	204.28	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8DUR|aBEXP
58	13133 12532	   	204.28	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8DUR|aLIT
59	13133 12535	   	204.28	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8DUR|aLHND
60	13133 15511	   	204.28	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|48DMG|6CDMG|7LHND|9DUR
