0	Index      	 *	Score 	Summary	Detail	
1	21231 43331	 * 	213.57	ACR|3VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	18DMG|289VULN|3BELT|4RCR|5CDMG|6ZMB|78DUR|8BPWR|aAART
2	22214 54113	   	212.47	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	1aDMG|2RCR|3RCVC|4aDUR|5CDMG|6BASICY|7AART|89aVULN|aBPWR
3	21232 11658	 * 	210.40	ACR|3DMG|2VULN|2AART|2CDMG	15aDMG|2aVULN|3BELT|4RCR|69AART|7aCDMG|8MBVNT|aBPWR
4	22314 54211	 * 	209.26	ACR|3VULN|3DMG|3ZMB	19aDMG|2RCR|3RMIN|4DUR|589ZMB|679VULN|9BPWR
5	22145 15311	 * 	208.00	ACR|4VULN|3DMG|2CDMG	189DMG|2RCR|3FEWX|4RPLT|579aVULN|69CDMG|9BPWR
6	21114 51332	 * 	207.54	ACR|4VULN|3DMG|1AART	189DMG|289aVULN|3BEXP|4AART|5RCR|6LHND|789DUST|89BPWR
7	21114 51336	   	207.09	ACR|3VULN|3DMG|1AART|1CDMG	189DMG|289VULN|3BEXP|4AART|5RCR|6LHND|789DUST|89BPWR|aCDMG
8	22562 21115	 * 	206.98	ACR|3VULN|3DMG|3CDMG	19aDMG|2RCR|3DUR|49aCDMG|5BEXP|6LIT|79aVULN|8LEGI|9aBPWR
9	21231 24331	 * 	205.19	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	18DMG|289VULN|3BELT|4RCR|5CDMG|6BEXP|78ZMB|8BPWR|aAART
10	21231 54331	   	205.19	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	18DMG|289VULN|3BELT|4RCR|5CDMG|6LWND|78ZMB|8BPWR|aAART
11	21231 14331	   	205.09	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	18DMG|289VULN|3BELT|4RCR|5CDMG|6DUST|78ZMB|8BPWR|aAART
12	21232 11265	   	203.54	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	15DMG|289VULN|3BELT|4RCR|6AART|7CDMG|aZMB
13	22163 54113	 * 	203.15	ACR|3VULN|2DMG|1AART|2CDMG	1aDMG|2RCR|3aFEWX|45CDMG|6BASICY|7AART|89aVULN|aBPWR
14	22324 54211	   	202.33	ACR|3VULN|3DMG|3ZMB	19aDMG|2RCR|3RMIN|4BEXP|589ZMB|679VULN|9BPWR
15	22326 44211	   	202.33	ACR|3VULN|3DMG|3ZMB	19aDMG|2RCR|3RMIN|4BEXP|579VULN|689ZMB|9BPWR
16	21114 51335	   	200.38	ACR|3VULN|3DMG|1AART	189DMG|289VULN|3BEXP|4AART|5RCR|6LHND|789DUST|89BPWR|aASPD
17	22224 52113	   	200.24	ACR|3VULN|2DMG|1AART|1CDMG	1aDMG|2RCR|3RCVC|4aLWND|5CDMG|6BASICY|7AART|89aVULN|aBPWR
18	22162 21115	   	200.04	ACR|3VULN|3DMG|3CDMG	19aDMG|2RCR|3FEWX|49aCDMG|5BEXP|6LIT|79aVULN|8LEGI|9aBPWR
