0	Index      	 *	Score 	Summary	Detail	
1	43141 12116	 * 	197.83	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	1aCDMG|2aDMG|39VULN|4RCR|5LHND|6AART|7RCVC|8aDUR|aBPWR
2	36525 33322	 * 	190.20	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1RMIN|2RCVC|38DMG|4CGEN|58DUR|68VULN|7RCR|8BPWR|9CDMG|aAART
3	36535 33322	   	190.10	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1RMIN|2RCVC|38DMG|4ERES|58DUR|68VULN|7RCR|8BPWR|9CDMG|aAART
4	43343 13116	 * 	188.20	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	1aCDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8DUR
5	46112 41233	 * 	187.42	DCR|3VULN|3DMG|3CDMG	178CDMG|2ERES|378VULN|4DLOT|578DMG|6LEGI|78BPWR|9CGEN|aRCR
6	43141 14113	   	187.18	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8aDUR
7	43343 13113	   	187.18	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8aDUR
8	34235 33322	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1RMIN|28DMG|34ERES|58DUR|68VULN|7RCR|8BPWR|9CDMG|aAART
9	35442 23322	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1RMIN|28DUR|36DMG|48TLV|58VULN|7RCR|8BPWR|9CDMG|aAART
10	43141 12316	   	185.60	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2aDMG|39VULN|4RCR|5LHND|6AART|7RCVC|8aLWND|aBPWR
11	43141 12216	   	183.57	ACR|3VULN|1AART|1DMG|2CDMG	1aCDMG|2DMG|39aVULN|4RCR|5aLHND|6AART|7RCVC|8LEGI|aBPWR
12	34265 33323	   	183.14	DCR|3DMG|2VULN|2DUR|1ZMB|1ASPD	1RMIN|248DMG|3ERES|58DUR|68VULN|7RCR|8BPWR|9ZMB|aASPD
13	23523 26242	 * 	182.31	DCR|3VULN|2DMG|1AART|1DUR	1ERES|2BEXP|3AART|478VULN|5DUR|6aDMG|9RCR
14	43141 14111	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8DUR|aCGEN
15	43141 14132	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|37aVULN|4RCR|5LHND|6AART|8DUR|9MLV
16	43141 14313	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8LWND|aDUR
17	43343 13111	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8DUR|aCGEN
18	43343 13115	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8DUR|aLIT
19	43343 13132	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|57aVULN|6AART|8DUR|9MLV
20	43343 13213	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8LHND|aDUR
21	43343 13613	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8BEXP|aDUR
22	43141 14112	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8DUR|aDUST
23	43143 14111	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5DUST|6AART|8DUR|aCGEN
24	43143 14113	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5DUST|6AART|8DUR|aLHND
25	43143 14132	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|37aVULN|4RCR|5DUST|6AART|8DUR|9MLV
26	43141 14213	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8LEGI|aDUR
27	43343 13112	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8DUR|aDUST
28	43143 14112	   	181.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|379VULN|4RCR|5aDUST|6AART|8DUR
29	43143 15313	   	181.16	ACR|3VULN|1AART|1DMG|2CDMG	1aCDMG|2DMG|38aVULN|4RCR|5DUST|6AART|7CGEN|9aERES|aBPWR
30	34265 33331	   	180.85	DCR|3VULN|3DMG|2DUR	1RMIN|248DMG|3ERES|58DUR|68aVULN|7RCR|8BPWR|9LHND
31	34265 33322	 * 	180.05	DCR|3DMG|2VULN|2ZMB|2DUR	1RMIN|248DMG|3ERES|58DUR|68VULN|7RCR|8BPWR|9aZMB
32	42426 11233	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LEGI|3RCR|4MGNLIT|5AART|6LWND|7aVULN|89DMG
33	61426 31233	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2CDMG|3RCR|4MGNLIT|5AART|6DUST|7aVULN|89DMG
34	43213 66223	 * 	179.73	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1CDMG|28DMG|37ASPD|4AART|5SNIHEL|6ZMB|9RCR|aVULN
35	65242 11112	 * 	179.49	ACR|3VULN|2DMG|1AART	1LWND|2CGEN|378VULN|4RCR|5AART|6FEWX|9aDMG
36	23523 26241	 * 	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2BEXP|3AART|478VULN|5DUR|6DMG|9RCR|aCDMG
37	23534 36212	   	178.19	ACR|3VULN|2DMG|1AART	1ERES|2BEXP|3AART|4aDMG|5RCR|678VULN|9LWND
38	23534 36232	   	178.09	ACR|3VULN|2DMG|1AART	1ERES|2BEXP|3AART|4aDMG|5RCR|678VULN|9DUST
39	51426 11233	 * 	177.95	ACR|3DMG|1AART|1VULN|1CDMG	1LHND|2CDMG|3RCR|4MGNLIT|5AART|6LWND|7VULN|89aDMG
40	43143 15213	 * 	176.96	ACR|2VULN|2AART|1DMG|2CDMG	1aCDMG|2DMG|3aVULN|4RCR|5DUST|68AART|7CGEN|9aERES|aBPWR
41	23642 21522	   	176.49	ACR|3VULN|2DMG|1AART	19ERES|278BEXP|359VULN|4RCR|69DMG|9BPWR|aAART
42	61243 13353	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|2CDMG|3DUR|49DMG|57VULN|6AART|8BELT|aRCR
43	34265 33312	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	1RMIN|248DMG|3ERES|58DUR|68VULN|7RCR|8BPWR|9RPLT|aZMB
44	34265 33321	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	1aRMIN|248DMG|3ERES|58DUR|68VULN|7RCR|8BPWR|9ZMB
45	42243 13353	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LEGI|3DUR|49DMG|57VULN|6AART|8BELT|aRCR
46	65242 11111	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	1LWND|2CGEN|378VULN|4RCR|5AART|6FEWX|9DMG|aCDMG
47	23531 36242	   	175.27	DCR|3VULN|2DMG|1AART	1ERES|2BEXP|3AART|4aDMG|5DUST|678VULN|9RCR
48	21222 56226	   	175.02	DCR|3DMG|2VULN|1CDMG|1ZMB	127ERES|3CDMG|47VULN|5BELT|67aDMG|7BPWR|8RCR|9ZMB
49	43141 14311	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8LWND|aCGEN
50	43141 14332	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|37aVULN|4RCR|5LHND|6AART|8LWND|9MLV
51	43343 12322	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|58aVULN|6AART|7CGEN|9LHND
52	43343 12352	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|58aVULN|6AART|7CGEN|9BEXP
53	43343 13211	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8LHND|aCGEN
54	43343 13215	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8aLHND
55	43343 13216	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8LHND|aMLV
56	43343 13232	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|57aVULN|6AART|8LHND|9MLV
57	43343 13611	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8BEXP|aCGEN
58	43343 16322	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|58aVULN|6AART|7MLV|9LHND
59	43141 14211	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8LEGI|aCGEN
60	43141 14232	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|37aVULN|4RCR|5LHND|6AART|8LEGI|9MLV
