0	Index      	 *	Score 	Summary	Detail	
1	11352 61153	 * 	217.94	ACR|4VULN|3DMG|2CDMG|2DUR	158aVULN|2RPLT|3RCR|4MBVNT|68DUR|78aDMG|8aBPWR|9aCDMG
2	11351 61153	   	206.64	ACR|3VULN|3DMG|2CDMG|2DUR	18aVULN|2RPLT|3RCR|4MBVNT|5RCVC|68DUR|78aDMG|8aBPWR|9aCDMG
3	11312 61143	   	205.70	ACR|4VULN|3DMG|2CDMG	158aVULN|2RPLT|3RCR|48BEXP|6LEGI|78aDMG|8aBPWR|9aCDMG
4	11352 81153	   	205.70	ACR|4VULN|3DMG|2CDMG	158aVULN|2RPLT|3RCR|4MBVNT|68LHND|78aDMG|8aBPWR|9aCDMG
5	26312 61143	   	205.70	ACR|4VULN|3DMG|2CDMG	1RPLT|258aVULN|3RCR|48BEXP|6LEGI|78aDMG|8aBPWR|9aCDMG
6	11352 71153	   	205.50	ACR|4VULN|3DMG|2CDMG	158aVULN|2RPLT|3RCR|4MBVNT|6LEGI|78aDMG|8aBPWR|9aCDMG
7	11362 61143	   	205.50	ACR|4VULN|3DMG|2CDMG	158aVULN|2RPLT|3RCR|48DUST|6LEGI|78aDMG|8aBPWR|9aCDMG
8	11312 51143	   	202.38	ACR|4VULN|2DMG|2CDMG|2DUR	158aVULN|2RPLT|3RCR|4aBEXP|68DUR|78DMG|8aBPWR|9aCDMG
9	26312 51143	   	202.38	ACR|4VULN|2DMG|2CDMG|2DUR	1RPLT|258aVULN|3RCR|4aBEXP|68DUR|78DMG|8aBPWR|9aCDMG
10	11362 51143	   	202.18	ACR|4VULN|2DMG|2CDMG|2DUR	158aVULN|2RPLT|3RCR|4aDUST|68DUR|78DMG|8aBPWR|9aCDMG
11	11534 52742	 * 	200.23	DCR|3VULN|2DMG|1AART|2CDMG	19aVULN|2RPLT|3AART|4MBVNT|5TLV|69DMG|7RCR|89CDMG|9BPWR
12	11352 61353	   	198.34	ACR|3VULN|3DMG|2CDMG	15aVULN|2RPLT|3RCR|4MBVNT|6DUR|78aDMG|9aCDMG|aBPWR
13	11352 33733	   	196.79	ACR|4VULN|2DMG|2CDMG	156aVULN|2RPLT|3RCR|4MBVNT|7DUR|8aCDMG|9aDMG|aBPWR
14	26352 33733	   	196.79	ACR|4VULN|2DMG|2CDMG	1RPLT|256aVULN|3RCR|4MBVNT|7DUR|8aCDMG|9aDMG|aBPWR
15	11357 12316	 * 	196.24	ACR|3VULN|2DMG|1AART|2ZMB	19aVULN|2RPLT|3RCR|4MBVNT|5BEXP|6AART|79DMG|89ZMB|9BPWR
