0	Index      	 *	Score 	Summary	Detail	
1	66222 25221	 * 	194.02	DCR|4VULN|3ZMB|3ASPD|3DUR	18aZMB|235DUR|48aASPD|689aVULN|7RCR|8aBPWR
2	65223 24312	 * 	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	15ZMB|2BEXP|3DUR|46aVULN|7RCR|8DMG|9AART
3	51424 11211	 * 	180.43	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1DUST|2CDMG|3RCVC|47DMG|58AART|6ZMB|9RCR|aVULN
4	53333 21215	 * 	177.12	DCR|4VULN|1AART|1DMG|1DUR	1DUST|25LWND|3459VULN|5BPWR|6DUR|7DMG|8RCR|aAART
5	53335 21215	   	177.02	DCR|4VULN|1AART|1DMG|1DUR	1DUST|2LWND|3459VULN|6DUR|7DMG|8RCR|aAART
6	22222 26162	 * 	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2CDMG|3DUR|49VULN|5LIT|6AART|78DMG|aRCR
7	22243 26162	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2CDMG|3DUR|4LIT|59VULN|6AART|78DMG|aRCR
8	22632 26162	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2CDMG|39VULN|4DUR|5LIT|6AART|78DMG|aRCR
9	51424 11212	 * 	176.02	DCR|3DMG|2AART|1CDMG|1ZMB	1DUST|2CDMG|3RCVC|47aDMG|58AART|6ZMB|9RCR
10	51135 42211	 * 	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|357VULN|4CGEN|6RCR|8AART|9MGNLIT|aDMG
11	51135 42232	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|357VULN|4aCGEN|6RCR|8AART|9DMG
12	51135 42233	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|357VULN|4CGEN|6RCR|8AART|9DMG|aFEWX
13	56333 42211	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|237VULN|4CDMG|5CGEN|6RCR|8AART|9MGNLIT|aDMG
