0	Index      	 *	Score 	Summary	Detail	
1	51621 15213	 * 	384.12	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1LWND|2DUR|3LSRREG|4TLV|5BBNT|69RCR|7VULN|8DUST|aMDPS
2	26222 43342	 * 	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LIT|35VULN|4ERES|6RCR|7AEPOI|8DMG|9CDMG|aMDPS
3	43222 46223	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1LIT|2LHND|359VULN|4ERES|6RCR|7RCVC|8DUR|aMDPS
4	43222 43223	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2LHND|359VULN|4ERES|6RCR|7AEPOI|8DUR|aMDPS
5	51433 53132	 * 	371.86	DCR|2MDPS|1VULN|1DUR|1AART	1LWND|2DUR|3RPLT|4AART|5LIT|6ZMB|7VULN|8RCR|9aMDPS
6	51433 63132	   	371.76	DCR|2MDPS|1VULN|1DUR|1AART	1LWND|2DUR|3RPLT|4AART|5LIT|6ASPD|7VULN|8RCR|9aMDPS
7	26222 26142	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2LIT|35VULN|4ERES|6DMSP|7RMIN|8RCR|9CDMG|aMDPS
8	26222 31142	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2LIT|35VULN|4ERES|6CGEN|7DMSP|8RCR|9CDMG|aMDPS
9	26222 51142	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2LIT|35VULN|4ERES|6MLV|7DMSP|8RCR|9CDMG|aMDPS
10	26222 22142	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2LIT|35VULN|4ERES|6DMSP|7AME|8RCR|9CDMG|aMDPS
11	26222 36142	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2LIT|35VULN|47ERES|6CGEN|8RCR|9CDMG|aMDPS
12	51361 13513	   	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1LWND|2DUR|3TBNT|4CGEN|5CANTOX|69RCR|7VULN|8FEWX|aMDPS
13	22461 11231	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4CGEN|5VENFST|6RCR|7RAT|89MDPS|aBOSS
14	22461 11232	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4CGEN|5VENFST|6RCR|7RAT|89MDPS|aDUST
15	22461 11233	 * 	357.91	DCR|2MDPS|2VULN|1DUR	1DUR|2BBNT|3aVULN|4CGEN|5VENFST|6RCR|7RAT|89MDPS
16	22461 11234	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4CGEN|5VENFST|6RCR|7RAT|89MDPS|aDMSP
17	22461 11235	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4CGEN|5VENFST|6RCR|7RAT|89MDPS|aLWND
18	22461 11236	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4CGEN|5VENFST|6RCR|7RAT|89MDPS|aRMIN
19	22611 13413	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1DUR|2BBNT|3ERES|4BEXP|5CANTOX|69RCR|7VULN|8LHND|aMDPS
20	51361 13213	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1LWND|2DUR|3TBNT|4CGEN|5CANTOX|69RCR|7VULN|8DUST|aMDPS
21	63116 13513	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4LWND|5DUR|69RCR|7VULN|8FEWX|aMDPS
22	63136 13413	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4BEXP|5DUR|69RCR|7VULN|8LHND|aMDPS
23	63516 13213	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3MGNSTR|4LWND|5DUR|69RCR|7VULN|8DUST|aMDPS
24	63536 13213	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3MGNSTR|4BEXP|5DUR|69RCR|7VULN|8DUST|aMDPS
25	12651 13413	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1DUST|2BBNT|3ERES|4DUR|5CANTOX|69RCR|7VULN|8LHND|aMDPS
26	22411 11231	   	357.81	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4AME|5VENFST|6RCR|7RAT|89MDPS|aBOSS
27	22411 11232	   	357.81	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4AME|5VENFST|6RCR|7RAT|89MDPS|aDUST
28	22411 11233	   	357.81	DCR|2MDPS|2VULN|1DUR	1DUR|2BBNT|3aVULN|4AME|5VENFST|6RCR|7RAT|89MDPS
29	22411 11234	   	357.81	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4AME|5VENFST|6RCR|7RAT|89MDPS|aDMSP
