0	Index      	 *	Score 	Summary	Detail	
1	11624 23623	 * 	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2RMIN|3CDMG|4RCVC|57VULN|6RPLT|8AAC|9RCR|aMDPS
2	15125 24111	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2RAT|3BEXP|48VULN|5FLTHEA|6RCR|7FEWX|9TLV|aMDPS
3	12223 43333	 * 	357.20	ACR|2VULN|1MDPS|1CDMG|2DUR|1TLV	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|8TLV|9NUKE|aMDPS
4	11116 51216	   	344.99	DCR|2VULN|1MDPS|1AART|1DUR	1DUR|2RMIN|35LIT|45VULN|5BPWR|6AART|78BEXP|9RCR|aMDPS
5	11116 52216	   	344.99	DCR|2VULN|1MDPS|1AART|1DUR	1DUR|2RMIN|35LIT|45VULN|5BPWR|6AART|7LHND|8BEXP|9RCR|aMDPS
6	21116 14216	   	344.99	DCR|2VULN|1MDPS|1AART|1DUR	1LHND|2RMIN|35LIT|45VULN|5BPWR|6DUR|7AART|8BEXP|9RCR|aMDPS
7	32116 14216	   	344.99	DCR|2VULN|1MDPS|1DUR|1AART	15MLV|2LHND|3LIT|45VULN|5BPWR|6DUR|7AART|8BEXP|9RCR|aMDPS
8	15125 24131	   	331.14	DCR|2VULN|1MDPS|1DUR	1DUR|2RAT|3BEXP|48VULN|5FLTHEA|6RCR|7FEWX|9RMIN|aMDPS
9	12223 43153	   	331.10	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|89LHND|aMDPS
10	13145 13411	 * 	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1DUR|2FEWX|3LIT|4VULN|5TBNT|6MLV|7TLV|8CDMG|9RCR|aMDPS
11	11224 23623	   	331.00	DCR|2VULN|1MDPS|1DUR|1SELL	1DUR|2RMIN|3SELL|4RCVC|57VULN|6RPLT|8AAC|9RCR|aMDPS
12	12223 43113	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|8LHND|9AEWIND|aMDPS
13	12223 43133	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|8LHND|9AEFRZ|aMDPS
14	12223 43213	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|8FEWX|9AEWIND|aMDPS
15	12223 43233	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|8FEWX|9AEFRZ|aMDPS
16	12223 43633	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2BEXP|3RCR|4ERES|56VULN|6BPWR|7CDMG|8AAC|9NUKE|aMDPS
17	13223 41533	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2FEWX|3RCR|4ERES|56VULN|6BPWR|7BEXP|8AEWIND|9CDMG|aMDPS
18	12312 63533	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1DUR|25BEXP|3DUST|4TLV|6VULN|7RCR|8AEFRZ|9CDMG|aMDPS
19	12313 63533	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1DUR|2BEXP|3DUST|4TLV|5DMSP|6VULN|7RCR|8AEFRZ|9CDMG|aMDPS
20	14124 23623	   	330.90	DCR|2VULN|1MDPS|1DUR|1SELL	1DUR|2SELL|3ERES|4RCVC|57VULN|6RPLT|8AAC|9RCR|aMDPS
21	13223 43633	   	330.90	ACR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2FEWX|3RCR|4ERES|56VULN|6BPWR|7MBVNT|8AEWIND|9CDMG|aMDPS
22	12314 63533	   	330.88	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1DUR|2BEXP|35DUST|4TLV|6VULN|7RCR|8AEFRZ|9CDMG|aMDPS
23	13314 63533	   	330.88	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1DUR|2FEWX|35DUST|4TLV|6VULN|7RCR|8AEFRZ|9CDMG|aMDPS
24	12223 66133	 * 	328.73	ACR|1MDPS|1VULN|2DMG|1CDMG|1TLV|1DUR	1DUR|2BEXP|3RCR|4ERES|5VULN|67DMG|8TLV|9CDMG|aMDPS
25	13223 66133	   	328.73	ACR|1MDPS|1VULN|2DMG|1CDMG|1TLV|1DUR	1DUR|2FEWX|3RCR|4ERES|5VULN|67DMG|8TLV|9CDMG|aMDPS
