0	Index      	 *	Score 	Summary	Detail	
1	13143 12252	 * 	251.21	紫3基础对甲2伤害2攻速1全技能	179基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8a伤害
2	16141 43342	 * 	247.78	紫2基础对甲3伤害3易伤1基地爆炸	1a基础对甲29a易伤3磁铁减费4核5基地爆炸6加一78a伤害a序列升级
3	13142 43283	 * 	243.44	紫2基础对甲2攻速2基地爆炸1伤害1技能	1a基础对甲2掉矿3a攻速4核5最后敌人6加一7伤害8技能9a基地爆炸a序列升级
4	13143 12255	   	240.56	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害a易伤
5	13141 33341	 * 	240.51	紫1基础对甲2伤害2基地爆炸2易伤1攻速	1基础对甲2a掉矿3攻速4核5敌人爆炸6a易伤78伤害9a基地爆炸a序列升级
6	13142 33341	   	240.51	紫1基础对甲2伤害2基地爆炸2易伤1攻速	1基础对甲2a掉矿3攻速4核5最后敌人6a易伤78伤害9a基地爆炸a序列升级
7	13143 32255	   	240.36	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害a易伤
8	15143 33533	   	237.98	紫2基础对甲2伤害2攻速1全技能	1a基础对甲2a时间3火球减费4核5全技能68攻速7a伤害9随机矿a序列升级
9	13142 51143	 * 	236.44	紫2基础对甲2攻速2暴击2技能1基地爆炸	1a基础对甲2掉矿3a攻速4核5最后敌人6基地爆炸7a暴击89技能a序列升级
10	16143 53332	   	235.85	紫2基础对甲3伤害2易伤1基地爆炸	1a基础对甲29易伤3a磁铁减费4核5时间6基地爆炸78a伤害a序列升级
11	13145 32342	   	235.23	紫2基础对甲2攻速2基地爆炸1伤害	1a基础对甲2掉矿3a攻速4核58随机矿6金币生成7伤害9a基地爆炸a序列升级
12	51115 15122	   	235.13	紫2基础对甲2攻速2基地爆炸1伤害	1策反2a攻速3伤害4核5双倍矿6狙击对直升7a基地爆炸8等级9a基础对甲a序列升级
13	13142 51153	 * 	234.64	紫2基础对甲2攻速3暴击1基地爆炸1技能	1a基础对甲2掉矿3a攻速4核5最后敌人6基地爆炸79a暴击8技能a序列升级
14	16143 43332	   	234.12	紫2基础对甲3伤害3易伤	1a基础对甲29a易伤3磁铁减费4核5时间6加一78a伤害a序列升级
15	13143 12146	   	234.04	紫2基础对甲2攻速1伤害1全技能1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8暴击9雷电a伤害
16	13143 12222	   	234.04	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害9雷电a基地爆炸
17	13143 12231	   	234.04	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害9随机矿a基地爆炸
18	13143 12242	   	234.04	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害9平台a基地爆炸
19	13143 12212	   	233.94	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害9挖尘a基地爆炸
20	13143 12383	   	233.94	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8加一9基地爆炸a伤害
21	13143 32146	   	233.84	紫2基础对甲2攻速1伤害1全技能1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8暴击9雷电a伤害
22	13143 32163	   	233.84	紫2基础对甲2攻速1伤害1全技能1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8暴击9双倍矿a伤害
