0	Index      	 *	Score 	Summary	Detail	
1	21112 52651	 * 	184.82	DCR|4VULN|3DMG	1LEGI|2ERES|3459VULN|6RCR|78aDMG
2	56512 11113	 * 	180.72	ACR|5VULN|1AART|2ZMB	17MGNSTR|27ZMB|35679VULN|4RCR|7BPWR|8VENICY|aAART
3	56512 11313	   	180.72	ACR|5VULN|1AART|2ZMB	17MGNSTR|27ZMB|35679VULN|4RCR|7BPWR|8BASHEA|aAART
4	21112 53336	 * 	175.91	DCR|4VULN|1AART|1CDMG|1DUR	1LEGI|2ERES|345aVULN|6RCR|7CDMG|8DUR|9AART
5	21112 52633	 * 	175.65	DCR|3VULN|2DMG|1CDMG|1ASPD	1LEGI|2ERES|345VULN|6RCR|78DMG|9CDMG|aASPD
6	21112 52635	   	175.65	DCR|3VULN|2DMG|1CDMG|1DUR	1LEGI|2ERES|345VULN|6RCR|78DMG|9CDMG|aDUR
7	64221 12315	 * 	175.56	ACR|2VULN|1AART|3ASPD|1DMG|1CDMG	1RMIN|2CDMG|39VULN|467ASPD|5RCR|8AART|aDMG
8	21112 53533	 * 	174.83	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|2ERES|345VULN|6RCR|7CDMG|8MBVNT|9AART|aDMG
9	51512 51112	 * 	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1MGNSTR|2ERES|358VULN|4RCR|6aDMG|7DUR|9CDMG
10	51532 53112	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	1MGNSTR|2ERES|358VULN|4DUR|6aDMG|7RCR|9CDMG
11	21112 52621	   	172.32	DCR|3DMG|3VULN	1LEGI|2ERES|345VULN|6RCR|78aDMG|9RCVC
12	64221 12312	 * 	171.15	ACR|3VULN|1AART|3ASPD|1CDMG	1RMIN|2CDMG|39aVULN|467ASPD|5RCR|8AART
13	21112 52612	   	169.17	DCR|4VULN|2DMG	1LEGI|2ERES|345aVULN|6RCR|78DMG|9BEXP
14	21112 52652	   	169.07	DCR|4VULN|2DMG	1LEGI|2ERES|3459VULN|6RCR|78DMG|aDUST
15	21112 52653	   	169.07	DCR|4VULN|2DMG	1LEGI|2aERES|3459VULN|6RCR|78DMG
16	21112 53537	   	168.87	DCR|4VULN|1AART|1CDMG	1LEGI|2ERES|345aVULN|6RCR|7CDMG|8MBVNT|9AART
17	21112 52631	   	168.71	DCR|3VULN|2DMG|1CDMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9CDMG|aLIT
18	21112 52632	   	168.71	DCR|3VULN|2DMG|1CDMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9CDMG|aFEWX
19	21112 52636	   	168.71	DCR|3VULN|2DMG|1CDMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9CDMG|aBEXP
20	21122 15636	   	168.58	DCR|3VULN|1AART|1DMG|1ZMB	1LEGI|2ERES|356VULN|4CANSTR|7AART|8RCR|9DMG|aZMB
21	51512 15122	 * 	168.29	ACR|4VULN|1AART|1CDMG	1MGNSTR|2ERES|3569VULN|4RCR|7AART|8RPLT|aCDMG
22	21112 52246	   	167.62	DCR|3VULN|1AART|1DMG|1DUR	1LEGI|2ERES|345VULN|6RCR|7DMG|8FEWX|9DUR|aAART
23	51512 15333	 * 	167.54	ACR|3VULN|1AART|1DMG|1DUR	1MGNSTR|2ERES|356VULN|4RCR|7AART|8DUR|9DMG|aBEXP
24	21112 51516	   	167.52	DCR|3VULN|1AART|1DMG|1DUR	1LEGI|2ERES|345VULN|6RCR|7DUR|8DMG|9DUST|aAART
25	51512 15123	   	167.47	ACR|5VULN|1AART	1MGNSTR|2ERES|3569aVULN|4RCR|7AART|8RPLT
26	51512 15312	 * 	167.44	ACR|3VULN|1AART|2CDMG|1DUR	1MGNSTR|2ERES|356VULN|4RCR|7AART|8DUR|9aCDMG
27	51512 15331	   	167.44	ACR|3VULN|1AART|1DMG|1DUR	1MGNSTR|2ERES|356VULN|4RCR|7AART|8DUR|9DMG|aDUST
28	56512 11222	 * 	167.28	ACR|4VULN|2ZMB|1CDMG|1DUR	17MGNSTR|27ZMB|3567VULN|4RCR|7BPWR|8RCVC|9CDMG|aDUR
29	21112 36643	   	165.46	DCR|4VULN|1AART|1ZMB|1ASPD	1LEGI|2ERES|3457VULN|6AART|8ZMB|9ASPD|aRCR
30	21112 53245	 * 	165.23	DCR|4VULN|1DMG|1CDMG	1LEGI|2ERES|3458VULN|6RCR|7CDMG|9LIT|aDMG
31	56512 11122	 * 	164.75	ACR|4VULN|1DMG|2ZMB	17MGNSTR|27ZMB|3567VULN|4RCR|7BPWR|8VENICY|9LIT|aDMG
32	56512 11322	   	164.75	ACR|4VULN|1DMG|2ZMB	17MGNSTR|27ZMB|3567VULN|4RCR|7BPWR|8BASHEA|9LIT|aDMG
33	56512 13222	   	164.55	ACR|4VULN|1DMG|2ZMB	1MGNSTR|28ZMB|356aVULN|4RCR|7ERES|9DMG
