0	Index      	 *	Score 	Summary	Detail	
1	14123 63211	 * 	194.84	ACR|3VULN|2DMG|1AART|1CDMG	1BELT|2RCR|379VULN|4CDMG|59DMG|689ERES|9BPWR|aAART
2	34323 12423	 * 	192.02	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2aASPD|3CGEN|46aVULN|5RCVC|7AART|8RCR|9aDMG|aBPWR
3	66113 12163	 * 	191.97	DCR|4VULN|2DMG|1AART	1RCVC|238aVULN|4RPLT|5aDMG|6AART|7aLHND|9RCR|aBPWR
4	34223 12423	   	191.92	DCR|3VULN|2DMG|1AART|2ASPD	1RMIN|2aASPD|3ERES|46aVULN|5RCVC|7AART|8RCR|9aDMG|aBPWR
5	34163 34233	 * 	190.48	DCR|2VULN|1AART|1DMG|2ZMB|2ASPD|1CDMG	1RMIN|29ASPD|39VULN|4LWND|5AART|6RCR|7CDMG|89ZMB|9BPWR|aDMG
6	14431 34213	 * 	188.03	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	1BELT|2RCR|36ZMB|46VULN|5LEGI|6BPWR|7aDMG|8DUR|9AART
7	14123 63511	 * 	187.39	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|379VULN|4CDMG|589DMG|69ERES|9BPWR|aFEWX
8	14123 63513	   	187.39	ACR|3VULN|3DMG|1CDMG	1BELT|2RCR|379VULN|4CDMG|589DMG|69ERES|9BPWR|aCGEN
9	14123 63512	   	187.14	ACR|3VULN|3DMG|1CDMG|1SELL	1BELT|2RCR|379VULN|4CDMG|589DMG|69ERES|9BPWR|aSELL
10	66124 31223	 * 	186.45	ACR|3VULN|3DMG|2ASPD|1SELL	1RCVC|239VULN|4RCR|5BEXP|69ASPD|79aDMG|8SELL|9BPWR
11	14123 12354	   	185.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1BELT|2RCR|39aVULN|4CDMG|5DMG|6DUR|7BEXP|8AART
12	34152 13363	 * 	185.41	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1RMIN|2aASPD|3aVULN|48DMG|5CDMG|6AART|7aLHND|9RCR|aBPWR
