0	Index      	 *	Score 	Summary	Detail	
1	22234 11612	 * 	193.77	DCR|3VULN|2AART|1DMG|1ZMB|1ASPD	1DUST|259VULN|3ASPD|47AART|6RCR|8ZMB|aDMG
2	22236 11431	   	189.26	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUST|29aVULN|3ASPD|4AART|5DMG|6RCR|7ZMB|8DUR
3	51121 13551	 * 	187.56	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	1AART|2RPLT|39ZMB|4SELL|59VULN|6RMIN|7RCR|89DMG|9BPWR|aDUR
4	22234 11615	 * 	187.36	DCR|3VULN|2AART|1FLTHEA|1ZMB|1ASPD	1DUST|259VULN|3ASPD|47AART|6RCR|8ZMB|aFLTHEA
5	22236 11422	 * 	187.26	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUST|2VULN|3ASPD|4AART|5aDMG|6RCR|7ZMB|8DUR|9CDMG
6	15363 11214	 * 	186.76	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1VENICY|247VULN|3CDMG|5DUR|6RCR|8ZMB|9aDMG
7	22234 11652	   	185.05	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	1DUST|25VULN|3ASPD|47AART|6RCR|8ZMB|9DUR|aDMG
8	22234 12232	 * 	184.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|259VULN|3ASPD|4AART|6RCR|7DMG|8BELT|aCDMG
9	22234 12615	 * 	184.97	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|25aVULN|3ASPD|4AART|6RCR|7DMG|8FEWX|9FLTHEA
10	22236 13315	   	184.97	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|28aVULN|3ASPD|4AART|5DMG|6RCR|7FEWX|9FLTHEA
11	22236 13535	   	184.97	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|29aVULN|3ASPD|4AART|5DMG|6RCR|7FEWX|8FLTHEA
12	22234 11614	 * 	184.27	DCR|3VULN|2AART|2ZMB|2ASPD	1aDUST|259VULN|3aASPD|47AART|6RCR|8aZMB|aBPWR
13	22234 12452	 * 	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1DUST|25VULN|3ASPD|4AART|6RCR|7aDMG|8RPLT|9ZMB
14	22234 13462	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1DUST|25VULN|3ASPD|4AART|6RCR|7ZMB|8RPLT|9aDMG
15	22236 11161	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1DUST|2aVULN|3ASPD|4AART|59DMG|6RCR|7ZMB|8LWND
16	22236 11511	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1DUST|2aVULN|3ASPD|4AART|58DMG|6RCR|7ZMB|9FEWX
