0	Index      	 *	Score 	Summary	Detail	
1	12636 24331	 * 	207.44	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	189DMG|28CDMG|3AART|4RCR|5SELL|68VULN|7LEGI|8BPWR|aDUR
2	12636 23311	 * 	205.10	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	17DMG|2CDMG|3AART|4RCR|5SELL|68aVULN|9ZMB
3	12631 34612	 * 	203.47	ACR|2VULN|2DMG|1AART|3CDMG|2DUR	1aDMG|278CDMG|3AART|4RCR|5BEXP|6aDUR|9aVULN|aBPWR
4	12632 34612	   	203.47	ACR|2VULN|2DMG|1AART|3CDMG|2DUR	1aDMG|278CDMG|3AART|4RCR|5FEWX|6aDUR|9aVULN|aBPWR
5	11313 11515	 * 	202.78	DCR|4VULN|3DMG|2CDMG	123DMG|2aBPWR|4aFEWX|569aVULN|7RCR|8aCDMG
6	13313 11515	   	202.78	DCR|4VULN|3DMG|2CDMG	123DMG|4aFEWX|569aVULN|7RCR|8aCDMG|aBPWR
7	11361 35111	 * 	202.43	DCR|3DMG|2VULN|1AART|2CDMG|1ZMB	123DMG|28BPWR|48CDMG|58VULN|6AART|78LIT|9ZMB|aRCR
8	13361 35111	   	202.43	DCR|3DMG|2VULN|1AART|2CDMG|1ZMB	123DMG|48CDMG|58VULN|6AART|78LIT|8BPWR|9ZMB|aRCR
9	11563 52331	   	202.16	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	128DMG|28BPWR|39VULN|48ASPD|5AART|6RCR|78LHND|aDUR
10	13563 52331	   	202.16	DCR|3DMG|2VULN|1AART|2ASPD|1DUR	128DMG|39VULN|48ASPD|5AART|6RCR|78LHND|8BPWR|aDUR
11	12631 53341	 * 	201.48	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	18DMG|2CDMG|3AART|4RCR|58BEXP|689VULN|7RMIN|8BPWR|aASPD
12	12632 53341	   	201.48	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	18DMG|2CDMG|3AART|4RCR|58FEWX|689VULN|7RMIN|8BPWR|aASPD
13	12636 22331	 * 	201.23	ACR|3DMG|2VULN|1AART|1CDMG|1DUR|1SELL	189DMG|2CDMG|3AART|4RCR|5SELL|68VULN|78LHND|8BPWR|aDUR
14	12631 51325	 * 	200.85	ACR|3VULN|2DMG|1AART|2CDMG	1aDMG|2aCDMG|3AART|4RCR|589BEXP|67aVULN|aBPWR
15	11361 35123	   	200.77	DCR|3DMG|2VULN|1AART|2CDMG|1ASPD	123DMG|28BPWR|48CDMG|58VULN|6AART|78LIT|9RCR|aASPD
16	13361 35123	   	200.77	DCR|3DMG|2VULN|1AART|2CDMG|1ASPD	123DMG|48CDMG|58VULN|6AART|78LIT|8BPWR|9RCR|aASPD
17	12636 24311	   	200.51	ACR|3VULN|2DMG|1AART|2CDMG|1SELL	18DMG|28CDMG|3AART|4RCR|5SELL|68aVULN|7LEGI|8BPWR|9LIT
