0	Index      	 *	Score 	Summary	Detail	
1	13523 22443	 * 	196.52	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1LIT|289VULN|3CDMG|47AART|5DMG|6RCR|aDUR
2	13523 22146	 * 	195.89	DCR|3VULN|2AART|1DMG|2CDMG	1LIT|29aVULN|38CDMG|47AART|5DMG|6RCR
3	13222 36351	 * 	195.72	DCR|3VULN|2DMG|2AART|1ZMB	13aLIT|23aVULN|3aBPWR|4ZMB|5DUST|6aDMG|78AART|9RCR
4	13523 32525	 * 	192.91	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	1LIT|29VULN|3CDMG|46AART|58DMG|7ZMB|aRCR
5	13523 22442	   	189.58	DCR|3VULN|2AART|1DMG|1CDMG	1LIT|289VULN|3CDMG|47AART|5DMG|6RCR|aLWND
6	13523 22441	   	189.48	DCR|3VULN|2AART|1DMG|1CDMG	1LIT|289VULN|3CDMG|47AART|5DMG|6RCR|aLEGI
7	13222 36651	 * 	188.12	DCR|3VULN|2DMG|1AART|2ZMB	13aLIT|23aVULN|3aBPWR|48ZMB|5DUST|6aDMG|7AART|9RCR
8	13523 21443	   	187.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|289VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|aDUR
9	13523 22143	   	187.18	DCR|2AART|2VULN|1DMG|2CDMG|1DUR	1LIT|29VULN|38CDMG|47AART|5DMG|6RCR|aDUR
10	63131 61524	 * 	186.82	DCR|3VULN|3DMG|1AART	18LSRHEA|2MLV|3MBVNT|478VULN|589DMG|6AART|8BPWR|aRCR
11	63131 67324	   	186.82	DCR|3VULN|3DMG|1AART	17LSRHEA|2MLV|3MBVNT|478VULN|579DMG|6AART|7BPWR|aRCR
12	13523 21146	   	186.65	DCR|3VULN|1AART|1DMG|2CDMG	1LIT|29aVULN|38CDMG|4AART|5DMG|6RCR|7RCVC
13	13523 22422	   	186.16	DCR|2AART|2VULN|1DMG|1CDMG|2DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9aDUR
14	13233 32344	 * 	184.53	DCR|4VULN|1AART|1DMG|1FLTHEA	13LIT|2367VULN|3BPWR|4LHND|5AART|8DMG|9RCR|aFLTHEA
15	13222 36451	   	184.17	DCR|3VULN|2DMG|1AART|1ZMB	13aLIT|23aVULN|3aBPWR|4ZMB|58DUST|6aDMG|7AART|9RCR
16	13523 22423	   	182.17	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9DUR|aRCVC
17	13523 22415	   	180.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9BEXP|aDUR
18	13523 22421	   	180.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9DUR|aBEXP
19	13523 22426	   	180.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9DUR|aRMIN
20	13523 22435	   	180.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9CGEN|aDUR
21	13523 22424	   	180.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9DUR|aAIRHEA
22	13523 22462	   	180.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9DUST|aDUR
23	13523 21442	   	180.33	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|289VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|aLWND
24	13523 22142	   	180.24	DCR|2AART|2VULN|1DMG|2CDMG	1LIT|29VULN|38CDMG|47AART|5DMG|6RCR|aLWND
25	13523 22144	   	180.24	DCR|2AART|2VULN|1DMG|2CDMG	1LIT|29VULN|38CDMG|47AART|5DMG|6RCR|aLHND
26	13523 21441	   	180.23	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|289VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|aLEGI
27	13523 22141	   	180.14	DCR|2AART|2VULN|1DMG|2CDMG	1LIT|29VULN|38CDMG|47AART|5DMG|6RCR|aLEGI
28	13523 22145	   	180.14	DCR|2AART|2VULN|1DMG|2CDMG	1LIT|29VULN|38CDMG|47AART|5DMG|6RCR|aERES
29	13513 64122	 * 	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|258VULN|3CDMG|4RCR|6DUST|7DMG|9AART|aDUR
30	41233 22316	   	179.07	DCR|3VULN|2DMG|1AART	19LHND|2FEWX|34aVULN|5AART|68DMG|7RCR
31	41233 22332	   	179.07	DCR|3VULN|2DMG|1AART	1LHND|2FEWX|34aVULN|5AART|68DMG|7RCR|9RPLT
32	13425 32342	   	178.92	DCR|4VULN|1AART|1DMG|1ASPD	1LIT|2567VULN|3AART|4LHND|8DMG|9RCR|aASPD
33	13523 22432	 * 	178.20	DCR|3AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47aAART|5DMG|6RCR|9CGEN
34	13523 22452	   	178.10	DCR|3AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47aAART|5DMG|6RCR|9ERES
35	13523 21143	   	177.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aDUR
36	13233 32342	   	177.82	DCR|4VULN|1AART|1DMG|1ASPD	13LIT|2367VULN|3BPWR|4LHND|5AART|8DMG|9RCR|aASPD
37	13523 36226	 * 	177.78	DCR|2AART|2DMG|2CDMG|1VULN|1DUR	17LIT|2VULN|37CDMG|46AART|57DMG|7BPWR|8LWND|9DUR|aRCR
38	41233 22314	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	19LHND|2FEWX|34VULN|5AART|68DMG|7RCR|aCDMG
39	13523 21422	   	176.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9aDUR
40	13523 21432	   	176.13	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|4aAART|5DMG|6RCR|7RCVC|9CGEN
41	13523 21452	   	176.03	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|4aAART|5DMG|6RCR|7RCVC|9ERES
42	13233 32644	   	175.47	DCR|4VULN|1AART|1FLTHEA|1ZMB	13LIT|2367VULN|3BPWR|4LHND|5AART|8ZMB|9RCR|aFLTHEA
43	13523 22413	   	175.23	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9BEXP|aRCVC
44	41233 22166	   	175.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|2FEWX|34VULN|59AART|6DMG|7RCR|8DUR|aZMB
45	13523 22122	   	174.88	DCR|2AART|1VULN|1DMG|2CDMG|2DUR	1LIT|2VULN|38CDMG|47AART|5DMG|6RCR|9aDUR
46	13523 22226	   	174.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8LWND|9ZMB|aDUR
47	63133 16524	   	173.97	DCR|3DMG|2VULN|1AART	18LSRHEA|2MLV|3MBVNT|48VULN|5RCVC|6AART|789DMG|8BPWR|aRCR
48	13523 22411	   	173.92	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9aBEXP
49	13523 22412	   	173.92	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9BEXP|aLHND
50	13523 22416	   	173.92	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9BEXP|aLWND
51	13523 22431	   	173.92	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9CGEN|aBELT
52	13523 22433	   	173.92	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9aCGEN
53	13523 22414	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9BEXP|aAIRHEA
54	13523 22434	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9CGEN|aAIRHEA
55	13523 22451	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9ERES|aBELT
56	13523 22453	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9ERES|aCGEN
57	13523 22461	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|28VULN|3CDMG|47AART|5DMG|6RCR|9DUST|aBEXP
58	13513 64121	   	173.05	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|258VULN|3CDMG|4RCR|6DUST|7DMG|9AART|aBEXP
59	13523 21423	   	172.79	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7aRCVC|9DUR
60	13261 51126	   	172.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	13LIT|238VULN|3BPWR|4DMG|5DUR|6BEXP|7CDMG|9AART|aRCR
61	13233 34344	   	172.33	DCR|3VULN|1AART|1DMG|1FLTHEA	13LIT|236VULN|3BPWR|4LHND|5AART|7DMG|8RCVC|9RCR|aFLTHEA
62	13523 36531	 * 	172.27	3VULN|3DMG|2AART|3CDMG	17aLIT|29aVULN|378CDMG|46AART|57aDMG|7aBPWR
63	13425 32341	   	171.98	DCR|4VULN|1AART|1DMG	1LIT|2567VULN|3AART|4aLHND|8DMG|9RCR
64	13425 32343	   	171.88	DCR|4VULN|1AART|1DMG	1LIT|2567VULN|3AART|4LHND|8DMG|9RCR|aERES
65	13213 36325	   	171.76	DCR|2VULN|2DMG|1AART|1CDMG	13LIT|23VULN|3BPWR|47BEXP|56DMG|8RCR|9CDMG|aAART
66	13523 21415	   	171.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9BEXP|aDUR
67	13523 21421	   	171.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9DUR|aBEXP
68	13523 21426	   	171.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9DUR|aRMIN
69	13523 21435	   	171.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9CGEN|aDUR
70	13262 32325	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	13LIT|23VULN|3BPWR|46DMG|57DUST|8RCR|9CDMG|aAART
71	13421 32344	   	171.53	DCR|3VULN|1AART|1DMG|1FLTHEA	15LIT|267VULN|3AART|4LHND|8DMG|9RCR|aFLTHEA
72	13523 21424	   	171.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9DUR|aAIRHEA
73	13523 21462	   	171.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9DUST|aDUR
74	13653 32325	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|24VULN|37DUST|56DMG|8RCR|9CDMG|aAART
75	12423 21112	   	171.37	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LIT|2SELL|3DUR|4AART|59DMG|6RCR|7RCVC|8CDMG|aVULN
76	13513 31622	   	171.37	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LIT|25VULN|3CDMG|4RCR|6RMIN|7ASPD|8DMG|9AART|aDUR
77	13522 22426	   	171.26	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|47AART|5FEWX|6DMG|9DUR|aRCR
78	25323 21636	   	171.19	DCR|2DMG|1AART|1VULN|2CDMG	19BEXP|28LIT|39CDMG|4AART|59DMG|6RCR|7RCVC|9BPWR|aVULN
79	41233 22165	   	171.15	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1LHND|2FEWX|34VULN|59AART|6DMG|7RCR|8DUR|aASPD
80	14323 21632	   	171.09	DCR|2DMG|1AART|1VULN|2CDMG	189LIT|2DUST|39CDMG|4AART|59DMG|6RCR|7RCVC|9BPWR|aVULN
81	13513 35126	   	171.03	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|258VULN|3CDMG|4RCR|6RMIN|7DUR|9AART|aZMB
82	13523 21142	   	170.99	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aLWND
83	13523 21144	   	170.99	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aLHND
84	56431 31332	   	170.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2DMG|3aVULN|4RCR|5ZMB|6RCVC|7CGEN|8CDMG|9AART
85	13523 21141	   	170.89	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aLEGI
86	13523 21145	   	170.89	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aERES
87	13523 22123	   	170.89	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	1LIT|2VULN|38CDMG|47AART|5DMG|6RCR|9DUR|aRCVC
88	13233 32341	   	170.88	DCR|4VULN|1AART|1DMG	13LIT|2367VULN|3BPWR|4aLHND|5AART|8DMG|9RCR
89	13233 32345	   	170.88	DCR|4VULN|1AART|1DMG	13aLIT|2367VULN|3BPWR|4LHND|5AART|8DMG|9RCR
90	13233 32346	   	170.88	DCR|4VULN|1AART|1DMG	13LIT|2367VULN|3BPWR|4LHND|5AART|8DMG|9RCR|aRPLT
91	13523 42226	   	170.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LIT|2VULN|3CDMG|4AART|56DMG|7ZMB|8CGEN|9DUR|aRCR
92	13523 62226	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|26VULN|3CDMG|4AART|5DMG|7ZMB|8CGEN|9DUR|aRCR
93	13233 32343	   	170.78	DCR|4VULN|1AART|1DMG	13LIT|2367VULN|3BPWR|4LHND|5AART|8DMG|9RCR|aERES
94	13513 62622	 * 	170.65	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LIT|25VULN|37CDMG|4RCR|6DUST|8DMG|9AART|aDUR
95	13513 44121	 * 	170.39	ACR|4VULN|1DMG|1CDMG|1DUR	1LIT|258aVULN|3CDMG|4RCR|6LHND|7DMG|9DUR
96	41233 22311	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	19LHND|2FEWX|34VULN|5AART|68DMG|7RCR|aDUR
97	41233 22312	   	170.35	DCR|2VULN|2DMG|1AART|1ASPD	19LHND|2FEWX|34VULN|5AART|68DMG|7RCR|aASPD
98	41233 22356	   	170.35	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2FEWX|34VULN|5AART|68DMG|7RCR|9CGEN|aASPD
99	13513 64131	   	170.29	ACR|4VULN|1DMG|1CDMG|1DUR	1LIT|258aVULN|3CDMG|4RCR|6DUST|7DMG|9DUR
100	41233 22366	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2FEWX|34VULN|5AART|68DMG|7RCR|9ERES|aASPD
101	13431 34242	   	170.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	157LIT|27VULN|3AART|4RPLT|6RCR|7BPWR|8ASPD|9DMG|aCDMG
102	13213 46325	   	169.83	DCR|3VULN|1AART|1DMG|1CDMG	13LIT|236VULN|3BPWR|47BEXP|5DMG|8RCR|9CDMG|aAART
103	13151 32344	   	169.73	DCR|3VULN|1AART|1DMG|1FLTHEA	15LIT|247VULN|3LWND|6AART|8DMG|9RCR|aFLTHEA
104	13262 42325	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	13LIT|236VULN|3BPWR|4DMG|57DUST|8RCR|9CDMG|aAART
105	13523 22115	   	169.59	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	1LIT|2VULN|38CDMG|47AART|5DMG|6RCR|9BEXP|aDUR
106	13523 22121	   	169.59	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	1LIT|2VULN|38CDMG|47AART|5DMG|6RCR|9DUR|aBEXP
107	13523 22126	   	169.59	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	1LIT|2VULN|38CDMG|47AART|5DMG|6RCR|9DUR|aRMIN
108	13523 22135	   	169.59	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	1LIT|2VULN|38CDMG|47AART|5DMG|6RCR|9CGEN|aDUR
