0	Index      	 *	Score 	Summary	Detail	
1	12232 66263	 * 	201.36	DCR|4VULN|3DMG|2DUR|1ZMB	1367VULN|23FEWX|37BPWR|478DMG|57DUR|9RCR|aZMB
2	15231 31352	 * 	197.06	DCR|4VULN|2DMG|1AART|2DUR|1SELL	1389VULN|23DUR|38BPWR|48DMG|5SELL|68LHND|7AART|aRCR
3	11513 61352	 * 	196.75	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	189VULN|2RCVC|38DUR|4LHND|5CDMG|68DMG|7AART|8BPWR|aRCR
4	13622 37831	 * 	191.74	ACR|4VULN|3DMG|1ZMB	1678VULN|28CGEN|3MBVNT|48aDMG|5RCR|8BPWR|9ZMB
5	12232 66261	   	190.35	DCR|4VULN|3DMG|2DUR	1367VULN|23FEWX|37BPWR|478DMG|57DUR|9RCR|aCGEN
6	12232 66262	   	190.25	DCR|4VULN|3DMG|2DUR	1367VULN|23FEWX|37BPWR|478DMG|57DUR|9RCR|aDUST
7	13622 37834	 * 	189.74	ACR|4VULN|2DMG|1CDMG|1ZMB	1678VULN|28CGEN|3MBVNT|48DMG|5RCR|8BPWR|9ZMB|aCDMG
8	15232 61252	 * 	189.61	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	13VULN|235DUR|3BPWR|49DMG|6LIT|7AART|8RCR|aCDMG
9	11132 66253	   	187.85	DCR|4VULN|3DMG|2DUR	1679VULN|2RCVC|3BEXP|478DMG|57DUR|7BPWR|aRCR
10	11132 66263	   	187.15	DCR|3VULN|3DMG|2DUR|1ZMB	167VULN|2RCVC|3BEXP|478DMG|57DUR|7BPWR|9RCR|aZMB
11	12231 22423	   	185.96	DCR|3VULN|2DMG|1AART|2DUR|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9BEXP|aAART
12	15231 12423	   	185.96	DCR|3VULN|2DMG|1AART|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9BEXP|aAART
13	15231 22423	   	185.76	DCR|3VULN|2DMG|1AART|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9BEXP|aAART
14	15231 22463	   	185.76	DCR|3VULN|2DMG|1AART|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9FEWX|aAART
15	12413 23265	 * 	185.73	ACR|3DMG|2VULN|1AART|1DUR	18VULN|2FEWX|3RCR|48DUST|5DUR|6BASHEA|789DMG|8BPWR|aAART
16	14413 23263	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	18VULN|2BEXP|3RCR|48DUST|5DUR|6BASHEA|789DMG|8BPWR|aAART
17	12231 31352	 * 	184.82	DCR|4VULN|2DMG|1AART|1SELL	1389VULN|23FEWX|38BPWR|48DMG|5SELL|68LHND|7AART|aRCR
