0	Index      	 *	Score 	Summary	Detail	
1	65223 32621	 * 	189.17	DCR|3VULN|2AART|2DMG|1SELL	16aVULN|2SELL|35AART|46DMG|6BPWR|79FEWX|8RCR
2	22423 24261	 * 	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2AART|38aVULN|4ASPD|5RCVC|6DMG|7RCR|9CDMG
3	21122 24261	   	186.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	12MLV|38aVULN|4ZMB|5AART|6DMG|7RCR|9CDMG
4	65223 32631	 * 	184.52	DCR|2AART|2DMG|2VULN|1ZMB|1SELL	16VULN|2SELL|35AART|46DMG|6BPWR|7FEWX|8RCR|9ZMB|aLWND
5	65223 32632	 * 	184.42	DCR|2AART|2VULN|2DMG|1ZMB|1SELL	16VULN|2SELL|35AART|46DMG|6BPWR|7FEWX|8RCR|9ZMB|aDUST
6	65223 32633	 * 	184.42	DCR|2AART|2VULN|2DMG|1ZMB|1SELL	16VULN|2SELL|35AART|46DMG|6BPWR|7FEWX|8RCR|9ZMB|aERES
7	65223 36331	 * 	184.37	DCR|3DMG|2AART|2VULN|1SELL	16VULN|2SELL|35AART|467DMG|6BPWR|8LIT|9CGEN|aRCR
8	22141 44221	 * 	183.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14MLV|2AART|34DMG|4BPWR|5ZMB|6DUR|7RCR|8aVULN|9LHND
9	65224 33333	 * 	182.26	DCR|3DMG|2VULN|1AART|1DUR|1SELL	16VULN|2SELL|3AART|456DMG|6BPWR|7FEWX|8RPLT|9RCR|aDUR
10	22423 24263	   	182.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MLV|2AART|38VULN|4ASPD|5RCVC|6DMG|7RCR|9CDMG|aZMB
11	32381 47338	 * 	181.92	DCR|3VULN|3DMG|1ZMB	18BEXP|2ERES|3MBVNT|458DMG|6RCR|789VULN|8BPWR|aZMB
12	22141 28414	 * 	181.22	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	14MLV|2AART|349DMG|4BPWR|5ZMB|6MBVNT|7RCR|8ASPD|aVULN
13	22141 44233	 * 	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14MLV|2AART|34DMG|4BPWR|5ZMB|6DUR|7RCR|8VULN|9RCVC|aCDMG
14	22463 24234	   	178.92	DCR|2VULN|2DMG|1AART|1ZMB	1MLV|2AART|38VULN|4ZMB|5RCVC|6aDMG|7RCR|9MBVNT
15	65223 33113	 * 	178.48	4VULN|2AART|2DMG|2CDMG|2ASPD|1SELL	168aVULN|2SELL|35AART|46DMG|6aBPWR|7aASPD|9aCDMG
16	15242 42342	 * 	178.31	DCR|3VULN|2DMG|1AART|1DUR	18CGEN|28DMG|3MBVNT|4LHND|5DUR|678VULN|8BPWR|9RCR|aAART
17	32381 47363	   	177.86	DCR|3VULN|3DMG|1DUR	18BEXP|2ERES|3MBVNT|458DMG|6RCR|78aVULN|8BPWR|9DUR
18	65224 32333	 * 	176.63	DCR|3DMG|2VULN|1AART|1SELL	16VULN|2SELL|3AART|456DMG|6BPWR|7LWND|8RPLT|9RCR|aRCVC
19	22141 14221	   	176.32	DCR|2VULN|2DMG|1AART|1ZMB	14MLV|2AART|34DMG|4BPWR|5ZMB|6BEXP|7RCR|8aVULN|9LHND
20	22141 14251	   	176.32	DCR|2VULN|2DMG|1AART|1ZMB	14MLV|2AART|34DMG|4BPWR|5ZMB|6BEXP|7RCR|8aVULN|9FEWX
21	22141 34221	   	176.32	DCR|2VULN|2DMG|1AART|1ZMB	14MLV|2AART|34DMG|4BPWR|5ZMB|6FEWX|7RCR|8aVULN|9LHND
22	22141 28221	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	14MLV|2AART|34DMG|4BPWR|5ZMB|6MBVNT|7RCR|8aVULN|9LHND
