0	Index      	 *	Score 	Summary	Detail	
1	53333 15123	 * 	183.43	ACR|3VULN|2DMG|1AART|1DUR	19DMG|2ERES|39LIT|4RCR|5DUST|6DUR|789VULN|9BPWR|aAART
2	33166 13511	 * 	180.85	ACR|2DMG|1AART|1VULN|1CDMG|2ASPD|1ZMB	18ASPD|28ERES|3ZMB|4LWND|5RCR|68DMG|7AART|8BPWR|9CDMG|aVULN
3	51633 22511	 * 	179.38	ACR|2VULN|2DMG|1AART|1CDMG	15DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|8aVULN|9CDMG
4	51661 13113	   	178.89	ACR|3VULN|2DMG|1AART	18DMG|26LHND|3RCR|4RPLT|589VULN|78BASHEA|8BPWR|aAART
5	51661 23113	   	178.89	ACR|3VULN|2DMG|1AART	18DMG|2LHND|3RCR|4RPLT|589VULN|6RCVC|78BASHEA|8BPWR|aAART
6	15321 46231	   	178.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2BELT|3RCR|4CDMG|59VULN|6ASPD|7ZMB|8AART|aDMG
7	21631 13232	 * 	178.29	ACR|2VULN|2DMG|1AART|2ZMB	167FEWX|29DMG|3RCR|4RCVC|59ZMB|89VULN|9BPWR|aAART
8	54631 13232	   	178.29	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|267FEWX|3RCR|4RCVC|59ZMB|89VULN|9BPWR|aAART
9	36131 33464	 * 	177.66	DCR|3VULN|2DMG|2ASPD|1CDMG	1aASPD|2CDMG|3RPLT|4MBVNT|5LEGI|67aVULN|8RCR|9aDMG|aBPWR
10	21621 11266	   	176.84	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2aDMG|3RCR|4LWND|5LIT|6AART|7aBEXP|8ZMB|9aVULN|aBPWR
11	53333 25123	   	176.49	ACR|3VULN|2DMG|1AART	19DMG|2ERES|39LIT|4RCR|5DUST|6LWND|789VULN|9BPWR|aAART
12	15321 26231	 * 	176.05	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2BELT|3RCR|4CDMG|579VULN|6BEXP|8AART|aDMG
13	33342 61315	 * 	175.85	DCR|3DMG|2VULN|1CDMG|1ASPD	1ASPD|2aERES|3LIT|4MLV|57aDMG|6RCR|8CDMG|9aVULN|aBPWR
14	25221 16231	 * 	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3DUST|4CDMG|579VULN|6RCR|8AART|aDMG
15	31336 61353	 * 	174.63	DCR|3DMG|1AART|1VULN|2ASPD	18ASPD|28LHND|347DMG|58LIT|6RCR|8BPWR|9VULN|aAART
16	22364 11332	   	174.19	ACR|3VULN|2DMG|1AART	146FEWX|2RMIN|39DMG|5RCR|789VULN|9BPWR|aAART
17	21264 11332	   	174.09	ACR|3VULN|2DMG|1AART	146FEWX|29DMG|39TLV|5RCR|789VULN|9BPWR|aAART
18	21314 43363	   	173.88	ACR|2VULN|2DMG|1AART|1CDMG	1FEWX|23DMG|4RMIN|5RCR|6LWND|7AART|89VULN|aCDMG
19	11633 13212	 * 	173.43	ACR|3DMG|1AART|1VULN|2DUR	157DUST|258DMG|3RCR|4RCVC|58BPWR|68DUR|9VULN|aAART
20	11633 23212	   	173.43	ACR|3DMG|1AART|1VULN|2DUR	156DUST|258DMG|3RCR|4RCVC|58BPWR|78DUR|9VULN|aAART
21	34316 11623	 * 	173.33	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1ASPD|2aFEWX|36DMG|4MLV|5RCR|7aCDMG|8ZMB|9aVULN|aBPWR
22	51623 33511	 * 	171.79	ACR|3VULN|3DMG|1AART|1MSE	18aDMG|28LHND|3RCR|4LWND|5MSE|678VULN|8BPWR|9AART
23	15321 16231	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2BELT|3RCR|4CDMG|59VULN|6RMIN|7ZMB|8AART|aDMG
24	15321 26263	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2BELT|3RCR|4CDMG|57VULN|6BEXP|8AART|9DMG|aZMB
25	56111 16221	 * 	171.35	ACR|3DMG|1AART|1VULN|1CDMG	16aDMG|2CDMG|3RPLT|4MLV|5RCR|7VULN|8AART|9LHND
26	11633 21314	 * 	171.14	ACR|3VULN|3DMG	156DUST|257DMG|3RCR|4RCVC|5BPWR|89aVULN
27	21134 42353	   	170.92	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|256DMG|3ZMB|4MBVNT|7AART|8DUR|9VULN|aRCR
28	54134 42353	   	170.92	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	156DMG|2FEWX|3ZMB|4MBVNT|7AART|8DUR|9VULN|aRCR
29	51643 13211	   	170.77	ACR|2VULN|2DMG|1AART|1ASPD	1aDMG|2LHND|3RCR|4MLV|57VULN|6ASPD|8BEXP|9AART
30	51643 13311	   	170.77	ACR|2VULN|2DMG|1AART|1ASPD	1aDMG|2LHND|3RCR|4MLV|57VULN|6ASPD|8LWND|9AART
31	51613 13211	   	170.67	ACR|2VULN|2DMG|1AART|1ASPD	1aDMG|2LHND|3RCR|4TLV|57VULN|6ASPD|8BEXP|9AART
32	51613 13311	   	170.67	ACR|2VULN|2DMG|1AART|1ASPD	1aDMG|2LHND|3RCR|4TLV|57VULN|6ASPD|8LWND|9AART
33	51633 26311	 * 	170.60	ACR|2DMG|2AART|1VULN|1ZMB	15DMG|259LHND|3RCR|4RCVC|5BPWR|67AART|8ZMB|aVULN
34	51613 32311	   	170.57	ACR|2VULN|2DMG|1AART|1DUR	1aDMG|2LHND|3RCR|4TLV|57VULN|6DUR|8ERES|9AART
