0	Index      	 *	Score 	Summary	Detail	
1	14111 25531	 * 	195.21	DCR|4VULN|2DMG|3ZMB|1SELL	16aZMB|2SNIHEL|3SELL|458aVULN|7RCR|9aDMG|aBPWR
2	32661 22316	 * 	182.17	DCR|2DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	1TLV|2aLHND|3VULN|4DUR|5AART|6RCR|7aDMG|8ASPD|9aCDMG|aBPWR
3	11411 16336	 * 	177.77	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2FEWX|3LWND|469aVULN|5AART|7CDMG|8RCR
4	11621 16336	   	177.77	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2FEWX|369aVULN|4LHND|5AART|7CDMG|8RCR
5	31111 22122	 * 	175.23	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aFEWX|3BEXP|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
6	31631 22422	   	175.23	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aFEWX|3VULN|4DUR|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
7	31631 22622	   	175.23	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aFEWX|3VULN|4DUR|5AART|6RCR|7aDMG|8BEXP|9aFLTHEA|aBPWR
8	31651 22122	   	175.23	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aFEWX|3VULN|4BEXP|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
9	32111 22316	   	175.23	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1TLV|2aLHND|3BEXP|4VULN|5AART|6RCR|7aDMG|8ASPD|9aCDMG|aBPWR
10	32651 22316	   	175.23	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1TLV|2aLHND|3VULN|4BEXP|5AART|6RCR|7aDMG|8ASPD|9aCDMG|aBPWR
11	32661 22222	   	175.23	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aLHND|3VULN|4DUR|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
12	35111 22316	   	175.23	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1TLV|2aLWND|3BEXP|4VULN|5AART|6RCR|7aDMG|8ASPD|9aCDMG|aBPWR
13	35661 22222	   	175.23	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aLWND|3VULN|4DUR|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
14	31511 22122	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1TLV|2aFEWX|3DUST|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
15	41511 22122	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1BEXP|2aDUST|3MLV|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
16	42411 22316	   	175.13	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1BEXP|2aERES|3LWND|4VULN|5AART|6RCR|7aDMG|8ASPD|9aCDMG|aBPWR
17	42621 22316	 * 	175.13	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1aBEXP|2ERES|3aVULN|4LEGI|5AART|6RCR|7DMG|8ASPD|9aCDMG|aBPWR
18	42631 22222	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1BEXP|2aERES|3VULN|4DUR|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
19	42631 22422	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1BEXP|2aERES|3VULN|4DUR|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
20	51511 22122	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1FEWX|2aDUST|3MLV|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
21	52111 22122	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1FEWX|2aERES|3BEXP|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
