0	Index      	 *	Score 	Summary	Detail	
1	36121 14215	 * 	220.74	ACR|3VULN|3DMG|1AART|3CDMG	169DMG|2AART|3LWND|49aVULN|5RCR|789CDMG|9BPWR
2	36314 14213	 * 	216.32	DCR|3VULN|3DMG|1AART|2CDMG	169DMG|2AART|389VULN|4DUR|5DUST|79CDMG|9BPWR|aRCR
3	36311 14611	 * 	215.10	ACR|3DMG|2VULN|1AART|2CDMG|3DUR	169DMG|2AART|3aVULN|489DUR|5RCR|79CDMG|9BPWR
4	36121 14211	   	206.39	ACR|3DMG|2VULN|1AART|3CDMG	169DMG|2AART|3LWND|49VULN|5RCR|789CDMG|9BPWR|aRCVC
5	36121 14213	   	205.09	ACR|3DMG|2VULN|1AART|3CDMG	169DMG|2AART|3LWND|49VULN|5RCR|789CDMG|9BPWR|aCGEN
6	36121 14214	   	205.09	ACR|3DMG|2VULN|1AART|3CDMG	169DMG|2AART|3aLWND|49VULN|5RCR|789CDMG|9BPWR
7	36121 14212	   	204.99	ACR|3DMG|2VULN|1AART|3CDMG	169DMG|2AART|3LWND|49VULN|5RCR|789CDMG|9BPWR|aTLV
8	36121 14216	   	204.99	ACR|3DMG|2VULN|1AART|3CDMG	169DMG|2AART|3LWND|49VULN|5RCR|789CDMG|9BPWR|aERES
9	36311 14211	   	201.04	ACR|3DMG|1AART|3CDMG|1VULN|2DUR	169DMG|2AART|3VULN|49DUR|5RCR|789CDMG|9BPWR|aRCVC
10	36314 14113	   	200.57	DCR|3DMG|2VULN|1AART|2CDMG	169DMG|2AART|39VULN|4DUR|58DUST|79CDMG|9BPWR|aRCR
11	36311 14213	   	199.73	ACR|3DMG|1AART|3CDMG|1VULN|2DUR	169DMG|2AART|3VULN|49DUR|5RCR|789CDMG|9BPWR|aCGEN
12	36311 14214	   	199.73	ACR|3DMG|1AART|3CDMG|1VULN|2DUR	169DMG|2AART|3VULN|49DUR|5RCR|789CDMG|9BPWR|aLWND
13	36311 14216	   	199.73	ACR|3DMG|1AART|3CDMG|1VULN|2DUR	169DMG|2AART|3VULN|49DUR|5RCR|789CDMG|9BPWR|aMLV
14	36311 14212	   	199.63	ACR|3DMG|1AART|3CDMG|1VULN|2DUR	169DMG|2AART|3VULN|49DUR|5RCR|789CDMG|9BPWR|aTLV
15	31623 62611	   	199.05	ACR|3DMG|2VULN|1AART|2CDMG	139DMG|23aMLV|3aBPWR|4RCR|5DLOT|6AART|7aCDMG|8aVULN
