0	Index      	 *	Score 	Summary	Detail	
1	36424 31233	 * 	190.01	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1BEXP|29DMG|38ASPD|47VULN|5CDMG|6RCR|aAART
2	26116 15312	 * 	188.08	ACR|4VULN|3CDMG|1AART|1DUR	189FEWX|289CDMG|3CGEN|4RCR|5DUR|689aVULN|7AART|89BPWR
3	52122 73354	 * 	182.68	DCR|2VULN|2DMG|1AART|2CDMG	1RCVC|2MBVNT|3aFEWX|48VULN|5AART|6aCDMG|7aDMG|9RCR|aBPWR
4	45321 22336	 * 	180.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2DMG|3RMIN|4ZMB|578VULN|6AART|9RCR|aCDMG
5	43125 22236	   	180.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|378VULN|4ERES|5DMG|6AART|9RCR|aCDMG
6	31521 42343	 * 	180.33	DCR|3VULN|2AART|1DMG|1ZMB	1BEXP|2RPLT|35AART|478VULN|6ZMB|9RCR|aDMG
7	61521 41331	   	179.87	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|2CDMG|3RCVC|45VULN|6RCR|79DMG|8CGEN|aAART
8	52125 34114	 * 	178.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCVC|2MBVNT|3FEWX|4aVULN|5CDMG|6RCR|7AART|8DMG|9FLTHEA
9	26111 12155	 * 	177.94	ACR|3VULN|2DMG|1CDMG|1ZMB	1FEWX|2CDMG|3CGEN|4RCR|56aVULN|78DMG|9ZMB
10	16111 12155	   	177.84	ACR|3VULN|2DMG|1CDMG|1ZMB	1DUST|2CDMG|3CGEN|4RCR|56aVULN|78DMG|9ZMB
11	36424 31131	 * 	177.16	DCR|3DMG|2VULN|1CDMG|1ASPD	1BEXP|289DMG|3ASPD|47VULN|5CDMG|6RCR|aRCVC
12	36233 32226	 * 	176.73	DCR|3DMG|2VULN|2CDMG|1ZMB	1BEXP|279DMG|3ERES|4FEWX|59CDMG|6ZMB|89VULN|9BPWR|aRCR
13	13152 63612	   	175.93	ACR|4VULN|1AART|1CDMG|1DUR	17DUST|2579VULN|37LIT|4RCR|6AART|7BPWR|8DUR|aCDMG
14	36424 31132	   	175.85	DCR|3DMG|2VULN|1CDMG|1ASPD	1aBEXP|289DMG|3ASPD|47VULN|5CDMG|6RCR
15	36424 31133	   	175.85	DCR|3DMG|2VULN|1CDMG|1ASPD	1BEXP|289DMG|3ASPD|47VULN|5CDMG|6RCR|aLIT
16	36424 31313	 * 	175.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1BEXP|2aDMG|3ASPD|479VULN|5CDMG|6RCR|8LIT
17	26111 13125	   	174.07	ACR|3VULN|2DMG|1CDMG|1ASPD	19FEWX|2CDMG|39CGEN|4RCR|56aVULN|7ASPD|89DMG|9BPWR
18	45321 22335	   	174.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2DMG|3RMIN|4ZMB|578VULN|6AART|9RCR|aDUR
19	26116 15311	   	173.98	ACR|3VULN|3CDMG|1AART|1DUR	189FEWX|289CDMG|3aCGEN|4RCR|5DUR|689VULN|7AART|89BPWR
20	43125 22235	   	173.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2ZMB|378VULN|4ERES|5DMG|6AART|9RCR|aDUR
21	31521 42342	 * 	173.92	DCR|3VULN|2AART|1CDMG|1ZMB	1BEXP|2RPLT|35AART|478VULN|6ZMB|9RCR|aCDMG
22	16111 13125	   	173.87	ACR|3VULN|2DMG|1CDMG|1ASPD	19DUST|2CDMG|39CGEN|4RCR|56aVULN|7ASPD|89DMG|9BPWR
23	23155 21513	 * 	173.87	ACR|3DMG|2VULN|1CDMG|1ASPD	1FEWX|29VULN|3LIT|4RCR|5ASPD|68aDMG|7CDMG
24	23156 21513	   	173.87	ACR|3DMG|2VULN|1CDMG|1ASPD	1FEWX|29VULN|3LIT|4RCR|58aDMG|6ASPD|7CDMG
25	33155 21513	   	173.87	ACR|3DMG|2VULN|1CDMG|1ASPD	1BEXP|29VULN|3LIT|4RCR|5ASPD|68aDMG|7CDMG
26	33156 21513	   	173.87	ACR|3DMG|2VULN|1CDMG|1ASPD	1BEXP|29VULN|3LIT|4RCR|58aDMG|6ASPD|7CDMG
27	13155 21513	   	173.77	ACR|3DMG|2VULN|1CDMG|1ASPD	1DUST|29VULN|3LIT|4RCR|5ASPD|68aDMG|7CDMG
28	13156 21513	   	173.77	ACR|3DMG|2VULN|1CDMG|1ASPD	1DUST|29VULN|3LIT|4RCR|58aDMG|6ASPD|7CDMG
29	36424 31231	   	173.75	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1BEXP|29DMG|38ASPD|47VULN|5CDMG|6RCR|aDUR
30	45331 12126	 * 	173.65	DCR|3VULN|3DMG|2DUR	1RPLT|279DMG|3RMIN|4ERES|569VULN|89DUR|9BPWR|aRCR
