0	Index      	 *	Score 	Summary	Detail	
1	21131 16264	 * 	195.57	DCR|3VULN|2DMG|3CDMG|1AART	158CDMG|2DMSP|348VULN|68DMG|7MBVNT|8BPWR|9AART|aRCR
2	21134 13652	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMSP|34aVULN|5DUR|6RPLT|7RCR|8DMG|9AART
3	21135 16234	   	177.38	DCR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2DMSP|34VULN|58DMG|6BELT|7AART|9RCR
4	21131 16157	   	176.57	DCR|3VULN|2DMG|3CDMG	15aCDMG|2DMSP|34aVULN|6aDMG|7MBVNT|8RCR|9RPLT|aBPWR
5	42523 43224	 * 	176.03	DCR|3DMG|1AART|1VULN|1CDMG	19aDMG|2LEGI|3MBVNT|4CDMG|5ERES|6RCR|7AART|8VULN
6	62351 12621	   	174.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	17DUST|27VULN|3BEXP|4AART|5ASPD|67DMG|7BPWR|8DMSP|9ZMB|aRCR
7	21125 13363	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|3aVULN|48DMG|5CGEN|6RPLT|7RCR|9AART
8	21124 13663	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|3aVULN|48DMG|5ERES|6RPLT|7RCR|9AART
9	41532 31224	 * 	174.15	DCR|3DMG|2VULN|3ZMB	149DMG|26RCVC|3DUST|589ZMB|79VULN|9BPWR|aRCR
10	21135 13154	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|59DMG|6BELT|7RCR|8RPLT|aAART
11	21135 13513	 * 	174.03	DCR|4VULN|1DMG|1CDMG|1ZMB	1CDMG|2DMSP|349aVULN|5DMG|6BELT|7RCR|8ZMB
12	13115 15612	   	172.66	DCR|2VULN|2DMG|1AART|1CDMG	13ERES|2LIT|4AART|5CDMG|6aDMG|78VULN|9RCR
13	21134 63512	 * 	172.46	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2DMSP|34VULN|5DUR|67AART|8LIT|9RCR|aDMG
14	63333 62212	 * 	172.35	ACR|3DMG|1AART|1VULN|1CDMG	13DUST|2RCVC|4CDMG|5RCR|6AART|789DMG|aVULN
15	42528 33224	   	171.75	ACR|3DMG|1AART|1VULN|1CDMG	19aDMG|2LEGI|3MBVNT|4CDMG|5RCR|6MLV|7AART|8VULN
16	21131 16268	 * 	171.72	4VULN|3DMG|3CDMG|1AART	158CDMG|2DMSP|348aVULN|68aDMG|7MBVNT|8aBPWR|9AART
17	21243 25612	   	171.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|3LIT|4RMIN|5aDMG|6AART|78VULN|9RCR
18	21633 25612	   	171.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|3MLV|4LIT|5aDMG|6AART|78VULN|9RCR
19	21233 25612	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|3LIT|4TLV|5aDMG|6AART|78VULN|9RCR
20	41313 25612	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RCVC|3TLV|4LIT|5CDMG|6AART|78VULN|9RCR
21	41333 25612	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2RCVC|3TLV|4CDMG|5LIT|6AART|78VULN|9RCR
22	21535 82142	 * 	171.50	ACR|3VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1CDMG|2DMSP|3MBVNT|48aVULN|5RCR|6FLTHEA|7ZMB|9DMG
23	22142 25612	   	171.29	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	14CDMG|2ZMB|3LIT|5ERES|6AART|78VULN|9RCR|aDMG
24	21135 16231	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|58DMG|6BELT|7AART|9RCR|aBEXP
25	21135 16232	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|58DMG|6BELT|7AART|9RCR|aLHND
26	21135 16233	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|58DMG|6BELT|7AART|9RCR|aRMIN
27	21135 16236	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|58DMG|6BELT|7AART|9RCR|aCGEN
28	22551 15221	   	170.94	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2ZMB|3DUR|45VULN|67DMG|8RMIN|9RCR|aASPD
29	41361 11325	 * 	170.57	DCR|3DMG|2VULN|1AART	148DMG|2RCVC|345TLV|48BPWR|68VULN|7AART|9RPLT|aRCR
30	21123 13226	   	170.53	DCR|3VULN|2DMG|2CDMG	1aCDMG|2DMSP|36aVULN|4aDMG|57RPLT|8RCR|9LEGI|aBPWR
