0	Index      	 *	Score 	Summary	Detail	
1	34363 22342	 * 	203.68	ACR|4VULN|3DMG|1CDMG|1ASPD|1SELL	18BEXP|258DMG|3568VULN|4RCR|58BPWR|7SELL|9ASPD|aCDMG
2	54363 32112	 * 	203.14	ACR|3VULN|3DMG|1AART|1ZMB	1DUST|259DMG|356VULN|4RCR|5BPWR|7CGEN|8ZMB|aAART
3	34363 12161	 * 	202.34	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB	1BEXP|259DMG|35VULN|4RCR|5BPWR|6DUST|7CDMG|8AART|aZMB
4	34363 26213	   	199.78	ACR|3VULN|3DMG|1AART|1DUR	1BEXP|258DMG|356VULN|4RCR|5BPWR|7LIT|9AART|aDUR
5	54361 23212	   	198.98	ACR|3VULN|3DMG|1AART|1DUR	1DUST|279DMG|368VULN|4RCR|5DUR|aAART
6	34363 12126	 * 	198.28	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|25DMG|35aVULN|4RCR|5BPWR|6DUST|7CDMG|8AART|9DUR
7	34363 12152	   	198.28	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|25DMG|359VULN|4RCR|5BPWR|6DUST|7CDMG|8AART|aDUR
8	34363 24111	 * 	196.99	ACR|4VULN|3DMG|1CDMG	17aBEXP|257DMG|3567VULN|4RCR|57BPWR|8LHND|9CDMG
9	34363 24113	   	196.89	ACR|4VULN|3DMG|1CDMG	17BEXP|257DMG|3567VULN|4RCR|57BPWR|8LHND|9CDMG|aERES
10	34363 24311	   	196.89	ACR|4VULN|3DMG|1CDMG	17aBEXP|257DMG|3567VULN|4RCR|57BPWR|8LEGI|9CDMG
11	34363 24313	   	196.79	ACR|4VULN|3DMG|1CDMG	17BEXP|257DMG|3567VULN|4RCR|57BPWR|8LEGI|9CDMG|aERES
12	34363 13112	   	196.69	ACR|4VULN|3DMG|1CDMG	1BEXP|257DMG|358aVULN|4RCR|5BPWR|6DUST|9CDMG
13	34363 21412	   	196.69	ACR|4VULN|3DMG|1CDMG	1BEXP|258DMG|356aVULN|4RCR|5BPWR|7DUST|9CDMG
14	34363 22111	   	196.55	ACR|4VULN|3DMG|1CDMG|1SELL	1BEXP|259DMG|356aVULN|4RCR|5BPWR|7SELL|8CDMG
15	34363 22336	 * 	195.82	ACR|5VULN|3DMG|1SELL	18BEXP|258DMG|3568aVULN|4RCR|58BPWR|7SELL|9DLOT
16	34363 22352	 * 	195.82	ACR|5VULN|3DMG|1SELL	18BEXP|258DMG|3568aVULN|4RCR|58BPWR|7SELL|9MBVNT
17	34363 24132	   	194.24	ACR|4VULN|3DMG|1ZMB	17BEXP|257DMG|3567VULN|4RCR|57BPWR|8LHND|9ERES|aZMB
18	34363 24332	   	194.14	ACR|4VULN|3DMG|1ZMB	17BEXP|257DMG|3567VULN|4RCR|57BPWR|8LEGI|9ERES|aZMB
19	34363 26221	   	194.14	ACR|4VULN|3DMG|1ZMB	1BEXP|258DMG|3569VULN|4RCR|5BPWR|7LIT|aZMB
20	34363 26211	   	192.84	ACR|3VULN|3DMG|1AART	1BEXP|258DMG|356VULN|4RCR|5BPWR|7LIT|9AART|aLWND
21	34363 26212	   	192.84	ACR|3VULN|3DMG|1AART	1BEXP|258DMG|356VULN|4RCR|5BPWR|7LIT|9AART|aFEWX
22	34363 23312	   	192.24	ACR|3VULN|3DMG|1AART	17BEXP|259DMG|356VULN|4RCR|5BPWR|8FEWX|aAART
23	34363 25312	   	192.24	ACR|3VULN|3DMG|1AART	1BEXP|259DMG|356VULN|4RCR|5BPWR|7RCVC|8FEWX|aAART
24	34363 21112	   	192.14	ACR|3VULN|3DMG|1AART	1BEXP|259DMG|356VULN|4RCR|5BPWR|7DUST|8RCVC|aAART
25	54363 33112	   	192.14	ACR|3VULN|3DMG|1AART	1DUST|259DMG|356VULN|4RCR|5BPWR|7BEXP|8RCVC|aAART
26	34363 13122	   	192.04	ACR|3VULN|3DMG|1AART	1BEXP|257DMG|358VULN|4RCR|5BPWR|69DUST|aAART
27	34363 21422	   	192.04	ACR|3VULN|3DMG|1AART	1BEXP|258DMG|356VULN|4RCR|5BPWR|79DUST|aAART
28	34363 21612	   	192.04	ACR|3VULN|3DMG|1AART	1BEXP|259DMG|356VULN|4RCR|5BPWR|78DUST|aAART
29	34363 32212	   	192.04	ACR|3VULN|3DMG|1AART	1BEXP|259DMG|358VULN|4RCR|5BPWR|6TLV|7NUKE|aAART
30	34363 42212	   	192.04	ACR|3VULN|3DMG|1AART	1BEXP|259DMG|358VULN|4RCR|5BPWR|6ERES|7NUKE|aAART
31	54363 31312	   	192.04	ACR|3VULN|3DMG|1AART	17DUST|259DMG|356VULN|4RCR|5BPWR|8FEWX|aAART
32	34363 12151	   	191.34	ACR|3VULN|2DMG|1AART|1CDMG	1BEXP|25DMG|359VULN|4RCR|5BPWR|6DUST|7CDMG|8AART|aMLV
33	34363 12163	   	191.34	ACR|3DMG|2VULN|1AART|1CDMG	1BEXP|259DMG|35VULN|4RCR|5BPWR|6DUST|7CDMG|8AART|aLIT
34	34363 12153	   	191.24	ACR|3VULN|2DMG|1AART|1CDMG	1BEXP|25DMG|359VULN|4RCR|5BPWR|6DUST|7CDMG|8AART|aERES
35	34363 12162	   	191.24	ACR|3DMG|2VULN|1AART|1CDMG	1BEXP|259DMG|35VULN|4RCR|5BPWR|6DUST|7CDMG|8AART|aLEGI
36	34363 12261	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	1BEXP|25DMG|359VULN|4RCR|5BPWR|6DUST|7CDMG|8RCVC|aAART
37	34363 12361	   	190.14	ACR|3VULN|2DMG|1AART|1CDMG	18BEXP|25DMG|359VULN|4RCR|5BPWR|6DUST|7CDMG|aAART
38	34363 32361	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	1BEXP|25DMG|359VULN|4RCR|5BPWR|6TLV|7NUKE|8CDMG|aAART
39	34363 22321	   	190.03	ACR|4VULN|3DMG|1DUR|1SELL	18BEXP|258DMG|3568VULN|4RCR|58BPWR|7SELL|9RPLT|aDUR
40	34363 22341	   	190.03	ACR|4VULN|3DMG|1ASPD|1SELL	18BEXP|258DMG|3568VULN|4RCR|58BPWR|7SELL|9ASPD|aDMSP
41	34363 22343	   	190.03	ACR|4VULN|3DMG|1ASPD|1SELL	18BEXP|258DMG|3568VULN|4RCR|58BPWR|7SELL|9ASPD|aLWND
42	34363 24221	   	190.03	ACR|4VULN|3DMG|1DUR|1SELL	17BEXP|257DMG|3567VULN|4RCR|57BPWR|8SELL|9RPLT|aDUR
43	34363 22331	   	189.93	ACR|4VULN|3DMG|1ASPD|1SELL	18BEXP|258DMG|3568VULN|4RCR|58BPWR|7SELL|9DLOT|aASPD
