0	Index      	 *	Score 	Summary	Detail	
1	54123 23311	 * 	207.54	ACR|4VULN|2DMG|1AART|2ASPD	138aVULN|2aASPD|4RCR|5AART|68LHND|78LIT|8aBPWR|9aDMG
2	54123 23411	 * 	204.68	ACR|3VULN|2AART|2DMG|2ASPD	13aVULN|2aASPD|4RCR|58AART|6LHND|7LIT|9aDMG|aBPWR
3	54122 42322	   	195.53	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	135VULN|2ASPD|4RCR|6ERES|7aDMG|8AART|9ZMB
4	54123 32141	   	195.42	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	13VULN|2ASPD|4RCR|5AART|6CDMG|7LIT|8aDMG|9ZMB
5	54123 32135	   	191.03	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	13VULN|29ASPD|4RCR|5AART|6CDMG|7LIT|8aDMG
6	54123 32133	   	189.10	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	13aVULN|29ASPD|4RCR|5AART|6CDMG|7LIT|8DMG
7	54123 32136	   	187.10	ACR|2VULN|1AART|1DMG|1FLTHEA|2ASPD|1CDMG	13VULN|29ASPD|4RCR|5AART|6CDMG|7LIT|8DMG|aFLTHEA
8	54123 23313	   	186.63	ACR|3VULN|2DMG|1AART|1ASPD	138VULN|2ASPD|4RCR|5AART|68LHND|78LIT|8BPWR|9aDMG
9	53123 16321	   	186.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	13aVULN|2MLV|4RCR|5AART|6RMIN|7CDMG|8DMG|9ZMB
10	53123 46321	   	186.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	13aVULN|2MLV|4RCR|5AART|6ERES|7CDMG|8DMG|9ZMB
11	51123 46321	   	186.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	13aVULN|2TLV|4RCR|5AART|6ERES|7CDMG|8DMG|9ZMB
12	53122 65332	 * 	185.58	ACR|5VULN|1AART|1DMG|1SELL	13589VULN|2MLV|4RCR|6DMG|7SELL|aAART
13	51122 65332	 * 	185.48	ACR|5VULN|1AART|1DMG|1SELL	13589VULN|2TLV|4RCR|6DMG|7SELL|aAART
14	53122 42325	   	185.10	ACR|4VULN|1AART|1DMG|1ZMB	135aVULN|2MLV|4RCR|6ERES|7DMG|8AART|9ZMB
15	51122 42325	   	185.00	ACR|4VULN|1AART|1DMG|1ZMB	135aVULN|2TLV|4RCR|6ERES|7DMG|8AART|9ZMB
16	54123 33521	   	184.88	ACR|3VULN|2AART|1CDMG|1ZMB|1ASPD	13aVULN|2ASPD|4RCR|58AART|6CDMG|7BEXP|9ZMB
17	54123 23341	 * 	184.74	ACR|4VULN|1AART|2ZMB|2ASPD	138aVULN|2aASPD|4RCR|5AART|68LHND|78LIT|8aBPWR|9aZMB
18	53122 42323	   	184.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	135VULN|2MLV|4RCR|6ERES|7DMG|8AART|9ZMB|aCDMG
19	53122 64323	   	184.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	135VULN|2MLV|4RCR|6DMG|7ERES|8AART|9ZMB|aCDMG
20	51122 42323	   	184.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	135VULN|2TLV|4RCR|6ERES|7DMG|8AART|9ZMB|aCDMG
