0	Index      	 *	Score 	Summary	Detail	
1	22365 34123	 * 	334.92	ACR|ACR|2TLV|2VULN|1AEFBLL|1CDMG|1SELL	1CDMG|23RCR|4BASICY|57VULN|6SELL|8AEFBLL|9aTLV
2	22326 22326	 * 	327.65	ACR|ACR|2TLV|2VULN|3CDMG	14aCDMG|23RCR|4aBPWR|5BELT|6ERES|7aTLV|8aVULN|9RMIN
3	22346 22313	   	322.61	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG|1ASPD	1CDMG|23RCR|4AEPOI|5BELT|6ERES|7TLV|8aVULN|9ASPD
4	22365 34122	   	322.37	ACR|ACR|2VULN|1TLV|1AEFBLL|1ASPD|1CDMG|1SELL	1CDMG|23RCR|4BASICY|57VULN|6SELL|8AEFBLL|9TLV|aASPD
5	22316 13536	   	322.31	ACR|ACR|2VULN|1TLV|1AEFBLL|2CDMG	19CDMG|23RCR|4LWND|57VULN|6ZMB|8AEFBLL|aTLV
6	22351 31343	   	322.01	ACR|ACR|2TLV|1VULN|1AEFBLL|1CDMG	1CDMG|23RCR|4ZMB|5RCVC|6AEFBLL|7DUR|89TLV|aVULN
7	22316 43511	   	321.61	ACR|ACR|2TLV|2VULN|2CDMG	19CDMG|23RCR|4LWND|59VULN|6DUST|7CGEN|89TLV|9BPWR|aLHND
8	22316 43512	   	321.51	ACR|ACR|2TLV|2VULN|2CDMG	19CDMG|23RCR|4LWND|59VULN|6DUST|7CGEN|89TLV|9BPWR|aERES
9	22316 43513	   	321.51	ACR|ACR|2TLV|2VULN|2CDMG	19CDMG|23RCR|4LWND|59VULN|6DUST|7CGEN|89TLV|9BPWR|aAEWIND
10	22322 31343	   	321.38	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	14CDMG|23RCR|4BPWR|5RMIN|6AEFBLL|7DUR|89TLV|aVULN
11	22322 36643	   	321.38	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	14CDMG|23RCR|4BPWR|5RMIN|6AEFBLL|79TLV|8DUR|aVULN
