0	Index      	 *	Score 	Summary	Detail	
1	33426 53123	 * 	298.13	DCR|2TLV|2VULN|2DMG|1AEPOI|1AART|1SELL	1ERES|25VULN|3SELL|45DMG|5BPWR|6RCR|7AART|8AEPOI|9aTLV
2	52323 22236	 * 	295.84	ACR|DCR|2VULN|1TLV|1ASPD	1LWND|2aRCR|3AETHUN|49VULN|5TLV|6ASPD|7RAT|8LIT
3	11324 12354	 * 	294.38	ACR|3VULN|2TLV|1DMG|1AEPOI	1AEPOI|2MLV|3RCR|4ERES|57TLV|69aVULN|8DMG
4	42631 13236	   	291.85	ACR|DCR|2VULN|1TLV	1DUST|2aRCR|3RAT|49VULN|5TLV|6DUR|7AAC|8LIT
5	13336 14252	 * 	290.28	DCR|2TLV|2VULN|1DMG|1AEPOI|1CDMG	1AEPOI|2RAT|38TLV|45VULN|6ERES|7CDMG|9DMG|aRCR
6	13523 33313	 * 	289.12	DCR|DCR|1TLV|1DMG|1AEPOI|1CDMG|1AART	1AEPOI|2RAT|3CGEN|4CDMG|5AART|69RCR|7DUR|8DMG|aTLV
7	21363 51612	 * 	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1AAC|2aRCR|3LEGI|4DUR|5DMG|6DUST|7TLV|8ASPD|9VULN
8	42113 66212	 * 	285.34	ACR|DCR|2TLV|1VULN|1CDMG	17DUST|2aRCR|3LHND|47FEWX|57TLV|6RPLT|7BPWR|8CDMG|9VULN
9	42631 51342	   	284.50	ACR|3VULN|2TLV|1ASPD	17DUST|2RCR|3RAT|478VULN|57TLV|6MBVNT|7BPWR|9DUR|aASPD
10	42631 51341	 * 	284.50	ACR|3TLV|3VULN	17DUST|2RCR|3RAT|478VULN|57aTLV|6MBVNT|7BPWR|9DUR
11	12434 12522	   	284.08	ACR|3VULN|2TLV|1AEPOI	1AEPOI|2CGEN|3MLV|4RCR|57TLV|69aVULN|8DUR
