0	Index      	 *	Score 	Summary	Detail	
1	51346 11321	 * 	345.45	DCR|5VULN|3TLV|3ASPD	189ASPD|2489aVULN|345TLV|489BPWR|689CGEN|7RCR
2	51312 16512	 * 	335.13	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9CGEN|aDUR
3	35251 63132	 * 	332.06	ACR|DCR|3TLV|3DMG|2CDMG	1aCDMG|29aTLV|37aDMG|48RCR|5AART|6RPLT|aBPWR
4	51322 13534	 * 	331.51	ACR|DCR|2TLV|1VULN|2ASPD|1DMG|1CDMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FEWX|aCDMG
5	51322 13524	   	331.41	ACR|DCR|2TLV|1VULN|2ASPD|1DMG|1CDMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9LEGI|aCDMG
6	35331 36312	 * 	330.17	ACR|DCR|2VULN|1TLV|2AART|1AEPOI|1CDMG	1CDMG|2TLV|36VULN|4aRCR|5MDPS|79AART|8AEPOI
7	51322 13543	   	328.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FRZFST|aAART
8	51536 21233	 * 	327.97	ACR|3VULN|2TLV|2DMG|2ASPD	18ASPD|278VULN|3DUR|4MLV|5RCR|68TLV|8BPWR|9aDMG
9	51322 13512	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9CGEN|aDUR
10	51322 13536	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FEWX|aNUKE
11	51322 13551	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9DUR|aAAC
12	51322 13552	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9DUR|aRPLT
13	51322 13553	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9DUR|aAME
14	51322 13562	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9AME|aDUR
15	54333 13512	   	327.52	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9CGEN|aDUR
16	51322 13526	   	327.42	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9LEGI|aNUKE
17	51346 11323	   	327.11	DCR|4VULN|3TLV|3ASPD	189ASPD|2489VULN|345TLV|489BPWR|689CGEN|7RCR|aLWND
18	51346 11322	   	327.01	DCR|4VULN|3TLV|3ASPD	189ASPD|2489VULN|345TLV|489BPWR|689CGEN|7RCR|aAEWIND
19	51312 16511	   	325.47	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9CGEN|aRPLT
20	51312 16513	   	325.47	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9CGEN|aBEXP
21	51312 16531	   	325.47	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9FEWX|aAAC
22	51312 16532	   	325.47	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9FEWX|aRPLT
23	51312 16533	   	325.47	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9FEWX|aAME
24	51312 16521	   	325.37	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9LEGI|aAAC
25	51312 16522	   	325.37	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9LEGI|aRPLT
26	51312 16523	   	325.37	DCR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2VULN|36TLV|4AEFBLL|5DMG|78RCR|9LEGI|aAME
27	54331 13411	   	325.37	ACR|DCR|1TLV|1VULN|2ASPD|1DMG|1AEBURN|1CDMG	18ASPD|2DMG|3TLV|49RCR|5AEBURN|6CDMG|7VULN|aLIT
28	54331 13412	   	325.37	ACR|DCR|1TLV|1VULN|2ASPD|1DMG|1AEBURN|1CDMG	18ASPD|2DMG|3TLV|49RCR|5AEBURN|6CDMG|7VULN|aLHND
29	54331 13413	   	325.37	ACR|DCR|1TLV|1VULN|2ASPD|1DMG|1AEBURN|1CDMG	18ASPD|2DMG|3TLV|49RCR|5AEBURN|6CDMG|7VULN|aBEXP
30	54333 41232	   	325.15	ACR|3VULN|2TLV|2DMG|2ASPD	18ASPD|29DMG|38TLV|4RCR|578VULN|6LEGI|8BPWR|aRAT
31	51342 11116	   	322.87	DCR|4VULN|3TLV|1DMG|1ASPD	1ASPD|249aVULN|346TLV|4BPWR|5DMG|7RCR|8RPLT
32	54333 41212	 * 	321.67	ACR|4VULN|2TLV|2ASPD|1DMG	18ASPD|2DMG|38TLV|4RCR|578aVULN|6LEGI|8BPWR|9BEXP
33	51536 21231	   	321.38	ACR|3VULN|2TLV|2ASPD|1DMG	18ASPD|278VULN|3DUR|4MLV|5RCR|68TLV|8BPWR|9DMG|aAART
34	51322 41242	   	320.52	ACR|2TLV|2VULN|2DMG|2ASPD|1AEFBLL	18ASPD|27VULN|38TLV|48DMG|5RCR|6LEGI|8BPWR|9AEFBLL|aRAT
35	51536 21232	   	320.04	ACR|3VULN|2TLV|2ASPD|1DMG	18ASPD|278VULN|3DUR|4MLV|5RCR|68TLV|8BPWR|9DMG|aNUKE
36	51342 11111	 * 	319.41	DCR|3TLV|3VULN|2DMG|1ASPD	1ASPD|249VULN|346TLV|4BPWR|5aDMG|7RCR|8RPLT
