0	Index      	 *	Score 	Summary	Detail	
1	34461 33211	 * 	316.88	DCR|2TLV|2VULN|3DMG|1AEBURN|1ASPD	19FEWX|269DMG|34TLV|5ASPD|79VULN|8RCR|9BPWR|aAEBURN
2	12324 22254	 * 	313.59	ACR|DCR|3VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45aVULN|5BPWR|6SPLJET|7RMIN|8TLV
3	12324 32254	   	313.59	ACR|DCR|3VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45aVULN|5BPWR|6MSLTOX|7RMIN|8TLV
4	12324 13552	   	308.96	ACR|DCR|2VULN|1TLV|1DMG|2FRZICY	1LIT|2aRCR|35FRZICY|45VULN|5BPWR|6TLV|7AAC|8MDPS|9DMG
5	12322 22254	   	306.88	ACR|DCR|3VULN|1TLV	1LIT|29RCR|3FRZICY|45aVULN|6SPLJET|7RMIN|8TLV
6	12322 32254	   	306.88	ACR|DCR|3VULN|1TLV	1LIT|29RCR|3FRZICY|45aVULN|6MSLTOX|7RMIN|8TLV
7	34461 23213	 * 	303.28	DCR|2TLV|2VULN|2DMG|2ASPD	19FEWX|29DMG|34TLV|56ASPD|79VULN|8RCR|9BPWR|aDUR
8	12322 13552	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	1LIT|2aRCR|3FRZICY|45VULN|6TLV|7AAC|8MDPS|9DMG
9	12336 35252	   	299.39	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LIT|2aRCR|3FRZICY|4ZMB|5TLV|6MDPS|7VULN|8AEPOI|9DMG
10	12336 52252	   	299.39	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LIT|2aRCR|3FRZICY|4ZMB|5TLV|6VULN|7MDPS|8AEPOI|9DMG
11	12324 16532	   	298.46	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|2aRCR|35FRZICY|45VULN|5BPWR|6TLV|7DUR|8DUST|9MBVNT
12	34461 33213	   	296.82	DCR|2TLV|2VULN|3DMG|1ASPD	19FEWX|269DMG|34TLV|5ASPD|79VULN|8RCR|9BPWR|aRMIN
13	34461 33212	   	296.72	DCR|2TLV|2VULN|3DMG|1ASPD|1MSE	19FEWX|269DMG|34TLV|5ASPD|79VULN|8RCR|9BPWR|aMSE
14	12324 22251	   	295.84	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6SPLJET|7RMIN|8TLV|aZMB
15	12324 32251	   	295.84	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6MSLTOX|7RMIN|8TLV|aZMB
16	12215 26133	 * 	295.41	ACR|ACR|2VULN|1TLV|1DMG	1LIT|25RCR|3LHND|4BEXP|6DMG|79VULN|8LWND|aTLV
17	12215 26633	   	295.31	ACR|ACR|2VULN|1TLV|1DMG	1LIT|25RCR|3LHND|4BEXP|6DMG|79VULN|8DUST|aTLV
18	34461 23211	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	19aFEWX|29DMG|34TLV|56ASPD|79VULN|8RCR|9BPWR
