0	Index      	 *	Score 	Summary	Detail	
1	12361 33346	 * 	290.26	DCR|3LIT|3VULN|2DMG	1RMIN|28aLIT|37aVULN|4LWND|5DUST|6RCR|9aDMG|aBPWR
2	35323 13213	 * 	284.01	ACR|2MLV|1LIT|2VULN|2DMG|3CDMG	1DMSP|2RCR|389CDMG|48MLV|5LIT|6aVULN|78DMG|8BPWR
3	32166 32427	 * 	283.32	DCR|2LIT|3VULN|3DMG	12DMSP|3AART|47aDMG|57aVULN|6MBVNT|7aBPWR|8aLIT|9RCR
4	26225 11433	 * 	282.75	ACR|2LIT|4VULN|2FLTARM	147ERES|268aVULN|3aFLTARM|5RCR|9aLIT|aBPWR
5	33533 22431	 * 	281.86	DCR|4VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356aVULN|4DMG|7RCR|8LIT|9CGEN
6	35323 13212	 * 	279.01	ACR|2LIT|2MLV|2DMG|1VULN|3CDMG	1DMSP|2RCR|389CDMG|48MLV|5aLIT|6VULN|78DMG|8BPWR
7	33533 22462	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9ASPD|aFEWX
8	33533 22443	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9MULARM|aASPD
9	33533 22461	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9ASPD|aERES
10	33533 22463	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9ASPD|aDUST
11	12143 63342	 * 	275.55	DCR|2LIT|3VULN|1MLV|1ASPD	1RMIN|2aLIT|3FEWX|457VULN|6MLV|8ASPD|9RCR
12	35323 13233	   	274.95	ACR|2MLV|1LIT|2VULN|2DMG|2CDMG	1DMSP|2RCR|38CDMG|48MLV|5LIT|6aVULN|78DMG|8BPWR|9RMIN
13	35323 13254	   	274.95	ACR|2MLV|1LIT|2VULN|2DMG|2CDMG	1DMSP|2RCR|38CDMG|48MLV|5LIT|6aVULN|78DMG|8BPWR|9BELT
14	12361 33146	   	272.96	DCR|2LIT|3VULN|2DMG	18RMIN|2aLIT|37aVULN|4LWND|5DUST|6RCR|9aDMG|aBPWR
15	12361 33246	   	272.96	DCR|2LIT|3VULN|2DMG	1RMIN|2aLIT|37aVULN|48LWND|5DUST|6RCR|9aDMG|aBPWR
16	33622 13366	 * 	272.81	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1DUR	1DMSP|2MLV|3DUR|45VULN|6CGEN|7DMG|8LIT|9FLTARM|aRCR
17	33622 23366	   	272.81	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1DUR	1DMSP|2MLV|3DUR|45VULN|6TLV|7DMG|8LIT|9FLTARM|aRCR
