0	Index      	 *	Score 	Summary	Detail	
1	42523 33153	 * 	313.42	ACR|3LIT|4VULN|2DMG|1MLV	1789VULN|2CGEN|37DMG|467LIT|5RCR|7BPWR|aMLV
2	42253 33153	 * 	301.87	ACR|3LIT|4VULN|1MLV|2ASPD	1789VULN|2CGEN|367LIT|47ASPD|5RCR|7BPWR|aMLV
3	11234 13166	 * 	301.45	DCR|2LIT|3VULN|2DMG|1MLV	17DMG|27LIT|3CGEN|4BEXP|567VULN|7BPWR|8RCR|9DUR|aMLV
4	15363 21312	 * 	300.11	DCR|2LIT|2VULN|3DMG|1MLV	17aDMG|2VENTOX|37VULN|4ERES|5ZMB|67LIT|7BPWR|8MLV|9RCR
5	43123 33153	   	295.83	ACR|3LIT|4VULN|1MLV|1DMG	1789VULN|2DMG|37CGEN|467LIT|5RCR|7BPWR|aMLV
6	12124 22224	   	295.05	DCR|3VULN|1LIT|2DMG|1MLV|2CDMG	18DMG|258VULN|3CGEN|4LIT|6BELT|78CDMG|8BPWR|9MLV|aRCR
7	43124 22224	   	295.05	DCR|3VULN|1LIT|2DMG|1MLV|2CDMG	158VULN|28DMG|3CGEN|4LIT|6BELT|78CDMG|8BPWR|9MLV|aRCR
8	42523 33162	   	294.97	ACR|3LIT|4VULN|2DMG|1ASPD	178aVULN|2CGEN|37DMG|467LIT|5RCR|7BPWR|9ASPD
9	12123 33153	   	294.25	ACR|3LIT|3VULN|2DMG|1MLV	17DMG|289VULN|37CGEN|467LIT|5RCR|7BPWR|aMLV
10	42523 33133	   	294.25	ACR|3LIT|3VULN|2DMG|1MLV	178VULN|2CGEN|37DMG|467LIT|5RCR|7BPWR|9RCVC|aMLV
11	42523 33161	   	289.46	ACR|3LIT|3VULN|2DMG|1ASPD|1CDMG	178VULN|2CGEN|37DMG|467LIT|5RCR|7BPWR|9ASPD|aCDMG
12	11234 13123	 * 	288.63	DCR|2LIT|4VULN|2DMG	17DMG|27LIT|3CGEN|4BEXP|567aVULN|7BPWR|8RCR|9TLV
13	11234 13153	   	288.63	DCR|2LIT|4VULN|2DMG	17DMG|27LIT|3CGEN|4BEXP|567aVULN|7BPWR|8RCR|9RMIN
14	11224 13123	   	288.53	DCR|2LIT|4VULN|2DMG	17DMG|27LIT|3CGEN|4DUR|567aVULN|7BPWR|8RCR|9TLV
15	11224 13153	   	288.53	DCR|2LIT|4VULN|2DMG	17DMG|27LIT|3CGEN|4DUR|567aVULN|7BPWR|8RCR|9RMIN
16	11234 13143	   	288.53	DCR|2LIT|4VULN|2DMG	17DMG|27LIT|3CGEN|4BEXP|567aVULN|7BPWR|8RCR|9NUKE
17	11224 13143	   	288.43	DCR|2LIT|4VULN|2DMG	17DMG|27LIT|3CGEN|4DUR|567aVULN|7BPWR|8RCR|9NUKE
18	42523 33112	   	288.26	ACR|3LIT|4VULN|2DMG	178aVULN|2CGEN|37DMG|467LIT|5RCR|7BPWR|9ZMB
19	45523 33112	   	288.16	ACR|3LIT|4VULN|2DMG	178aVULN|2ERES|37DMG|467LIT|5RCR|7BPWR|9ZMB
20	11234 13126	 * 	286.76	DCR|3LIT|3VULN|2DMG	17DMG|27aLIT|3CGEN|4BEXP|567VULN|7BPWR|8RCR|9TLV
21	11234 13156	   	286.76	DCR|3LIT|3VULN|2DMG	17DMG|27aLIT|3CGEN|4BEXP|567VULN|7BPWR|8RCR|9RMIN
22	11234 13136	   	286.66	DCR|3LIT|3VULN|2DMG	17DMG|27aLIT|3CGEN|4BEXP|567VULN|7BPWR|8RCR|9ERES
23	11234 13146	   	286.66	DCR|3LIT|3VULN|2DMG	17DMG|27aLIT|3CGEN|4BEXP|567VULN|7BPWR|8RCR|9NUKE
24	15363 21311	   	284.45	DCR|2LIT|2VULN|2DMG|1MLV	17DMG|2VENTOX|37VULN|4ERES|5ZMB|67LIT|7BPWR|8MLV|9RCR|aFEWX
25	15363 21313	   	284.45	DCR|2LIT|2VULN|2DMG|1MLV	17DMG|2VENTOX|37VULN|4ERES|5ZMB|67LIT|7BPWR|8MLV|9RCR|aLHND
26	15363 21315	   	284.45	DCR|2LIT|2VULN|2DMG|1MLV	17DMG|2VENTOX|37VULN|4ERES|5ZMB|67LIT|7BPWR|8MLV|9RCR|aRMIN
27	15363 21316	   	284.45	DCR|2LIT|2VULN|2DMG|1MLV	17DMG|2VENTOX|37VULN|4ERES|5ZMB|67LIT|7BPWR|8MLV|9RCR|aCGEN
28	15363 21314	   	284.35	DCR|2LIT|2VULN|2DMG|1MLV	17DMG|2VENTOX|37VULN|4ERES|5ZMB|67LIT|7BPWR|8MLV|9RCR|aCANSTR
29	12331 11531	   	284.35	DCR|2LIT|2VULN|2DMG|1MLV	14DMG|28VULN|3BELT|5ZMB|67LIT|9RCR|aMLV
30	43331 11531	   	284.35	DCR|2LIT|2VULN|2DMG|1MLV	18VULN|24DMG|3BELT|5ZMB|67LIT|9RCR|aMLV
