0	Index      	 *	Score 	Summary	Detail	
1	56333 16323	 * 	274.01	DCR|3LIT|2DMG|1VULN|1MLV	138LHND|28DMG|4DUST|5MLV|6RCR|78aLIT|8BPWR|9VULN
2	31553 61322	 * 	265.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18CGEN|28ASPD|3DMG|4RMIN|5MLV|6RCR|78LIT|8BPWR|9LHND|aVULN
3	31553 61332	   	265.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	18CGEN|28ASPD|3DMG|4RMIN|5MLV|6RCR|78LIT|8BPWR|9FEWX|aVULN
4	41233 34236	 * 	262.50	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	17BEXP|2RPLT|37VULN|4LIT|5LWND|67MLV|7BPWR|8CDMG|9DMG|aRCR
5	55333 16323	 * 	262.46	DCR|3LIT|1VULN|1MLV|2ASPD	138LHND|28ASPD|4DUST|5MLV|6RCR|78aLIT|8BPWR|9VULN
6	42365 11311	 * 	259.01	DCR|2LIT|2VULN|1MLV|1CDMG	128BEXP|34RMIN|58VULN|6RCR|78LIT|8BPWR|9CDMG|aMLV
7	31333 16622	   	258.71	DCR|2LIT|2VULN|1MLV|1ASPD	1CGEN|2ASPD|3RMIN|4DUST|5MLV|6RCR|78LIT|9aVULN
8	56333 16321	   	256.71	DCR|2LIT|2DMG|1VULN|1MLV	138LHND|28DMG|4DUST|5MLV|6RCR|78LIT|8BPWR|9VULN|aRMIN
9	56333 16322	   	256.71	DCR|2LIT|2DMG|1VULN|1MLV	138LHND|28DMG|4DUST|5MLV|6RCR|78LIT|8BPWR|9VULN|aLWND
10	56333 16312	   	256.61	DCR|2LIT|2DMG|1VULN|1MLV	138LHND|28DMG|4DUST|5MLV|6RCR|78LIT|8BPWR|9ERES|aVULN
11	32615 52221	   	255.64	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	13CGEN|2CDMG|4ASPD|58DMG|6VULN|7LIT|9RCR|aMLV
12	25222 42335	 * 	254.38	DCR|3VULN|1LIT|1MLV|1CDMG	1SNITOX|2LHND|36aVULN|4LIT|5RMIN|7CDMG|8RCR|9MLV
13	31411 11133	 * 	253.60	DCR|1LIT|3ASPD|1VULN|1MLV|1DMG|1DUR	1CGEN|257ASPD|3VULN|4DUR|6RCR|8MLV|9DMG|aLIT
14	31443 12153	   	252.58	DCR|3VULN|1LIT|1MLV|1ASPD	18CGEN|2ASPD|367VULN|4MLV|5CANSTR|9RCR|aLIT
15	31451 12153	   	252.58	DCR|3VULN|1LIT|1MLV|1ASPD	18CGEN|2ASPD|367VULN|4MULHEA|5MLV|9RCR|aLIT
16	35333 16622	   	252.10	DCR|2LIT|2VULN|1MLV	1CGEN|2LWND|3RMIN|4ZMB|5MLV|6RCR|78LIT|9aVULN
17	36333 16622	   	252.10	DCR|2LIT|2VULN|1MLV	1CGEN|2LHND|3RMIN|4ZMB|5MLV|6RCR|78LIT|9aVULN
18	21255 25232	   	251.51	DCR|2LIT|2VULN|1MLV|1CDMG	1SNITOX|2AART|3LHND|48LIT|5MLV|6CDMG|79VULN|aRCR
19	51232 63126	   	251.40	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1LHND|2RPLT|3VULN|49LIT|5CDMG|6ASPD|7RCR|8ZMB|aMLV
20	31553 61323	 * 	250.53	DCR|3LIT|1MLV|2ASPD|1DMG	18CGEN|28ASPD|3DMG|4RMIN|5MLV|6RCR|78aLIT|8BPWR|9LHND
21	31553 61333	   	250.53	DCR|3LIT|1MLV|2ASPD|1DMG	18CGEN|28ASPD|3DMG|4RMIN|5MLV|6RCR|78aLIT|8BPWR|9FEWX
22	31521 54111	   	250.22	DCR|2LIT|2DMG|1MLV|1ASPD|1CDMG	18CGEN|2ASPD|38DMG|49BEXP|5CDMG|68LIT|7RCR|8BPWR|aMLV
23	31531 54121	   	250.02	DCR|2LIT|2DMG|1MLV|1ASPD|1CDMG	18CGEN|2ASPD|38DMG|49DUST|5CDMG|68LIT|7RCR|8BPWR|aMLV
24	31143 16623	   	249.91	DCR|3LIT|1VULN|1MLV|1ASPD	1CGEN|2ASPD|3FEWX|4TLV|5MLV|6RCR|78aLIT|9VULN
25	31333 16623	   	249.81	DCR|3LIT|1VULN|1MLV|1ASPD	1CGEN|2ASPD|3RMIN|4DUST|5MLV|6RCR|78aLIT|9VULN
26	25414 24133	 * 	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1SNITOX|2LHND|3MBVNT|4MLV|5LIT|6RCR|7DMG|8LWND|9FLTARM|aVULN
