0	Index      	 *	Score 	Summary	Detail	
1	22335 43326	 * 	313.29	DCR|2LIT|4VULN|2MLV	19MLV|29LIT|3CGEN|4DUR|569aVULN|7LEGI|8RCR|9BPWR
2	23332 63531	 * 	299.97	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	17MLV|267VULN|3BEXP|4FEWX|57ASPD|7BPWR|8DMG|9LIT|aRCR
3	23362 63531	   	299.97	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	17MLV|267VULN|3BEXP|4LWND|57ASPD|7BPWR|8DMG|9LIT|aRCR
4	23232 63531	   	299.84	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	17MLV|267VULN|3DUST|4FEWX|57ASPD|7BPWR|8DMG|9LIT|aRCR
5	23262 63531	   	299.84	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	17MLV|267VULN|3DUST|4LWND|57ASPD|7BPWR|8DMG|9LIT|aRCR
6	22115 62353	   	298.28	DCR|4VULN|2MLV|1LIT|1ASPD	17MLV|2LIT|3BELT|47BEXP|578aVULN|6RCR|7BPWR|9ASPD
7	23365 31342	 * 	295.52	DCR|2LIT|3MLV|3VULN	189MLV|28aVULN|3BEXP|47LWND|58LIT|6RCR|8BPWR
8	21435 33322	   	295.37	DCR|2LIT|3MLV|3VULN	189MLV|2LEGI|3LHND|48aVULN|58LIT|6RCR|7RCVC|8BPWR
9	21435 36322	   	295.37	DCR|2LIT|3MLV|3VULN	189MLV|2LEGI|3LHND|48aVULN|58LIT|6RCR|7DMSP|8BPWR
10	23265 31342	   	295.37	DCR|2LIT|3MLV|3VULN	189MLV|28aVULN|3DUST|47LWND|58LIT|6RCR|8BPWR
11	22115 62343	   	295.09	DCR|4VULN|2MLV|1LIT	17MLV|2LIT|3BELT|47BEXP|578aVULN|6RCR|7BPWR|9ZMB
12	21325 63531	   	290.43	DCR|2MLV|3VULN|1LIT|1DMG|2ZMB	17MLV|2LEGI|3BEXP|47ZMB|567VULN|7BPWR|8DMG|9LIT|aRCR
13	21225 63531	   	290.28	DCR|2MLV|3VULN|1LIT|1DMG|2ZMB	17MLV|2LEGI|3DUST|47ZMB|567VULN|7BPWR|8DMG|9LIT|aRCR
14	22115 62336	   	290.25	DCR|2LIT|2MLV|3VULN	17MLV|2aLIT|3BELT|47BEXP|578VULN|6RCR|7BPWR|9DMSP
15	23365 31312	   	290.25	DCR|2LIT|2MLV|3VULN	18MLV|28aVULN|3BEXP|479LWND|58LIT|6RCR|8BPWR
16	23465 31312	   	290.25	DCR|2LIT|2MLV|3VULN	18MLV|28aVULN|3LHND|479LWND|58LIT|6RCR|8BPWR
17	21435 33336	   	290.10	DCR|2LIT|2MLV|3VULN	18MLV|2LEGI|3LHND|48aVULN|58LIT|6RCR|7RCVC|8BPWR|9CGEN
18	23265 31312	   	290.10	DCR|2LIT|2MLV|3VULN	18MLV|28aVULN|3DUST|479LWND|58LIT|6RCR|8BPWR
19	23215 33523	   	290.05	DCR|2LIT|2MLV|3VULN	1aMLV|29aVULN|3DUST|4LHND|5aLIT|6RCR|7AART|8RPLT|aBPWR
20	22335 43325	   	289.82	DCR|2LIT|3MLV|3VULN	19aMLV|29LIT|3CGEN|4DUR|569VULN|7LEGI|8RCR|9BPWR
21	26435 32322	 * 	289.80	DCR|2LIT|2MLV|3VULN|3DUR	18MLV|278DUR|3LHND|49aVULN|58LIT|6RCR|8BPWR
22	23433 52322	 * 	287.91	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1MLV|24VULN|3LHND|5FLTARM|6ERES|7RCR|8DMG|9CDMG|aLIT
23	23315 33662	   	287.08	DCR|2LIT|2MLV|2VULN|1DMG	19MLV|29VULN|3BEXP|4LHND|59LIT|6RCR|7AART|8RMIN|9BPWR|aDMG
24	23215 33662	   	286.93	DCR|2LIT|2MLV|2VULN|1DMG	19MLV|29VULN|3DUST|4LHND|59LIT|6RCR|7AART|8RMIN|9BPWR|aDMG
25	23222 63531	   	285.49	DCR|2MLV|3VULN|1LIT|1DMG	17MLV|267VULN|3DUST|4ZMB|57BEXP|7BPWR|8DMG|9LIT|aRCR
26	23321 63531	   	285.34	DCR|2MLV|3VULN|1LIT|1DMG|2DUR	17MLV|267VULN|3BEXP|4ZMB|57DUR|7BPWR|8DMG|9LIT|aRCR
27	23326 63531	   	285.34	DCR|2MLV|3VULN|1LIT|1DMG	17MLV|267VULN|3BEXP|4ZMB|57DUST|7BPWR|8DMG|9LIT|aRCR
28	23221 63531	   	285.19	DCR|2MLV|3VULN|1LIT|1DMG|2DUR	17MLV|267VULN|3DUST|4ZMB|57DUR|7BPWR|8DMG|9LIT|aRCR
29	22335 43322	   	284.55	DCR|2LIT|2MLV|3VULN	19MLV|29LIT|3CGEN|4DUR|569VULN|7LEGI|8RCR|9BPWR|aRPLT
30	22335 43323	   	284.55	DCR|2LIT|2MLV|3VULN	19MLV|29LIT|3CGEN|4DUR|569VULN|7LEGI|8RCR|9BPWR|aFEWX
31	22335 53326	   	284.55	DCR|2LIT|2MLV|3VULN	19MLV|29LIT|3CGEN|4DUR|59aVULN|6DMSP|7LEGI|8RCR|9BPWR
32	22335 43321	   	284.40	DCR|2LIT|2MLV|3VULN	19MLV|29LIT|3CGEN|4DUR|569VULN|7LEGI|8RCR|9BPWR|aBASARM
33	22335 43324	   	284.40	DCR|2LIT|2MLV|3VULN	19MLV|29LIT|3CGEN|4DUR|569VULN|7LEGI|8RCR|9BPWR|aERES
34	22332 53326	   	284.40	DCR|2LIT|2MLV|3VULN|2DUR	19MLV|29LIT|3CGEN|45DUR|69aVULN|7LEGI|8RCR|9BPWR
35	22115 62331	 * 	284.01	DCR|2MLV|3VULN|1LIT|1FLTARM	17MLV|2LIT|3BELT|47BEXP|578VULN|6RCR|7BPWR|9DMSP|aFLTARM
