0	Index      	 *	Score 	Summary	Detail	
1	22223 52631	 * 	316.26	ACR|3LIT|3MLV|3VULN|2ASPD	1RCR|28aVULN|3FEWX|468MLV|58aLIT|7RPLT|8aBPWR|9aASPD
2	61116 22214	 * 	295.55	DCR|2LIT|3VULN|3DMG	149VULN|2DUR|359DMG|6RCR|7BELT|89LIT|9BPWR|aZMB
3	21134 54231	 * 	293.43	ACR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1NUKE	1RCR|2LHND|38DMG|47LIT|5VULN|6MLV|9FLTARM|aNUKE
4	22163 54231	   	293.43	ACR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1NUKE	1RCR|2VULN|38DMG|4FEWX|57LIT|6MLV|9FLTARM|aNUKE
5	22223 64231	   	293.43	ACR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1NUKE	1RCR|2VULN|3FEWX|4MLV|57LIT|68DMG|9FLTARM|aNUKE
6	22253 54231	   	293.43	ACR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1NUKE	1RCR|2VULN|3FEWX|48DMG|57LIT|6MLV|9FLTARM|aNUKE
7	23114 64231	   	293.43	ACR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1NUKE	1RCR|27LIT|3VULN|4FEWX|5MLV|68DMG|9FLTARM|aNUKE
8	26113 54231	   	293.43	ACR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1NUKE	1RCR|2FEWX|38DMG|4VULN|57LIT|6MLV|9FLTARM|aNUKE
9	21134 55231	 * 	292.81	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1NUKE	1RCR|2LHND|38DMG|4LIT|57VULN|6MLV|9FLTARM|aNUKE
10	22163 55231	   	292.81	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1NUKE	1RCR|27VULN|38DMG|4FEWX|5LIT|6MLV|9FLTARM|aNUKE
11	22223 65231	   	292.81	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1NUKE	1RCR|27VULN|3FEWX|4MLV|5LIT|68DMG|9FLTARM|aNUKE
12	22253 55231	   	292.81	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1NUKE	1RCR|27VULN|3FEWX|48DMG|5LIT|6MLV|9FLTARM|aNUKE
13	23114 65231	   	292.81	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1NUKE	1RCR|2LIT|37VULN|4FEWX|5MLV|68DMG|9FLTARM|aNUKE
14	26113 55231	   	292.81	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1NUKE	1RCR|2FEWX|38DMG|47VULN|5LIT|6MLV|9FLTARM|aNUKE
15	23453 31533	 * 	291.81	ACR|3LIT|3VULN|3DMG|1SELL	1RCR|257LIT|357DMG|4SELL|57BPWR|67aVULN|8RPLT|9ZMB
16	23421 25136	 * 	291.36	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	1RCR|2LIT|35aDMG|4ERES|6MULARM|7aMLV|8CDMG|9aVULN|aBPWR
17	61116 22213	   	288.62	DCR|2LIT|3VULN|3DMG	149VULN|2DUR|359DMG|6RCR|7BELT|89LIT|9BPWR|aFEWX
18	61116 22215	   	288.62	DCR|2LIT|3VULN|3DMG	149VULN|2DUR|359DMG|6RCR|7BELT|89LIT|9BPWR|aBEXP
19	61116 22216	   	288.62	DCR|2LIT|3VULN|3DMG	149VULN|2DUR|359DMG|6RCR|7BELT|89LIT|9BPWR|aRMIN
20	61116 22212	   	288.52	DCR|2LIT|3VULN|3DMG|2DUR	149VULN|2aDUR|359DMG|6RCR|7BELT|89LIT|9BPWR
21	61323 25114	 * 	287.32	DCR|4VULN|1LIT|2DMG|3DUR|2CDMG	1459VULN|235DUR|59BPWR|69DMG|7RCR|89CDMG|aLIT
22	63114 22216	   	286.71	DCR|2LIT|3VULN|2DMG|1ASPD	149VULN|25LHND|39DMG|6RCR|7BELT|89LIT|9BPWR|aASPD
23	63115 22216	   	286.71	DCR|2LIT|3VULN|2DMG|1ASPD	149VULN|2LHND|39DMG|5RCVC|6RCR|7BELT|89LIT|9BPWR|aASPD
24	61115 22216	   	286.51	DCR|2LIT|3VULN|2DMG|2DUR|1ASPD	149VULN|25DUR|39DMG|6RCR|7BELT|89LIT|9BPWR|aASPD
