0	Index      	 *	Score 	Summary	Detail	
1	12116 33521	 * 	321.71	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	1aVULN|2ASPD|3aFEWX|47DMG|59MLV|6aLIT|8RCR|aBPWR
2	12116 31521	 * 	321.28	DCR|3LIT|2MLV|2VULN|1DMG|1ASPD	1aVULN|2ASPD|3aFEWX|4DMG|59MLV|67aLIT|8RCR|aBPWR
3	11366 35312	 * 	315.50	DCR|4VULN|1LIT|3DMG|1MLV	1289VULN|389LWND|4MLV|5LHND|689DMG|7RCR|89BPWR|aLIT
4	11361 36112	   	313.70	DCR|4VULN|1LIT|3DMG|1MLV	1279VULN|379LWND|4MLV|5BEXP|679DMG|79BPWR|8RCR|aLIT
5	11365 36112	   	313.60	DCR|4VULN|1LIT|3DMG|1MLV	1279VULN|379LWND|4MLV|5DUR|679DMG|79BPWR|8RCR|aLIT
6	41261 52321	 * 	310.90	DCR|3LIT|3VULN|1MLV|3CDMG	138LIT|239VULN|38BPWR|48FLTHEA|578CDMG|6RCR|aMLV
7	11366 61321	 * 	310.79	DCR|3LIT|2MLV|3VULN	12aVULN|3aLWND|49MLV|5LHND|67aLIT|8RCR|aBPWR
8	41211 52321	   	310.70	DCR|3LIT|3VULN|1MLV|3CDMG	138LIT|239VULN|38BPWR|48BASICY|578CDMG|6RCR|aMLV
9	41225 13136	 * 	309.10	DCR|3LIT|3VULN|1MLV|2ASPD	136LIT|239VULN|39BPWR|4DUR|59CGEN|7RCR|89ASPD|aMLV
10	41226 13136	   	308.90	DCR|3LIT|3VULN|1MLV|2ASPD	136LIT|239VULN|39BPWR|4DUR|59ERES|7RCR|89ASPD|aMLV
11	12335 15412	 * 	308.29	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	145VULN|25ASPD|3RPLT|5BPWR|6RCR|7MLV|8aDMG|9LIT
12	11162 33411	 * 	308.14	DCR|2LIT|4VULN|2MLV	1239VULN|45BEXP|6AART|79LIT|89MLV|9BPWR|aRCR
13	11122 34411	   	307.99	DCR|2LIT|4VULN|2MLV	1239VULN|4RMIN|59LIT|6NUKE|7AART|89MLV|9BPWR|aRCR
14	11323 62221	 * 	307.68	ACR|2LIT|4VULN|3DMG|2ASPD	127aVULN|3LWND|4RCR|57aDMG|67LIT|7aBPWR|8ERES|9aASPD
15	41341 21333	   	307.57	DCR|2LIT|2MLV|3VULN|1CDMG	1aLIT|26aVULN|3CDMG|4DUR|568CANARM|6aBPWR|7RCR|9aMLV
16	41361 21333	   	307.57	DCR|2LIT|2MLV|3VULN|1CDMG	1aLIT|26aVULN|3CDMG|4DUST|568CANARM|6aBPWR|7RCR|9aMLV
17	41226 13433	 * 	307.52	DCR|3LIT|4VULN|2DMG	136LIT|239aVULN|39BPWR|4DUR|59ERES|7RCR|89DMG
18	11364 21116	 * 	306.86	DCR|2MLV|3VULN|1LIT|2DMG	129VULN|36LWND|49MLV|59DMG|7LEGI|8RCR|9BPWR|aLIT
19	11364 31116	   	306.86	DCR|2MLV|3VULN|1LIT|2DMG	129VULN|3LWND|49MLV|59DMG|6DMSP|7LEGI|8RCR|9BPWR|aLIT
20	46412 31311	 * 	305.40	DCR|2LIT|2MLV|3VULN|2ASPD	19LIT|24ASPD|359VULN|69MLV|7AART|8RMIN|9BPWR|aRCR
21	41225 13431	   	302.21	DCR|3LIT|3VULN|2DMG|1ASPD	136LIT|239VULN|39BPWR|4DUR|59CGEN|7RCR|89DMG|aASPD
22	41226 13431	   	302.01	DCR|3LIT|3VULN|2DMG|1ASPD	136LIT|239VULN|39BPWR|4DUR|59ERES|7RCR|89DMG|aASPD
23	13421 34112	 * 	301.71	ACR|4VULN|2MLV|1LIT|2DMG	1359VULN|235LHND|359BPWR|4RCR|6MBVNT|79DMG|89MLV|aLIT
24	13423 64112	   	301.71	ACR|4VULN|2MLV|1LIT|2DMG	1369VULN|236LHND|369BPWR|4RCR|5MBVNT|79DMG|89MLV|aLIT
25	11521 34117	   	301.56	ACR|4VULN|2MLV|1LIT|2DMG	1259VULN|35LHND|4RCR|59BPWR|6MBVNT|79DMG|89MLV|aLIT
26	11523 64117	   	301.56	ACR|4VULN|2MLV|1LIT|2DMG	1269VULN|36LHND|4RCR|5MBVNT|69BPWR|79DMG|89MLV|aLIT
27	13426 34117	   	301.56	ACR|4VULN|2MLV|1LIT|2DMG	1359VULN|23LHND|39BPWR|4RCR|6MBVNT|79DMG|89MLV|aLIT
28	11526 34117	   	301.41	ACR|4VULN|2MLV|1LIT|2DMG	1259VULN|3LHND|4RCR|6MBVNT|79DMG|89MLV|9BPWR|aLIT
29	41331 24141	 * 	300.89	DCR|3LIT|3MLV|1VULN|2CDMG|1DMG	157LIT|2VULN|37CDMG|467MLV|7BPWR|8DMG|9RCR|aBEXP
30	41331 24142	   	300.74	DCR|3LIT|3MLV|1VULN|2CDMG|1DMG	157LIT|2VULN|37CDMG|467MLV|7BPWR|8DMG|9RCR|aDUST
31	41331 24143	   	300.74	DCR|3LIT|3MLV|1VULN|2CDMG|1DMG	157LIT|2VULN|37CDMG|467MLV|7BPWR|8DMG|9RCR|aDUR
32	41211 52533	   	298.84	DCR|2LIT|2VULN|1MLV|1DMG|2CDMG|1ASPD	13LIT|23VULN|3BPWR|4BASICY|57CDMG|6RCR|8MLV|9DMG|aASPD
33	12633 26112	 * 	297.85	DCR|4VULN|1LIT|3ASPD|1MLV	1479VULN|279ASPD|3DUR|5MLV|679LWND|79BPWR|8RCR|aLIT
34	11366 33116	   	297.85	DCR|4VULN|1LIT|2DMG|1MLV	1279VULN|39LWND|4MLV|5LHND|69DMG|8RCR|9BPWR|aLIT
35	11365 33116	   	297.75	DCR|4VULN|1LIT|2DMG|1MLV	1279VULN|39LWND|4MLV|5DUR|69DMG|8RCR|9BPWR|aLIT
36	41245 13131	   	297.17	DCR|3LIT|3VULN|2ASPD|1DMG	136LIT|239VULN|39BPWR|4LWND|59CGEN|7RCR|89ASPD|aDMG
37	41255 13131	   	297.17	DCR|3LIT|3VULN|2ASPD|1DMG	136LIT|239VULN|39BPWR|4FEWX|59CGEN|7RCR|89ASPD|aDMG
38	41225 13131	   	297.07	DCR|3LIT|3VULN|2ASPD|1DMG	136LIT|239VULN|39BPWR|4DUR|59CGEN|7RCR|89ASPD|aDMG
