0	Index      	 *	Score 	Summary	Detail	
1	61611 14212	 * 	304.02	DCR|3LIT|4VULN|2DMG	178LIT|247aVULN|3LEGI|57DMG|6RMIN|7BPWR|9RCR
2	64221 12263	 * 	296.01	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	17LIT|2RCR|3FEWX|4RPLT|57aVULN|67DMG|7BPWR|8ASPD|9MLV
3	64121 12263	   	295.91	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	17LIT|2RCR|3RPLT|4DUST|57aVULN|67DMG|7BPWR|8ASPD|9MLV
4	64131 12263	   	295.91	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	17LIT|2RCR|3RPLT|4LEGI|57aVULN|67DMG|7BPWR|8ASPD|9MLV
5	64321 12263	   	295.91	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	17LIT|2RCR|3DUR|4RPLT|57aVULN|67DMG|7BPWR|8ASPD|9MLV
6	44411 31212	 * 	294.81	DCR|3LIT|2VULN|2DMG|1MLV	13DMG|238LIT|3BPWR|4RMIN|5TLV|6aVULN|7MLV|9RCR
7	64221 12261	 * 	291.16	ACR|3LIT|2VULN|2DMG|1MLV|1ASPD	17aLIT|2RCR|3FEWX|4RPLT|57VULN|67DMG|7BPWR|8ASPD|9MLV
8	64121 12261	   	291.06	ACR|3LIT|2VULN|2DMG|1MLV|1ASPD	17aLIT|2RCR|3RPLT|4DUST|57VULN|67DMG|7BPWR|8ASPD|9MLV
9	64131 12261	   	291.06	ACR|3LIT|2VULN|2DMG|1MLV|1ASPD	17aLIT|2RCR|3RPLT|4LEGI|57VULN|67DMG|7BPWR|8ASPD|9MLV
10	64321 12261	   	291.06	ACR|3LIT|2VULN|2DMG|1MLV|1ASPD	17aLIT|2RCR|3DUR|4RPLT|57VULN|67DMG|7BPWR|8ASPD|9MLV
11	61412 13111	 * 	287.18	DCR|2LIT|2MLV|3VULN|1SELL	1aLIT|24aVULN|3LHND|5FEWX|6BELT|7RCR|8aMLV|9SELL|aBPWR
12	61512 13111	 * 	287.18	DCR|2LIT|2MLV|3VULN|1SELL	1aLIT|24aVULN|3LWND|5FEWX|6BELT|7RCR|8aMLV|9SELL|aBPWR
13	61214 12613	 * 	286.81	DCR|2LIT|3VULN|1FLTARM|1CDMG	18LIT|248VULN|38FEWX|5RMIN|6RCR|7DMSP|8BPWR|9CDMG|aFLTARM
14	61314 12613	   	286.61	DCR|2LIT|3VULN|1FLTARM|2DUR|1CDMG	18LIT|248VULN|38DUR|5RMIN|6RCR|7RCVC|8BPWR|9CDMG|aFLTARM
