0	Index      	 *	Score 	Summary	Detail	
1	35621 13622	 * 	269.89	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG|1AAC	1DUR|2TLV|3DUST|4CDMG|5AEFRZ|69RCR|7AAC|8AART|aVULN
2	66213 23325	 * 	264.73	DCR|DCR|3VULN|1DUR	157VULN|2DUST|3RPLT|4LIT|6DUR|8aRCR|9TBNT
3	26116 24322	   	264.69	DCR|DCR|3VULN|1AART|1AAC|1SELL	1AAC|26aVULN|3CGEN|4LHND|5SELL|79RCR|8AART
4	62116 24322	   	264.69	DCR|DCR|3VULN|1AART|1AAC|1SELL	16aVULN|2AAC|3CGEN|4LHND|5SELL|79RCR|8AART
5	26423 34322	   	256.44	DCR|DCR|2VULN|1AART|1AAC|1CDMG	1AAC|2aVULN|35BEXP|4CDMG|6CGEN|79RCR|8AART
6	62423 34322	   	256.44	DCR|DCR|2VULN|1AART|1AAC|1CDMG	1aVULN|2AAC|35BEXP|4CDMG|6CGEN|79RCR|8AART
7	26421 34322	   	256.34	DCR|DCR|2VULN|1AART|1CDMG|1AAC	1AAC|2aVULN|3BEXP|4CDMG|5AEWIND|6CGEN|79RCR|8AART
8	62421 34322	   	256.34	DCR|DCR|2VULN|1AART|1CDMG|1AAC	1aVULN|2AAC|3BEXP|4CDMG|5AEWIND|6CGEN|79RCR|8AART
9	26621 34322	   	256.24	DCR|DCR|2VULN|1AART|1CDMG|1AAC	1AAC|2aVULN|3DUST|4CDMG|5AEWIND|6CGEN|79RCR|8AART
10	62621 34322	   	256.24	DCR|DCR|2VULN|1AART|1CDMG|1AAC	1aVULN|2AAC|3DUST|4CDMG|5AEWIND|6CGEN|79RCR|8AART
11	36211 43325	 * 	255.04	DCR|DCR|2VULN|2DUR	15DUR|2DUST|3RPLT|4LIT|67VULN|8aRCR|9TBNT
12	43211 43325	   	255.04	DCR|DCR|2VULN|2DUR	1DUST|25DUR|3RPLT|4LIT|67VULN|8aRCR|9TBNT
13	33535 44443	 * 	254.84	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3TLV|4VULN|5SPLJET|6MBVNT|7MULARM|8ERES|9aRCR
14	33536 44443	   	254.84	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3TLV|4VULN|5VENFST|6MBVNT|7MULARM|8ERES|9aRCR
15	66213 13325	   	251.08	DCR|DCR|3VULN	157VULN|2DUST|3RPLT|4LIT|6FEWX|8aRCR|9TBNT
16	63221 11352	 * 	250.97	ACR|DCR|3VULN|1DMG|1DUR	18aVULN|2DUR|3RPLT|49RCR|5LHND|6MDPS|7DMG
17	14651 22312	   	249.33	DCR|DCR|1VULN|1TLV|1CDMG	1BBNT|2CDMG|3TLV|4TBNT|5ASPD|6VENICY|78RCR|9MBVNT|aVULN
18	14651 22333	   	249.33	DCR|DCR|1VULN|1TLV|1CDMG	1BBNT|2CDMG|3TLV|4TBNT|5ASPD|6VENICY|78RCR|9DLOT|aVULN
19	32621 24622	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG|1AAC	1DUR|2AAC|3DUST|4CDMG|5AEFRZ|6RMIN|79RCR|8AART|aVULN
20	32621 34622	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG|1AAC	1DUR|2AAC|3DUST|4CDMG|5AEFRZ|6CGEN|79RCR|8AART|aVULN
21	34621 13622	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG|1AAC	1DUR|2AME|3DUST|4CDMG|5AEFRZ|69RCR|7AAC|8AART|aVULN
22	63211 13325	   	242.69	DCR|DCR|2VULN|1DUR	17VULN|2DUR|3RPLT|4LIT|5RCVC|6FEWX|8aRCR|9TBNT
23	63211 63325	   	242.59	DCR|DCR|2VULN|1DUR	17VULN|2DUR|3RPLT|4LIT|5RCVC|6DUST|8aRCR|9TBNT
24	63213 13325	   	242.59	DCR|DCR|2VULN|1DUR	17VULN|2DUR|3RPLT|4LIT|5AEBURN|6FEWX|8aRCR|9TBNT
25	63211 33534	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2DUR|3RPLT|4LIT|5RCVC|69RCR|7DUST|8TBNT|aTLV
26	26116 34322	   	242.55	DCR|DCR|2VULN|1AART|1AAC|1SELL	1AAC|2aVULN|3CGEN|4LHND|5SELL|6RCVC|79RCR|8AART
27	62116 34322	   	242.55	DCR|DCR|2VULN|1AART|1AAC|1SELL	1aVULN|2AAC|3CGEN|4LHND|5SELL|6RCVC|79RCR|8AART
28	63132 51114	 * 	242.53	DCR|3VULN|2TLV|2DUR|2ASPD	15aVULN|2aDUR|3ZMB|45TLV|5aBPWR|6RPLT|7MDPS|8aASPD|9RCR
29	63213 63325	   	242.49	DCR|DCR|2VULN|1DUR	17VULN|2DUR|3RPLT|4LIT|5AEBURN|6DUST|8aRCR|9TBNT
30	63213 33534	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2DUR|3RPLT|4LIT|5AEBURN|69RCR|7DUST|8TBNT|aTLV
31	26116 24321	   	242.45	DCR|DCR|2VULN|1AART|1AAC|1SELL	1AAC|26VULN|3CGEN|4LHND|5SELL|79RCR|8AART|aERES
32	26116 24323	   	242.45	DCR|DCR|2VULN|1AART|1AAC|1SELL	1AAC|26VULN|3CGEN|4LHND|5SELL|79RCR|8AART|aAEFBLL
33	62116 24321	   	242.45	DCR|DCR|2VULN|1AART|1AAC|1SELL	16VULN|2AAC|3CGEN|4LHND|5SELL|79RCR|8AART|aERES
34	62116 24323	   	242.45	DCR|DCR|2VULN|1AART|1AAC|1SELL	16VULN|2AAC|3CGEN|4LHND|5SELL|79RCR|8AART|aAEFBLL
35	35215 44443	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2TLV|3FRZICY|4VULN|5AEFBLL|6MBVNT|7MULARM|8ERES|9aRCR
36	33225 25313	 * 	241.34	DCR|3VULN|3DUR|2DMG	124DUR|3BOSS|5BBNT|67aVULN|8aDMG|9RCR|aBPWR
37	33226 36533	   	241.34	DCR|3VULN|3DUR|2DMG	124DUR|3BOSS|57aVULN|6RCR|8TBNT|9aDMG|aBPWR
38	33226 45313	   	241.34	DCR|3VULN|3DUR|2DMG	124DUR|3BOSS|57aVULN|6BBNT|8aDMG|9RCR|aBPWR
