0	Index      	 *	Score 	Summary	Detail	
1	23232 33466	 * 	251.38	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7DUR|8MLV
2	22612 35326	 * 	242.59	DCR|DCR|2VULN|1DUR	1DUST|28LWND|3DUR|4ERES|5LIT|6aRCR|79VULN
3	53326 32125	 * 	237.60	DCR|DCR|1TLV|1DMG|1DUR	1LHND|2ASPD|3FEWX|4MBVNT|5DMG|6aRCR|7RPLT|8DUR|9TLV
4	22532 33266	   	235.77	ACR|DCR|2VULN|1DMG|1DUR	1DUST|2LWND|3ASPD|4DMG|59RCR|6aVULN|7DUR|8RMIN
5	23232 33266	   	235.77	ACR|DCR|2VULN|1DMG|1DUR	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7DUR|8RMIN
6	23232 33666	   	235.67	ACR|DCR|2VULN|1DMG|1DUR	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7DUR|8AME
7	23232 35463	 * 	229.11	ACR|DCR|2DMG|1VULN|1MLV	1DUST|2ASPD|3LWND|4aDMG|59RCR|6VULN|7BEXP|8MLV
8	23332 35463	   	229.11	ACR|DCR|2DMG|1VULN|1MLV	1DUST|2ASPD|3FEWX|4aDMG|59RCR|6VULN|7BEXP|8MLV
9	22252 35326	   	229.04	DCR|DCR|2VULN	1DUST|28LWND|3RMIN|4FEWX|5LIT|6aRCR|79VULN
10	22363 35326	   	229.04	DCR|DCR|2VULN	1DUST|28LWND|3BOSS|4RMIN|5FEWX|6aRCR|79VULN
11	14222 21255	   	228.84	DCR|DCR|2VULN	15TSLFST|2BBNT|3TBNT|45VULN|5BPWR|6LHND|7aRCR|8BEXP|9RCVC
12	22532 33263	   	227.16	ACR|DCR|2DMG|1VULN|1DUR	1DUST|2LWND|3ASPD|4aDMG|59RCR|6VULN|7DUR|8RMIN
13	23232 33263	   	227.16	ACR|DCR|2DMG|1VULN|1DUR	1DUST|2ASPD|3LWND|4aDMG|59RCR|6VULN|7DUR|8RMIN
14	16244 32321	 * 	225.75	DCR|3VULN|1TLV|2CDMG|1AART	1TSLFST|269VULN|3TLV|47CDMG|5AART|8AME|aRCR
15	53232 33461	   	225.27	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2ASPD|3LWND|4DMG|59RCR|6VULN|7DUR|8MLV|aBELT
16	53232 33462	   	225.27	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2ASPD|3LWND|4DMG|59RCR|6VULN|7DUR|8MLV|aBOSS
17	53232 33463	   	225.27	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2ASPD|3aLWND|4DMG|59RCR|6VULN|7DUR|8MLV
18	53332 33461	   	225.27	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2ASPD|3FEWX|4DMG|59RCR|6VULN|7DUR|8MLV|aBELT
19	53332 33462	   	225.27	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2ASPD|3FEWX|4DMG|59RCR|6VULN|7DUR|8MLV|aBOSS
20	53332 33463	   	225.27	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2ASPD|3FEWX|4DMG|59RCR|6VULN|7DUR|8MLV|aLWND
21	22532 33461	   	225.17	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2LWND|3ASPD|4DMG|59RCR|6VULN|7DUR|8MLV|aBELT
22	22532 33462	   	225.17	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2LWND|3ASPD|4DMG|59RCR|6VULN|7DUR|8MLV|aBOSS
23	22532 33463	   	225.17	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2aLWND|3ASPD|4DMG|59RCR|6VULN|7DUR|8MLV
24	23232 33461	   	225.17	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2ASPD|3LWND|4DMG|59RCR|6VULN|7DUR|8MLV|aBELT
25	23232 33462	   	225.17	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2ASPD|3LWND|4DMG|59RCR|6VULN|7DUR|8MLV|aBOSS
26	23232 33463	   	225.17	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2ASPD|3aLWND|4DMG|59RCR|6VULN|7DUR|8MLV
27	23232 33464	   	225.07	ACR|DCR|1VULN|1DMG|1MLV|1DUR|1MSE	1DUST|2ASPD|3LWND|4DMG|59RCR|6VULN|7DUR|8MLV|aMSE
28	23232 33465	   	225.07	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1aDUST|2ASPD|3LWND|4DMG|59RCR|6VULN|7DUR|8MLV
29	66111 11112	   	224.15	DCR|DCR|1TLV|1DUR|1AART	1RPLT|25FEWX|3BBNT|4TLV|6aRCR|7DUR|8AART|9TBNT
30	66411 11112	   	224.15	DCR|DCR|1TLV|1DUR|1AART	1RPLT|25FEWX|3TBNT|4TLV|6aRCR|7DUR|8AART|9BBNT
31	16241 33331	 * 	223.36	DCR|2VULN|2DUR|1TLV|1AART|1CDMG|1SELL	18TSLFST|28VULN|3TLV|4CDMG|58DUR|6SELL|7AART|8BPWR|9RCR|aLHND
32	16241 33333	 * 	223.36	DCR|2VULN|2DUR|1TLV|1AART|1CDMG|1SELL	18TSLFST|28VULN|3TLV|4CDMG|58DUR|6SELL|7AART|8BPWR|9RCR|aBOSS
33	16241 33334	 * 	223.36	DCR|2VULN|2DUR|1TLV|1AART|1CDMG|1SELL	18TSLFST|28VULN|3TLV|4CDMG|58DUR|6SELL|7AART|8BPWR|9RCR|aFEWX
34	16241 33336	 * 	223.36	DCR|2VULN|2DUR|1TLV|1AART|1CDMG|1SELL	18TSLFST|28VULN|3TLV|4CDMG|58DUR|6SELL|7AART|8BPWR|9RCR|aBEXP
