0	Index      	 *	Score 	Summary	Detail	
1	11243 22342	 * 	291.13	DCR|DCR|3VULN|1TLV|1CDMG	134VULN|2CDMG|5LIT|6aRCR|7CGEN|8ZMB|9TLV
2	31212 43254	 * 	286.47	ACR|DCR|3VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|2CDMG|3BOSS|4aRCR|5MLV|689VULN|7TLV
3	11233 26254	 * 	283.99	DCR|DCR|4VULN|1CDMG	1389VULN|2CDMG|4RCVC|5LIT|6aRCR|7MDPS
4	11213 26254	   	283.89	DCR|DCR|4VULN|1CDMG	1389VULN|2CDMG|4LIT|5AEFBLL|6aRCR|7MDPS
5	11322 21563	   	282.44	DCR|DCR|2VULN|1TLV|1AART|1CDMG	1aVULN|2CDMG|3SPLREG|4AEPOI|5TLV|68RCR|7CGEN|9AART
6	11332 21563	   	282.44	DCR|DCR|2VULN|1TLV|1AART|1CDMG	1aVULN|2CDMG|3SPLREG|4AEBURN|5TLV|68RCR|7CGEN|9AART
7	13632 53162	 * 	275.58	DCR|2VULN|3DMG|2TLV|2MLV|1AART	19VULN|249DMG|3BEXP|57MLV|69TLV|8RCR|9BPWR|aAART
8	21212 43254	   	272.82	ACR|DCR|3VULN|1TLV|1MLV|1CDMG	1FEWX|2CDMG|3BOSS|4aRCR|5MLV|689VULN|7TLV
9	11233 22342	   	268.99	DCR|DCR|2VULN|1TLV|1CDMG	13VULN|2CDMG|4RCVC|5LIT|6aRCR|7CGEN|8ZMB|9TLV
10	11213 22342	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	13VULN|2CDMG|4LIT|5AEFBLL|6aRCR|7CGEN|8ZMB|9TLV
11	13533 63115	 * 	266.69	DCR|DCR|2VULN|2DMG	15VULN|24DMG|3FEWX|6RMIN|7aRCR|8DUST|9BEXP
12	11243 25214	   	264.93	DCR|DCR|3VULN|1CDMG	134VULN|2CDMG|5LIT|6aRCR|79FEWX|8LHND
13	11243 25224	   	264.83	DCR|DCR|3VULN|1CDMG	134VULN|2CDMG|5LIT|6aRCR|7FEWX|8LHND|9AEFBLL
14	11243 25314	   	264.83	DCR|DCR|3VULN|1CDMG	134VULN|2CDMG|5LIT|6aRCR|78FEWX|9DUST
15	11243 22414	   	264.73	DCR|DCR|3VULN|1CDMG	134VULN|2CDMG|5LIT|6aRCR|7CGEN|8ERES|9DUST
16	11243 22514	   	264.73	DCR|DCR|3VULN|1CDMG	134VULN|2CDMG|5LIT|6aRCR|7CGEN|8AME|9DUST
17	13151 53533	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3TBNT|4CDMG|5AIRHEA|6aRCR|7BEXP|8TLV|9CGEN
18	13331 53533	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3CDMG|4LSRICY|5BBNT|6aRCR|7BEXP|8TLV|9CGEN
19	13361 53533	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3CDMG|4SPLREG|5BBNT|6aRCR|7BEXP|8TLV|9CGEN
20	13632 53161	   	261.93	DCR|2VULN|3DMG|2TLV|2MLV	19VULN|249DMG|3BEXP|57MLV|69TLV|8RCR|9BPWR|aCGEN
21	13632 53163	   	261.83	DCR|2VULN|3DMG|2TLV|2MLV	19VULN|249DMG|3BEXP|57MLV|69TLV|8RCR|9BPWR|aBBNT
22	33335 21613	 * 	261.80	DCR|DCR|2DMG|1TLV|1DUR|1CDMG	1DUR|25DMG|3CDMG|4MSLFST|6aRCR|7CGEN|8TLV|9AEBURN
23	33365 21613	   	261.80	DCR|DCR|2DMG|1TLV|1DUR|1CDMG	1DUR|25DMG|3CDMG|4CANARM|6aRCR|7CGEN|8TLV|9AEBURN
