0	Index      	 *	Score 	Summary	Detail	
1	13365 22335	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1AART	1LWND|2DMG|36VULN|4MDPS|5RMIN|7AART|8aRCR|9TLV
2	13342 13152	 * 	287.28	DCR|DCR|2VULN|2DMG|1DUR	1LWND|25DMG|38VULN|4ASPD|6ERES|7DUR|9aRCR
3	13532 13152	   	287.28	DCR|DCR|2VULN|2DMG|1DUR	1LWND|25DMG|3ASPD|48VULN|6ERES|7DUR|9aRCR
4	13563 23152	   	287.28	DCR|DCR|2VULN|2DMG|1DUR	1LWND|24DMG|3ASPD|5ERES|68VULN|7DUR|9aRCR
5	32462 22352	   	278.26	DCR|DCR|1VULN|1TLV|1DMG|1MLV|2ASPD	1ERES|2TLV|3LWND|45ASPD|6VULN|7MLV|8DMG|9aRCR
6	13462 23152	   	276.40	DCR|DCR|2VULN|1DMG|2ASPD|1DUR	1LWND|2DMG|3CGEN|45ASPD|68VULN|7DUR|9aRCR
7	11636 32141	   	274.54	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV|1DUR	1LWND|2DUR|3MSLTOX|4MLV|5RCVC|6SPLJET|7VULN|8aRCR|9TLV
8	32411 22352	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1ERES|2TLV|3LWND|4DMG|5AEFRZ|6VULN|7MLV|8ASPD|9aRCR
9	32416 22352	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	15ERES|2TLV|3LWND|4DMG|6VULN|7MLV|8ASPD|9aRCR
10	32461 22352	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1ERES|2TLV|3LWND|4ASPD|5AEFRZ|6VULN|7MLV|8DMG|9aRCR
11	13463 23152	   	269.79	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|35CGEN|4ASPD|68VULN|7DUR|9aRCR
12	13322 13152	   	269.69	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|38VULN|4DMSP|5ASPD|6ERES|7DUR|9aRCR
13	13345 13152	   	269.69	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|38VULN|4ASPD|5RCVC|6ERES|7DUR|9aRCR
