0	Index      	 *	Score 	Summary	Detail	
1	25212 33442	 * 	285.17	ACR|DCR|3VULN|1FLTARM|1TLV|1MLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78aVULN|9MLV
2	24512 33422	   	283.22	ACR|DCR|3VULN|1FLTARM|1TLV|1DUR	16RCR|2ERES|3BBNT|4FLTARM|5TLV|78aVULN|9DUR
3	25212 33422	   	283.22	ACR|DCR|3VULN|1FLTARM|1TLV|1DUR	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78aVULN|9DUR
4	23352 11523	 * 	271.61	ACR|DCR|2VULN|2TLV|2DUR|1CDMG	1aRCR|2CDMG|39VULN|4AEPOI|5FEWX|69DUR|7LWND|89TLV|9BPWR
5	23356 11523	   	271.61	ACR|DCR|2VULN|2TLV|2DUR|1CDMG	1aRCR|2CDMG|39VULN|4AEPOI|5LHND|69DUR|7LWND|89TLV|9BPWR
6	23432 16362	   	270.66	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	1aRCR|2CDMG|3MSLFST|4AEFBLL|569VULN|7DUR|8TLV
7	23522 16362	   	270.66	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	1aRCR|2CDMG|3AEPOI|4AIRHEA|569VULN|7DUR|8TLV
8	24512 33262	   	269.97	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV	16RCR|2ERES|3BBNT|4FLTARM|5TLV|7aVULN|8ASPD|9MLV
9	25212 33262	   	269.97	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|7aVULN|8ASPD|9MLV
10	24512 33412	   	269.57	ACR|DCR|3VULN|1FLTARM|1TLV	16RCR|2ERES|3BBNT|4FLTARM|5TLV|78aVULN|9ZMB
11	24512 33432	   	269.57	ACR|DCR|3VULN|1FLTARM|1TLV	16RCR|2ERES|3BBNT|4FLTARM|5TLV|78aVULN|9LHND
12	25212 33412	   	269.57	ACR|DCR|3VULN|1FLTARM|1TLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78aVULN|9ZMB
13	25212 33432	   	269.57	ACR|DCR|3VULN|1FLTARM|1TLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78aVULN|9LHND
14	25212 33452	   	269.57	ACR|DCR|3VULN|1FLTARM|1TLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78aVULN|9RMIN
15	25212 33462	   	269.47	ACR|DCR|3VULN|1TLV|1FLTARM	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78aVULN|9AME
16	23215 11523	 * 	265.57	ACR|DCR|2VULN|2TLV|2CDMG|1DUR	1aRCR|29CDMG|34LHND|59VULN|6DUR|7LWND|89TLV|9BPWR
17	23616 12323	 * 	263.33	ACR|DCR|3VULN|1TLV|2CDMG	19RCR|2aCDMG|3MDPS|4BBNT|5TLV|68aVULN|7aMULARM|aBPWR
18	23616 14323	   	263.33	ACR|DCR|3VULN|1TLV|2CDMG	19RCR|2aCDMG|3MDPS|4BBNT|5TLV|68aVULN|7aBASICY|aBPWR
19	24512 33362	   	263.03	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV	16RCR|2ERES|3BBNT|4FLTARM|5TLV|7aVULN|8RMIN|9MLV
20	25212 33362	   	263.03	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|7aVULN|8RMIN|9MLV
21	25212 33441	   	262.93	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9MLV|aAEFRZ
22	25212 33443	   	262.93	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV|1MSE	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9MLV|aMSE
23	25212 33542	   	262.93	ACR|DCR|2VULN|1FLTARM|1TLV|1MLV	16RCR|2TBNT|38ERES|4FLTARM|5TLV|7aVULN|9MLV
24	24512 33421	   	261.08	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2ERES|3BBNT|4FLTARM|5TLV|78VULN|9DUR|aRPLT
25	25212 33416	   	261.08	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9ZMB|aDUR
26	25212 33421	   	261.08	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9DUR|aRPLT
27	25212 33424	   	261.08	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9DUR|aCGEN
28	25212 33425	   	261.08	ACR|DCR|2VULN|1TLV|1FLTARM|1DUR	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9DUR|aBEXP
29	24512 33522	   	260.98	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|28ERES|3BBNT|4FLTARM|5TLV|7aVULN|9DUR
30	25212 33522	   	260.98	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2TBNT|38ERES|4FLTARM|5TLV|7aVULN|9DUR
31	23434 11362	   	260.98	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	1aRCR|2CDMG|3MSLFST|4AEFBLL|57DUR|69VULN|8TLV
32	23524 11362	   	260.98	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	1aRCR|2CDMG|3AEPOI|4AIRHEA|57DUR|69VULN|8TLV
33	24512 33423	   	260.98	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2ERES|3BBNT|4FLTARM|5TLV|78VULN|9DUR|aMDPS
34	25212 33423	   	260.98	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9DUR|aMDPS
35	25212 33426	   	260.98	ACR|DCR|2VULN|1FLTARM|1TLV|1DUR|1MSE	16RCR|2TBNT|3ERES|4FLTARM|5TLV|78VULN|9DUR|aMSE
36	23432 16262	   	260.06	ACR|DCR|3VULN|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3MSLFST|4AEFBLL|569VULN|7DUR|8MLV
37	23522 16262	   	260.06	ACR|DCR|3VULN|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3AEPOI|4AIRHEA|569VULN|7DUR|8MLV
38	25212 33626	 * 	258.86	ACR|DCR|2TLV|1VULN|1FLTARM|1AART|1CDMG	16RCR|2TBNT|3ERES|4FLTARM|59TLV|7VULN|8CDMG|aAART
39	24512 32123	 * 	257.76	ACR|DCR|2VULN|2TLV|1FLTARM	16RCR|2aERES|3BBNT|4FLTARM|5aTLV|7AME|8RAT|9aVULN|aBPWR
40	25212 32123	   	257.76	ACR|DCR|2VULN|2TLV|1FLTARM	16RCR|2TBNT|3aERES|4FLTARM|5aTLV|7AME|8RAT|9aVULN|aBPWR
41	23352 42362	   	257.54	ACR|DCR|2VULN|1TLV|2CDMG|1MSLTOX	1aRCR|26CDMG|39VULN|4AEPOI|5FEWX|7MSLTOX|8TLV
42	34121 55333	 * 	257.39	DCR|3VULN|2DMG|1FLTARM|1AART|1CDMG	1BOSS|249VULN|34DMG|4BPWR|5FLTARM|6BEXP|7AART|8CDMG|aRCR
43	24512 33161	 * 	257.11	ACR|DCR|2FLTARM|1VULN|1TLV|1AART	16RCR|2aERES|3BBNT|4aFLTARM|5TLV|7VULN|8aLHND|9AART|aBPWR
44	25212 33161	   	257.11	ACR|DCR|2FLTARM|1VULN|1TLV|1AART	16RCR|2TBNT|3aERES|4aFLTARM|5TLV|7VULN|8aLHND|9AART|aBPWR
45	23432 14362	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|2CDMG|3MSLFST|4AEFBLL|569VULN|7FEWX|8TLV
46	23432 15362	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|2CDMG|3MSLFST|4AEFBLL|569VULN|7BEXP|8TLV
47	23432 36362	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|2CDMG|3MSLFST|4AEFBLL|579VULN|6FEWX|8TLV
48	23522 14362	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|2CDMG|3AEPOI|4AIRHEA|569VULN|7FEWX|8TLV
49	23522 15362	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|2CDMG|3AEPOI|4AIRHEA|569VULN|7BEXP|8TLV
50	23522 36362	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|2CDMG|3AEPOI|4AIRHEA|579VULN|6FEWX|8TLV
51	34143 62331	 * 	256.09	DCR|3VULN|2DMG|2DUR|3CDMG	1BOSS|26aVULN|35DMG|45aCDMG|5aBPWR|7TBNT|8aDUR|9RCR
