0	Index      	 *	Score 	Summary	Detail	
1	32262 31321	 * 	296.55	DCR|DCR|4VULN|2DUR|1AAC	1578VULN|2AAC|3MDPS|45DUR|5BPWR|6BEXP|9aRCR
2	32213 31321	 * 	292.99	DCR|DCR|3VULN|1TLV|1MLV|1AAC	178VULN|2AAC|3MDPS|4MLV|5TLV|6BEXP|9aRCR
3	31335 36421	   	290.93	DCR|DCR|4VULN|1DUR	1456VULN|2LHND|3DUR|7ASPD|8MDPS|9aRCR
4	32515 31421	   	290.93	DCR|DCR|3VULN|1TLV|1DUR|1AAC	156VULN|2AAC|3DUR|4ERES|7TLV|8MDPS|9aRCR
5	32213 26321	   	284.40	DCR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	18VULN|2AAC|3MDPS|4MLV|5TLV|6AEFRZ|7DUR|9aRCR
6	16345 21321	   	284.12	DCR|DCR|3VULN|2DUR	13DUR|2AETHUN|4ASPD|578VULN|6MDPS|9aRCR
7	31334 43321	   	283.99	DCR|DCR|4VULN|1DUR	1468VULN|2LHND|3DUR|5MDPS|7ZMB|9aRCR
8	31334 45321	   	283.99	DCR|DCR|4VULN|1DUR|1AAC	1468VULN|2LHND|3DUR|5MDPS|7AAC|9aRCR
9	26334 43321	   	283.89	DCR|DCR|4VULN|1DUR	1LEGI|2468VULN|3DUR|5MDPS|7ZMB|9aRCR
10	32213 31521	 * 	281.18	DCR|DCR|2VULN|2TLV|1MLV|1AAC	17VULN|2AAC|3MDPS|4MLV|58TLV|6BEXP|9aRCR
11	32516 21321	   	280.33	DCR|DCR|3VULN|1MLV|1DUR|1AAC	178VULN|2AAC|3DUR|4ERES|5MLV|6MDPS|9aRCR
12	31331 22521	 * 	278.36	DCR|DCR|2VULN|1DMG|1MLV|1DUR	14VULN|2LHND|3DUR|5AME|6MLV|7DMG|8BEXP|9aRCR
13	31333 22521	   	278.36	DCR|DCR|2VULN|1DMG|1MLV|1DUR	14VULN|2LHND|3DUR|5ERES|6MLV|7DMG|8BEXP|9aRCR
14	26331 22521	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1LEGI|24VULN|3DUR|5AME|6MLV|7DMG|8BEXP|9aRCR
15	26333 22521	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1LEGI|24VULN|3DUR|5ERES|6MLV|7DMG|8BEXP|9aRCR
16	34331 22521	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	14VULN|2DUST|3DUR|5AME|6MLV|7DMG|8BEXP|9aRCR
17	34331 22621	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	14VULN|2DUST|3DUR|5AME|6MLV|7DMG|8FEWX|9aRCR
18	34333 22521	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	14VULN|2DUST|3DUR|5ERES|6MLV|7DMG|8BEXP|9aRCR
19	34333 22621	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	14VULN|2DUST|3DUR|5ERES|6MLV|7DMG|8FEWX|9aRCR
20	31132 24521	   	277.58	DCR|DCR|3VULN|2DUR|1AAC	147VULN|2LHND|37LWND|57DUR|6AAC|7BPWR|8BEXP|9aRCR
21	26132 24521	   	277.48	DCR|DCR|3VULN|2DUR|1AAC	1LEGI|247VULN|37LWND|57DUR|6AAC|7BPWR|8BEXP|9aRCR
22	32262 35321	   	277.38	DCR|DCR|3VULN|2DUR|1AAC	158VULN|2AAC|3MDPS|45DUR|5BPWR|6BEXP|7DMSP|9aRCR
23	12256 21321	   	277.28	DCR|DCR|3VULN|2DUR|1AAC	16DUR|2AAC|3MDPS|4LWND|578VULN|9aRCR
24	31135 36421	   	277.28	DCR|DCR|4VULN	1456VULN|2LHND|3LWND|7ASPD|8MDPS|9aRCR
25	32115 31421	   	277.28	DCR|DCR|3VULN|1TLV|1AAC	156VULN|2AAC|3LWND|4ERES|7TLV|8MDPS|9aRCR
26	32246 61321	   	277.28	DCR|DCR|3VULN|1TLV|1AAC	178VULN|2AAC|3MDPS|4LHND|5TLV|6ERES|9aRCR
27	32262 25321	   	277.28	DCR|DCR|3VULN|2DUR|1AAC	158VULN|2AAC|3MDPS|45DUR|5BPWR|6AEFRZ|7BEXP|9aRCR
28	32262 31621	   	277.28	DCR|DCR|3VULN|2DUR|1AAC	157VULN|2AAC|3MDPS|45DUR|5BPWR|6BEXP|8AEFRZ|9aRCR
29	32265 21321	   	277.28	DCR|DCR|3VULN|2DUR|1AAC	178VULN|2AAC|3MDPS|46DUR|5LWND|9aRCR
30	16365 21321	   	277.18	DCR|DCR|3VULN|2DUR|1AAC	13DUR|2AETHUN|4AAC|578VULN|6MDPS|9aRCR
31	32262 64321	   	277.18	DCR|DCR|3VULN|2DUR|1AAC	158VULN|2AAC|3MDPS|45DUR|5BPWR|6ERES|7AME|9aRCR
32	26334 63321	   	277.18	DCR|DCR|3VULN|2DUR	1LEGI|248VULN|36DUR|5MDPS|7ZMB|9aRCR
33	31331 35521	   	275.83	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2LHND|3DUR|5AME|6ASPD|7TLV|8BEXP|9aRCR
34	31333 35521	   	275.83	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2LHND|3DUR|5ERES|6ASPD|7TLV|8BEXP|9aRCR
35	26331 35521	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	1LEGI|24VULN|3DUR|5AME|6ASPD|7TLV|8BEXP|9aRCR
36	26333 35521	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	1LEGI|24VULN|3DUR|5ERES|6ASPD|7TLV|8BEXP|9aRCR
37	34331 35521	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2DUST|3DUR|5AME|6ASPD|7TLV|8BEXP|9aRCR
38	34331 35621	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2DUST|3DUR|5AME|6ASPD|7TLV|8FEWX|9aRCR
39	34333 35521	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2DUST|3DUR|5ERES|6ASPD|7TLV|8BEXP|9aRCR
40	34333 35621	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2DUST|3DUR|5ERES|6ASPD|7TLV|8FEWX|9aRCR
41	32322 42351	   	271.49	DCR|DCR|2VULN|1TLV|1MSLTOX|1AAC|1NUKE	1aVULN|2AAC|3NUKE|4MSLTOX|5BOSS|69RCR|7RPLT|8TLV
42	32323 42351	   	271.49	DCR|DCR|2VULN|1TLV|1MSLTOX|1AAC|1NUKE	1aVULN|2AAC|3NUKE|4MSLTOX|5LIT|69RCR|7RPLT|8TLV
43	31614 21621	 * 	271.24	DCR|DCR|3VULN|1DMG	178VULN|2LHND|37CGEN|47ERES|5MDPS|6aRCR|7BPWR|9DMG
44	31214 21621	   	271.04	DCR|DCR|3VULN|1DMG	178VULN|2LHND|37AME|47ERES|5MDPS|6aRCR|7BPWR|9DMG
45	26214 21621	   	270.94	DCR|DCR|3VULN|1DMG	1LEGI|278VULN|37AME|47ERES|5MDPS|6aRCR|7BPWR|9DMG
46	34214 21621	   	270.94	DCR|DCR|3VULN|1DMG	178VULN|2DUST|37AME|47ERES|5MDPS|6aRCR|7BPWR|9DMG
47	32213 24321	   	270.75	DCR|DCR|2VULN|1TLV|1MLV|1AAC	18VULN|2AAC|3MDPS|4MLV|5TLV|6AEFRZ|7LWND|9aRCR
48	32262 26421	   	270.75	DCR|DCR|2VULN|2DUR|1MLV|1AAC	15VULN|2AAC|3MDPS|45DUR|5BPWR|6AEFRZ|7MLV|8RMIN|9aRCR
49	32516 11521	 * 	270.69	DCR|DCR|2VULN|2MLV|1DUR|1AAC	16VULN|2AAC|3DUR|4ERES|56MLV|6BPWR|7FEWX|8BEXP|9aRCR
50	32213 64321	   	270.65	DCR|DCR|2VULN|1TLV|1MLV|1AAC	18VULN|2AAC|3MDPS|4MLV|5TLV|6ERES|7AME|9aRCR
51	32242 24321	   	270.44	DCR|DCR|4VULN|1AAC	1578VULN|2AAC|3MDPS|457LHND|57BPWR|67AEFRZ|9aRCR
52	32242 31321	   	270.44	DCR|DCR|4VULN|1AAC	1578VULN|2AAC|3MDPS|45LHND|5BPWR|6BEXP|9aRCR
53	31134 45321	   	270.34	DCR|DCR|4VULN|1AAC	1468VULN|2LHND|3LWND|5MDPS|7AAC|9aRCR
54	32252 31321	   	270.24	DCR|DCR|4VULN|1AAC	1578VULN|2AAC|3MDPS|4LEGI|5BPWR|6BEXP|9aRCR
55	32252 24321	   	270.14	DCR|DCR|4VULN|1AAC	1578VULN|2AAC|3MDPS|4LEGI|57BPWR|67AEFRZ|9aRCR
56	32513 31421	   	268.69	DCR|DCR|2VULN|1TLV|1DUR|1AAC	16VULN|2AAC|3DUR|45ERES|7TLV|8MDPS|9aRCR
57	32213 26521	   	268.53	DCR|DCR|2TLV|1VULN|1MLV|1DUR|1AAC	1VULN|2AAC|3MDPS|4MLV|58TLV|6AEFRZ|7DUR|9aRCR
58	36522 22621	 * 	266.69	DCR|DCR|2VULN|2DMG	17VULN|2AEPOI|3BBNT|47DMG|57LWND|6RCVC|7BPWR|8AEFRZ|9aRCR
59	36523 22621	   	266.69	DCR|DCR|2VULN|2DMG	17VULN|2AEPOI|3BBNT|47DMG|5RCVC|67LHND|7BPWR|8AEFRZ|9aRCR
60	32116 21321	   	266.68	DCR|DCR|3VULN|1MLV|1AAC	178VULN|2AAC|3LWND|4ERES|5MLV|6MDPS|9aRCR
61	32212 44321	   	266.68	DCR|DCR|3VULN|1MLV|1AAC	168VULN|2AAC|3MDPS|4MLV|5FEWX|7AME|9aRCR
62	32215 44321	   	266.68	DCR|DCR|3VULN|1MLV|1AAC	168VULN|2AAC|3MDPS|4MLV|5LHND|7AME|9aRCR
63	32215 61321	   	266.68	DCR|DCR|3VULN|1MLV|1AAC	178VULN|2AAC|3MDPS|4MLV|5LHND|6ERES|9aRCR
