0	Index      	 *	Score 	Summary	Detail	
1	36413 22251	 * 	255.14	DCR|DCR|1VULN|2DUR|1TLV	1ERES|2LHND|38DUR|4LWND|5BOSS|6TLV|7aRCR|9VULN
2	36535 22231	 * 	253.02	DCR|DCR|2TLV|1VULN|1DUR	1ERES|2LHND|3LIT|4LWND|5VULN|69TLV|7aRCR|8DUR
3	36563 22231	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1ERES|2LHND|3LIT|4VULN|5FEWX|69TLV|7aRCR|8DUR
4	15114 22211	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2ERES|3VULN|4LHND|59BOSS|6TLV|7aRCR|8DUR
5	25114 22211	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2ERES|3VULN|4LHND|59BOSS|6TLV|7aRCR|8DUR
6	32344 22211	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2DMSP|3VULN|4MDPS|59BOSS|6TLV|7aRCR|8DUR
7	36134 22211	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2LHND|3VULN|4DUST|59BOSS|6TLV|7aRCR|8DUR
8	32324 36136	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1ERES|2DMSP|3VULN|4CDMG|56DUR|7aRCR|8LSRHEA|9DUST
9	32324 36354	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	18ERES|2DMSP|3VULN|4CDMG|56DUR|7aRCR|9MBVNT
10	13552 31161	 * 	239.60	DCR|3VULN|2DUR|1DMG|1AART|1CDMG	1FEWX|2AART|3CDMG|479VULN|56DUR|8RCR|aDMG
11	23552 31161	   	239.50	DCR|3VULN|2DUR|1DMG|1AART|1CDMG	1DUST|2AART|3CDMG|479VULN|56DUR|8RCR|aDMG
12	23237 48731	   	238.83	DCR|DCR|1VULN|1MLV|1AART	1DUST|2AART|3DMSP|4MBVNT|5VULN|6ASPD|7MLV|8aRCR|9BBNT
