0	Index      	 *	Score 	Summary	Detail	
1	21226 62336	 * 	277.28	DCR|DCR|3VULN|1TLV	18AEWIND|28MULHEA|3LHND|4BOSS|5TLV|689VULN|7aRCR|8BPWR
2	11225 15423	 * 	274.83	ACR|DCR|2VULN|1FLTARM|1TLV|1AART|1CDMG	1TLV|2aRCR|3RAT|4AART|5CDMG|69VULN|7FLTARM|8DUST
3	11341 35632	 * 	272.72	ACR|DCR|3VULN|1TLV|1MLV|1CDMG	1TLV|2aRCR|3BELT|4CDMG|5MLV|6ERES|789VULN
4	21122 52336	 * 	270.65	DCR|DCR|2VULN|2DUR|1MLV	18AEWIND|28MULHEA|39VULN|4BOSS|5MLV|68DUR|7aRCR|8BPWR
5	12253 63136	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1TLV|29VULN|3FEWX|4BOSS|5AEWIND|6MGNSTR|7DUR|8aRCR
6	12353 12536	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1TLV|29VULN|3LHND|4BOSS|5AEWIND|6FRZFST|7aRCR|8DUR
7	12253 13136	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1TLV|29VULN|3FEWX|4BOSS|5AEWIND|6FRZFST|7DUR|8aRCR
8	12255 13136	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1TLV|29VULN|3FEWX|4BOSS|5AEFBLL|6FRZFST|7DUR|8aRCR
9	21222 62336	   	266.68	DCR|DCR|3VULN|1MLV	18AEWIND|28MULHEA|3LHND|4BOSS|5MLV|689VULN|7aRCR|8BPWR
10	12253 62336	 * 	265.78	DCR|DCR|2VULN|2TLV	18TLV|28VULN|3FEWX|4BOSS|5AEWIND|68MGNSTR|7aRCR|8BPWR|9LWND
11	12353 62336	   	265.78	DCR|DCR|2VULN|2TLV	18TLV|28VULN|3LHND|4BOSS|5AEWIND|68MGNSTR|7aRCR|8BPWR|9LWND
12	12253 12336	   	265.58	DCR|DCR|2VULN|2TLV	18TLV|28VULN|3FEWX|4BOSS|5AEWIND|68FRZFST|7aRCR|8BPWR|9LWND
13	12255 12336	   	265.58	DCR|DCR|2VULN|2TLV	18TLV|28VULN|3FEWX|4BOSS|5AEFBLL|68FRZFST|7aRCR|8BPWR|9LWND
14	12353 12336	   	265.58	DCR|DCR|2VULN|2TLV	18TLV|28VULN|3LHND|4BOSS|5AEWIND|68FRZFST|7aRCR|8BPWR|9LWND
15	21122 52236	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1AEWIND|2MULHEA|39VULN|4BOSS|5MLV|6DUR|7aRCR|8BEXP
16	21122 52436	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1AEWIND|2MULHEA|39VULN|4BOSS|5MLV|6DUR|7aRCR|8LHND
17	21122 52536	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1AEWIND|2MULHEA|39VULN|4BOSS|5MLV|6DUR|7aRCR|8LWND
