0	Index      	 *	Score 	Summary	Detail	
1	55321 12233	 * 	245.44	DCR|DCR|1VULN|1DMG|1MLV	1ZMB|2MLV|3LIT|4MSLFST|5DMG|6VULN|7LHND|8ASPD|9aRCR
2	12611 32243	 * 	242.59	DCR|DCR|2VULN|1DUR	1TBNT|2LIT|35VULN|4LHND|6AME|7DUR|8FEWX|9aRCR
3	52332 61138	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1ZMB|2ERES|3LIT|4AART|5BELT|6VULN|7MBVNT|8aRCR|9DMG
4	66313 42331	 * 	236.29	DCR|3VULN|2TLV|1DMG|1CDMG	17TLV|2MDPS|37AME|4DMG|5FEWX|678VULN|7BPWR|9RCR|aCDMG
5	33335 31121	   	231.83	DCR|3VULN|2TLV|1MLV|1AART	1LEGI|2CGEN|3MLV|47TLV|568VULN|9AART|aRCR
6	31335 31121	   	231.73	DCR|3VULN|2TLV|1MLV|1AART	1LEGI|2ERES|3MLV|47TLV|568VULN|9AART|aRCR
7	54241 22333	   	229.84	DCR|DCR|1VULN|1DMG	1ZMB|2SNIFST|3DMG|4VULN|5BOSS|6ASPD|7LHND|8aRCR|9CGEN
8	52321 12233	   	229.74	DCR|DCR|1VULN|1DMG	1ZMB|2ERES|3LIT|4MSLFST|5DMG|6VULN|7LHND|8ASPD|9aRCR
9	63225 33326	 * 	228.98	DCR|3VULN|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8FEWX|9RPLT|aRCR
10	63325 33326	   	228.98	DCR|3VULN|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8FEWX|9RPLT|aRCR
11	52316 15233	   	228.94	DCR|DCR|2VULN	1ZMB|2ERES|3LIT|4LHND|59VULN|6aRCR|7VENTOX|8MBVNT
12	12311 35243	   	228.94	DCR|DCR|2VULN	1TBNT|2LIT|3LWND|4LHND|56VULN|7AME|8FEWX|9aRCR
13	12411 35243	   	228.94	DCR|DCR|2VULN	1TBNT|2LIT|3LHND|4LWND|56VULN|7AME|8FEWX|9aRCR
