0	Index      	 *	Score 	Summary	Detail	
1	45431 32111	 * 	246.03	ACR|2VULN|1BASARM|2BEXP|1DMG|1AART|1CDMG	18VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|78BEXP|8BPWR|9DMG|aCDMG
2	45431 11311	 * 	245.98	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP|1CDMG	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8BEXP|9DMG|aCDMG
3	45431 31311	   	245.78	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP|1CDMG	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|8BEXP|9DMG|aCDMG
4	45424 11244	 * 	243.75	ACR|2VULN|1BASARM|2ASPD|1DMG|1AART	19VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|aDMG
5	45413 33231	 * 	236.31	ACR|2BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1VULN|27BASARM|3RCR|4FEWX|5ZMB|6CDMG|8BEXP|9ASPD|aDMG
6	45423 33231	   	236.11	ACR|2BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1VULN|27BASARM|3RCR|4MBVNT|5AAC|6CDMG|8BEXP|9ASPD|aDMG
7	45433 11222	   	235.48	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9CDMG|aRPLT
8	45433 11223	   	235.48	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9CDMG|aRMIN
9	45433 11213	 * 	235.38	ACR|1BASARM|2ASPD|1VULN|2BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5aBEXP|6CGEN|78ASPD|9RPLT
10	45433 11221	   	235.38	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9CDMG|aFLTARM
11	45433 21222	   	235.38	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9CDMG|aRPLT
