0	Index      	 *	Score 	Summary	Detail	
1	56212 53122	 * 	233.51	ACR|3DMG|1BASARM|2ASPD|1AAC	1ERES|236DMG|4RCR|57ASPD|8LWND|9AAC|aBASARM
2	56212 52222	   	215.82	ACR|3DMG|1BASARM|1ASPD|1AAC	18ERES|236DMG|4RCR|5ASPD|7LHND|9AAC|aBASARM
3	16113 62623	 * 	212.51	ACR|3VULN|2ASPD|2DMG	1RPLT|2RCVC|3RCR|48aVULN|5MLV|6aASPD|7RMIN|9aDMG|aBPWR
4	16151 22723	   	212.41	ACR|3VULN|2ASPD|2DMG	15RPLT|2RCVC|3RCR|4MBVNT|6aDMG|78aVULN|9aASPD|aBPWR
5	26212 53622	 * 	212.08	ACR|3DMG|2ASPD|1VULN|1BEXP	1TLV|236DMG|4RCR|57ASPD|8RCVC|9BEXP|aVULN
6	26212 52331	   	211.17	ACR|3DMG|2ASPD|1VULN|1CDMG	1TLV|236DMG|4RCR|58ASPD|7LHND|9CDMG|aVULN
7	26212 53131	   	211.17	ACR|3DMG|2ASPD|1VULN|1CDMG	1TLV|236DMG|4RCR|57ASPD|8LWND|9CDMG|aVULN
8	26212 53531	   	211.17	ACR|3DMG|2ASPD|1VULN|1CDMG	1TLV|236DMG|4RCR|57ASPD|8LHND|9CDMG|aVULN
9	56212 53131	   	211.17	ACR|3DMG|2ASPD|1VULN|1CDMG	1ERES|236DMG|4RCR|57ASPD|8LWND|9CDMG|aVULN
10	16113 53623	   	210.81	ACR|2VULN|2ASPD|2DMG|1AAC	1RPLT|2RCVC|3RCR|4aVULN|57MLV|6AAC|8aASPD|9aDMG|aBPWR
11	26212 32622	 * 	210.22	ACR|3DMG|2VULN|1ASPD|1AART	1TLV|239DMG|4RCR|5ASPD|6RPLT|78VULN|aAART
12	56212 32622	   	210.22	ACR|3DMG|2VULN|1ASPD|1AART	1ERES|239DMG|4RCR|5ASPD|6RPLT|78VULN|aAART
13	22411 11321	 * 	209.27	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1TLV|2RCVC|3ERES|4RCR|5LHND|6BEXP|7AART|8BASARM|9DMG|aASPD
14	22413 11321	   	209.27	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1TLV|2RCVC|3ERES|4RCR|5LWND|6BEXP|7AART|8BASARM|9DMG|aASPD
15	16111 11256	 * 	209.18	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2RCVC|3RCR|4VULN|5FEWX|6LHND|7ASPD|8BASARM|9BEXP|aAART
16	16112 11256	   	209.18	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2RCVC|3RCR|4VULN|5DUR|6LHND|7ASPD|8BASARM|9BEXP|aAART
17	16112 11235	 * 	208.25	ACR|1BASARM|1VULN|1ASPD|1DMG|1AAC	1RPLT|2RCVC|3RCR|4VULN|5DUR|6LHND|7ASPD|8BASARM|9AAC|aDMG
18	16115 11235	   	208.15	ACR|1BASARM|1VULN|1ASPD|1DMG|1AAC	1RPLT|2RCVC|3RCR|4VULN|5DUST|6LHND|7ASPD|8BASARM|9AAC|aDMG
19	16111 11251	   	207.18	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1RPLT|2RCVC|3RCR|4VULN|5FEWX|6LHND|7ASPD|8BASARM|9BEXP|aCDMG
20	16111 35251	   	207.18	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2RCVC|3RCR|4VULN|5FEWX|6DMG|7LWND|8BASARM|9BEXP|aCDMG
21	16111 36251	   	207.18	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2RCVC|3RCR|4VULN|5FEWX|6DMG|7LHND|8BASARM|9BEXP|aCDMG
22	16112 11251	   	207.18	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1RPLT|2RCVC|3RCR|4VULN|5DUR|6LHND|7ASPD|8BASARM|9BEXP|aCDMG
23	16112 35251	   	207.18	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2RCVC|3RCR|4VULN|5DUR|6DMG|7LWND|8BASARM|9BEXP|aCDMG
24	16112 36251	   	207.18	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2RCVC|3RCR|4VULN|5DUR|6DMG|7LHND|8BASARM|9BEXP|aCDMG
25	26212 53621	 * 	207.15	ACR|3DMG|2ASPD|2BEXP	1TLV|236DMG|4RCR|57ASPD|8RCVC|9aBEXP
26	22411 11325	 * 	206.98	ACR|1BASARM|1DMG|1AART|1VULN|1BEXP	1TLV|2RCVC|3ERES|4RCR|5LHND|6BEXP|7AART|8BASARM|9DMG|aVULN
27	22413 11325	   	206.98	ACR|1BASARM|1DMG|1AART|1VULN|1BEXP	1TLV|2RCVC|3ERES|4RCR|5LWND|6BEXP|7AART|8BASARM|9DMG|aVULN
28	22411 11322	 * 	206.80	ACR|1BASARM|2DMG|1AART|1BEXP	1TLV|2RCVC|3ERES|4RCR|5LHND|6BEXP|7AART|8BASARM|9aDMG
29	22413 11322	   	206.80	ACR|1BASARM|2DMG|1AART|1BEXP	1TLV|2RCVC|3ERES|4RCR|5LWND|6BEXP|7AART|8BASARM|9aDMG
30	26213 15224	   	206.24	ACR|3DMG|1ASPD|1VULN|1BEXP|1CDMG	1TLV|239DMG|4RCR|5LWND|6BEXP|7ASPD|8CDMG|aVULN
31	26212 53623	   	205.96	ACR|3DMG|2ASPD|1BEXP|1CDMG	1TLV|236DMG|4RCR|57ASPD|8RCVC|9BEXP|aCDMG
32	56214 34422	 * 	205.86	ACR|3DMG|2ASPD|2AART	18ERES|238DMG|4RCR|5RMIN|6MBVNT|78ASPD|8BPWR|9aAART
33	16112 36235	 * 	205.77	ACR|1BASARM|2DMG|1VULN|1AAC	1RPLT|2RCVC|3RCR|4VULN|5DUR|6aDMG|7LHND|8BASARM|9AAC
34	26212 23344	   	205.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	1TLV|23DMG|4RCR|5ASPD|68DUR|7LHND|9CDMG|aBASARM
35	56212 21152	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ERES|23DMG|4RCR|5ASPD|6DUR|7RMIN|8LWND|9BEXP|aBASARM
36	56212 23252	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ERES|23DMG|4RCR|5ASPD|6DUR|7LHND|8RMIN|9BEXP|aBASARM
37	56211 15122	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ERES|23DMG|4RCR|5LHND|6BEXP|7ASPD|8LWND|9ZMB|aBASARM
38	26212 11561	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1TLV|23DMG|4RCR|5ASPD|6DMSP|7SNIHEL|8BEXP|9CGEN|aBASARM
39	26212 22344	   	205.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1TLV|23DMG|4RCR|5ASPD|68DUR|7DUST|9CDMG|aBASARM
