0	Index      	 *	Score 	Summary	Detail	
1	18714 74434	 * 	252.20	ACR|3ASPD|3DMG|2BEXP|3CDMG	1MBVNT|27aASPD|3RCR|4TLV|578CDMG|67aDMG|7aBPWR|9aBEXP
2	62342 31314	 * 	230.90	ACR|1BASARM|2BEXP|2AART|1ASPD|2CDMG	16BEXP|29AART|34CDMG|5RCR|7BASARM|8VULN|aASPD
3	18714 74131	   	230.65	ACR|3ASPD|3DMG|3CDMG	1MBVNT|279ASPD|3RCR|4TLV|579CDMG|679DMG|79BPWR|8RCVC|aVULN
4	62325 31314	   	229.49	ACR|1BASARM|2BEXP|2AART|1ASPD|1CDMG	16BEXP|29AART|3CDMG|4RCR|5AEFBLL|7BASARM|8VULN|aASPD
5	23223 24521	 * 	227.66	ACR|3ASPD|3DMG|3BEXP	1RCVC|289BEXP|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aRMIN
6	23223 24522	   	227.66	ACR|3ASPD|3DMG|3BEXP	1RCVC|289BEXP|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aLIT
7	23223 24523	   	227.66	ACR|3ASPD|3DMG|3BEXP	1RCVC|289BEXP|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aLWND
8	23223 24524	   	227.66	ACR|3ASPD|3DMG|3BEXP	1RCVC|289BEXP|389ASPD|4aRPLT|5RCR|689DMG|7DMSP|89BPWR
9	23223 24525	   	227.66	ACR|3ASPD|3DMG|3BEXP	1RCVC|289BEXP|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aZMB
10	23223 24526	   	227.66	ACR|3ASPD|3DMG|3BEXP	1RCVC|289BEXP|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aCGEN
11	63223 24521	   	227.66	ACR|3ASPD|3DMG|3BEXP	189BEXP|2RCVC|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aRMIN
12	63223 24522	   	227.66	ACR|3ASPD|3DMG|3BEXP	189BEXP|2RCVC|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aLIT
13	63223 24523	   	227.66	ACR|3ASPD|3DMG|3BEXP	189BEXP|2RCVC|389ASPD|4RPLT|5RCR|689DMG|7DMSP|89BPWR|aLWND
14	13143 25122	 * 	225.57	ACR|1BASARM|2DMG|2VULN|1ASPD|1BEXP	1MBVNT|28VULN|3LWND|4RCR|59DMG|6BASARM|7BEXP|aASPD
15	13643 25122	   	225.57	ACR|1BASARM|2DMG|2VULN|1ASPD|1BEXP	1MBVNT|28VULN|3LHND|4RCR|59DMG|6BASARM|7BEXP|aASPD
16	16743 25122	   	225.57	ACR|1BASARM|2DMG|2VULN|1ASPD|1BEXP	1MBVNT|2LHND|38VULN|4RCR|59DMG|6BASARM|7BEXP|aASPD
17	23223 23511	   	225.46	ACR|3ASPD|3BEXP|2DMG|1CDMG	1RCVC|278BEXP|389ASPD|4RPLT|5RCR|68DMG|8BPWR|aCDMG
18	63223 23511	   	225.46	ACR|3ASPD|3BEXP|2DMG|1CDMG	178BEXP|2RCVC|389ASPD|4RPLT|5RCR|68DMG|8BPWR|aCDMG
19	62342 31114	   	223.86	ACR|1BASARM|2BEXP|2AART|1ASPD|2CDMG	16BEXP|29AART|34CDMG|5RCR|7BASARM|8LEGI|aASPD
20	18715 21132	 * 	223.78	ACR|3ASPD|2DMG|2VULN|1AART|1AAC	1MBVNT|26aASPD|3RCR|4TLV|5AAC|7AART|8aDMG|9aVULN|aBPWR
21	18714 74133	   	223.61	ACR|3ASPD|3DMG|3CDMG	1MBVNT|279ASPD|3RCR|4TLV|579CDMG|679DMG|79BPWR|8RCVC|aMDPS
22	18714 74134	   	223.61	ACR|3ASPD|3DMG|3CDMG	1MBVNT|279ASPD|3RCR|4TLV|579CDMG|679DMG|79BPWR|8RCVC|aDUST
23	23223 23566	   	223.46	ACR|3BEXP|2ASPD|2DMG|1AART|1CDMG	1RCVC|278BEXP|38ASPD|4RPLT|5RCR|68DMG|8BPWR|9AART|aCDMG
24	62342 31362	 * 	222.67	ACR|1BASARM|3BEXP|2VULN|2CDMG|1AART	16aBEXP|2AART|34CDMG|5RCR|7BASARM|89VULN
25	62322 41114	   	222.45	ACR|1BASARM|2BEXP|2AART|1ASPD|1CDMG	16BEXP|29AART|3CDMG|4RCR|5AME|7TLV|8BASARM|aASPD
26	62325 31114	   	222.45	ACR|1BASARM|2BEXP|2AART|1ASPD|1CDMG	16BEXP|29AART|3CDMG|4RCR|5AEFBLL|7BASARM|8LEGI|aASPD
