0	Index      	 *	Score 	Summary	Detail	
1	32153 35136	 * 	253.13	ACR|3VULN|1BASARM|2DMG|2BEXP	1RCR|2BELT|378VULN|4AME|57BEXP|67DMG|7BPWR|9LIT|aBASARM
2	53624 11131	 * 	236.49	ACR|2BASARM|2VULN|2DMG|1CDMG	18DMG|28VULN|3RCR|4AEFBLL|5aRCVC|6TLV|78BASARM|8BPWR|9CDMG
3	33216 35263	 * 	236.36	ACR|3ASPD|1BASARM|2CDMG|1BEXP	1RCR|27MLV|3FEWX|47CDMG|579ASPD|6MBVNT|7BPWR|8BEXP|aBASARM
4	31116 35263	   	236.26	ACR|3ASPD|1BASARM|2CDMG|1BEXP	1RCR|27LWND|3ERES|47CDMG|579ASPD|6MBVNT|7BPWR|8BEXP|aBASARM
5	53611 21351	 * 	236.20	ACR|3DMG|1BASARM|1VULN|1BEXP|1CDMG	167DMG|2VULN|3RCR|4CDMG|5BELT|8LIT|9BEXP|aBASARM
6	53624 11133	   	236.18	ACR|2BASARM|2VULN|2DMG|1CDMG	18DMG|28VULN|3RCR|4AEFBLL|5RCVC|6TLV|78BASARM|8BPWR|9CDMG|aMLV
7	53624 11132	   	236.08	ACR|2BASARM|2VULN|2DMG|1CDMG	18DMG|28VULN|3RCR|4AEFBLL|5RCVC|6TLV|78BASARM|8BPWR|9CDMG|aERES
8	32144 43332	 * 	235.66	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1RCR|2BELT|3VULN|4RPLT|5aDMG|6DUR|7BEXP|8BASARM|9ASPD
9	32434 43332	   	235.66	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1RCR|2BELT|3RPLT|4VULN|5aDMG|6DUR|7BEXP|8BASARM|9ASPD
10	32144 43331	   	233.02	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1RCR|2BELT|3VULN|4RPLT|5DMG|6DUR|7BEXP|8BASARM|9ASPD|aAART
11	32434 43331	   	233.02	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1RCR|2BELT|3RPLT|4VULN|5DMG|6DUR|7BEXP|8BASARM|9ASPD|aAART
12	32136 13661	   	232.55	ACR|3DMG|1BASARM|1VULN|1CDMG	1RCR|2BELT|3VULN|4FEWX|5LIT|678DMG|9CDMG|aBASARM
13	53624 11121	 * 	231.59	ACR|3VULN|2BASARM|2DMG	18DMG|28aVULN|3RCR|4AEFBLL|5RCVC|6TLV|78BASARM|8BPWR|9BELT
14	33116 32463	   	231.53	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1RCR|2MLV|3VENICY|4DMG|5AEFBLL|6BASARM|7ASPD|8CDMG|9BEXP|aVULN
15	31431 31511	 * 	231.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1RCR|2LWND|3aBEXP|4DUR|5AART|6DMG|7MDPS|8ASPD|9BASARM
16	31461 31511	   	231.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1RCR|2LWND|3aBEXP|4FEWX|5AART|6DMG|7MDPS|8ASPD|9BASARM
17	31661 31411	   	231.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1RCR|2LWND|3MBVNT|4aBEXP|5AART|6DMG|7MDPS|8ASPD|9BASARM
18	31516 32263	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3MLV|4CDMG|579ASPD|6MBVNT|8BEXP|aBASARM
19	31644 11663	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3MBVNT|489ASPD|5CDMG|6CGEN|7BEXP|aBASARM
20	31644 12263	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3MBVNT|479ASPD|5CDMG|6CGEN|8BEXP|aBASARM
21	33216 31663	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2MLV|3FEWX|4CDMG|589ASPD|6MBVNT|7BEXP|aBASARM
22	33216 32263	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2MLV|3FEWX|4CDMG|579ASPD|6MBVNT|8BEXP|aBASARM
23	33216 52253	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2MLV|3FEWX|4CDMG|579ASPD|6DUST|8BEXP|aBASARM
24	36216 32263	   	229.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2CGEN|3FEWX|4CDMG|579ASPD|6MBVNT|8BEXP|aBASARM
25	31116 31663	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3ERES|4CDMG|589ASPD|6MBVNT|7BEXP|aBASARM
26	31116 32263	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3ERES|4CDMG|579ASPD|6MBVNT|8BEXP|aBASARM
27	31116 52253	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3ERES|4CDMG|579ASPD|6DUST|8BEXP|aBASARM
28	31644 41663	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3MBVNT|489ASPD|5CDMG|6ERES|7BEXP|aBASARM
29	31644 42263	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3MBVNT|479ASPD|5CDMG|6ERES|8BEXP|aBASARM
30	31644 62263	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2LWND|3MBVNT|479ASPD|5CDMG|6AME|8BEXP|aBASARM
