0	Index      	 *	Score 	Summary	Detail	
1	15262 14131	 * 	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2ASPD|3DUR|4RCR|5RPLT|6DMG|7SPLARM|8VULN|9ZMB|aBASARM
2	24123 32222	 * 	201.06	ACR|3DMG|2VULN|1ASPD|1CDMG	19LWND|2CDMG|379DMG|4TLV|5RCR|6ERES|89VULN|9BPWR|aASPD
3	12266 17134	 * 	200.18	ACR|1BASARM|2DMG|2BEXP	19BEXP|29ERES|3DUR|4RCR|5MBVNT|6DUST|79DMG|8DLOT|9BPWR|aBASARM
4	15262 13124	 * 	198.31	ACR|2ASPD|2BEXP|3CDMG|1DMG	1aBEXP|2aASPD|3DUR|4RCR|5RPLT|6DMG|7RMIN|89aCDMG|aBPWR
5	24123 32224	 * 	196.92	ACR|3DMG|2VULN|1AART|1CDMG	19LWND|2CDMG|379DMG|4TLV|5RCR|6ERES|89VULN|9BPWR|aAART
6	11662 11116	 * 	195.23	ACR|1BASARM|2BEXP|1DMG|1VULN	17BEXP|2FEWX|3ZMB|4RCR|58RPLT|6DMG|9VULN|aBASARM
7	21662 11116	   	195.23	ACR|1BASARM|2BEXP|1DMG|1VULN	1LWND|27BEXP|3ZMB|4RCR|58RPLT|6DMG|9VULN|aBASARM
8	13462 11116	   	195.03	ACR|1BASARM|2BEXP|1DMG|1VULN	17BEXP|2AAC|3DUST|4RCR|58RPLT|6DMG|9VULN|aBASARM
9	15262 13134	   	192.27	ACR|2ASPD|2BEXP|1DMG|2CDMG	1aBEXP|2aASPD|39DUR|4RCR|5RPLT|6DMG|7RMIN|8aCDMG|aBPWR
10	24123 32225	 * 	191.92	ACR|3VULN|3DMG|1CDMG	19LWND|2CDMG|379DMG|4TLV|5RCR|6ERES|89aVULN|9BPWR
11	14236 23141	 * 	190.48	ACR|2ASPD|2BEXP|3CDMG|1VULN	17BEXP|246CDMG|36DUST|5RCR|6BPWR|8aASPD|9VULN
12	15262 24444	 * 	189.51	ACR|3BEXP|2ASPD|2VULN	168BEXP|2aASPD|3aDUR|4RCR|5RPLT|7MBVNT|9aVULN|aBPWR
13	13264 21113	   	189.51	ACR|2VULN|3BEXP|2ASPD	179BEXP|2AAC|3aDUR|4RCR|5FEWX|6aVULN|8aASPD|aBPWR
14	21666 21113	   	189.51	ACR|2VULN|3BEXP|2ASPD	1aLWND|279BEXP|3ZMB|4RCR|5MBVNT|6aVULN|8aASPD|aBPWR
15	21666 21413	 * 	189.51	ACR|2VULN|3BEXP|2DMG	1aLWND|279BEXP|3ZMB|4RCR|5MBVNT|6aVULN|8aDMG|aBPWR
16	13266 21113	   	189.41	ACR|3BEXP|2VULN|2ASPD	179BEXP|2AAC|3aDUR|4RCR|5MBVNT|6aVULN|8aASPD|aBPWR
17	13265 51113	   	189.41	ACR|2VULN|3BEXP|2ASPD	179BEXP|2AAC|3aDUR|4RCR|5DUST|6aVULN|8aASPD|aBPWR
18	11664 33233	 * 	187.65	ACR|1BASARM|3BEXP|1AART	189BEXP|2FEWX|3ZMB|4RCR|5BELT|6TLV|7BASARM|aAART
19	15262 13141	 * 	187.17	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1BEXP|2aASPD|3DUR|4RCR|5RPLT|6DMG|7RMIN|8CDMG|9VULN
20	12261 56231	 * 	185.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2ERES|389DUR|4RCR|5MSLREG|6CDMG|79DMG|9BPWR|aASPD
21	62623 23252	   	185.45	ACR|3DMG|1VULN|1ASPD|1CDMG	1RMIN|2VULN|3MLV|4CDMG|5RCR|6LWND|789DMG|aASPD
22	24123 32252	   	185.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1LWND|2CDMG|379DMG|4TLV|5RCR|6ERES|8VULN|aASPD
23	11662 24321	 * 	183.47	ACR|3BEXP|2DMG|2CDMG	168BEXP|2aFEWX|3ZMB|4RCR|5RPLT|7aCDMG|9aDMG|aBPWR
24	21662 24321	   	183.47	ACR|3BEXP|2DMG|2CDMG	1aLWND|268BEXP|3ZMB|4RCR|5RPLT|7aCDMG|9aDMG|aBPWR
25	13262 24321	   	183.37	ACR|3BEXP|2DMG|2CDMG	168BEXP|2AAC|3aDUR|4RCR|5RPLT|7aCDMG|9aDMG|aBPWR
26	13462 24321	   	183.17	ACR|3BEXP|2DMG|2CDMG	168BEXP|2AAC|3aDUST|4RCR|5RPLT|7aCDMG|9aDMG|aBPWR
27	15262 11116	 * 	183.12	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG	17BEXP|2ASPD|3DUR|4RCR|58RPLT|6DMG|9VULN|aCDMG
28	15262 11431	 * 	181.82	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AART	17BEXP|2ASPD|3DUR|4RCR|5RPLT|6DMG|8MLV|9AART|aCDMG
