0	Index      	 *	Score 	Summary	Detail	
1	32311 24333	 * 	200.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	14LWND|2LSRICY|3ASPD|5RCR|6LEGI|7BEXP|8BASARM|9aDMG
2	13243 43151	 * 	194.39	ACR|2AART|1ASPD|1DMG|1BASICY|1BEXP|1CDMG	1ERES|2FEWX|3DMG|4CDMG|5RCR|68AART|7BEXP|9ASPD|aBASICY
3	33263 21333	   	191.96	ACR|1BASARM|2DMG|1ASPD	17LWND|2TLV|37DMG|4RCR|5RPLT|67AEFBLL|7BPWR|8BASARM|9FEWX|aASPD
4	33263 21343	   	191.86	ACR|1BASARM|2DMG|1ASPD	17LWND|2TLV|37DMG|4RCR|5RPLT|67AEFBLL|7BPWR|8BASARM|9MBVNT|aASPD
5	52114 11251	 * 	190.66	3ASPD|3DMG|4VULN|3CDMG|1AART	189ASPD|2689VULN|346CDMG|5AART|689BPWR|789DMG|aDMSP
6	52114 11252	   	190.56	3ASPD|3DMG|4VULN|3CDMG|1AART	189ASPD|2689VULN|346CDMG|5AART|689BPWR|789DMG|aAME
7	52114 11253	   	190.56	3ASPD|3DMG|4VULN|3CDMG|1AART	189ASPD|2689VULN|346CDMG|5AART|689BPWR|789DMG|aAEFBLL
8	52231 22241	 * 	189.97	3ASPD|3DMG|1BASARM|2VULN|1AART	178ASPD|29VULN|389DMG|4AART|589DUR|6MBVNT|89BPWR|aBASARM
9	52231 21241	   	189.97	3ASPD|3DMG|1BASARM|2VULN|1AART	189ASPD|29VULN|378DMG|4AART|589DUR|6MBVNT|89BPWR|aBASARM
10	52241 61241	   	189.67	3ASPD|3DMG|1BASARM|2VULN|1AART	189ASPD|29VULN|378DMG|4MBVNT|589DUST|6AART|89BPWR|aBASARM
11	52241 62241	   	189.67	3ASPD|3DMG|1BASARM|2VULN|1AART	178ASPD|29VULN|389DMG|4MBVNT|589DUST|6AART|89BPWR|aBASARM
12	53124 22361	 * 	189.16	ACR|2ASPD|2BASICY|2CDMG|1BEXP|1AAC	1aASPD|2FEWX|3aCDMG|4DUR|5RCR|6BEXP|7aBASICY|8RMIN|9AAC|aBPWR
13	53124 22621	   	189.16	ACR|2ASPD|2BASICY|2CDMG|1BEXP|1AAC	1aASPD|2FEWX|3aCDMG|4DUR|5RCR|6BEXP|7aBASICY|8AAC|9RMIN|aBPWR
14	52631 11251	 * 	187.96	3ASPD|3DMG|3VULN|2AART|1BEXP|1AAC	189ASPD|289VULN|3AAC|4aAART|5DUR|6BEXP|789DMG|89BPWR
15	52633 11251	   	187.96	3ASPD|3DMG|3VULN|2AART|1BEXP|1AAC	189ASPD|289VULN|3AAC|4aAART|5LWND|6BEXP|789DMG|89BPWR
16	12134 23162	 * 	187.88	ACR|3BEXP|2VULN|1DMG|1AART|1CDMG	1ERES|29VULN|3CDMG|468BEXP|5RCR|7AART|aDMG
17	42134 23162	   	187.88	ACR|3BEXP|2VULN|1DMG|1AART|1CDMG	1AME|29VULN|3CDMG|468BEXP|5RCR|7AART|aDMG
18	51235 32361	 * 	187.86	3ASPD|1BASARM|2DMG|2VULN|1AART|1CDMG	169ASPD|2LHND|39DMG|4AART|5CGEN|7BASARM|89VULN|9BPWR|aCDMG
19	51236 32361	   	187.86	3ASPD|1BASARM|2DMG|2VULN|1AART|1CDMG	169ASPD|2LHND|39DMG|4AART|5MLV|7BASARM|89VULN|9BPWR|aCDMG
20	51233 22361	 * 	187.86	3DMG|1BASARM|2ASPD|2VULN|1AART|1CDMG	19ASPD|2LHND|359DMG|4AART|6CGEN|7BASARM|89VULN|9BPWR|aCDMG
21	51233 62361	   	187.76	3DMG|1BASARM|2ASPD|2VULN|1AART|1CDMG	19ASPD|2LHND|359DMG|4AART|6AME|7BASARM|89VULN|9BPWR|aCDMG
22	51234 32361	   	187.76	3ASPD|1BASARM|2DMG|2VULN|1AART|1CDMG	169ASPD|2LHND|39DMG|4AART|5TLV|7BASARM|89VULN|9BPWR|aCDMG
23	55211 32361	   	187.76	3ASPD|1BASARM|2DMG|2VULN|1AART|1CDMG	169ASPD|2TLV|39DMG|4LWND|5AART|7BASARM|89VULN|9BPWR|aCDMG
24	52262 13423	 * 	187.60	3ASPD|3DMG|4VULN|2BEXP|1AAC	17aASPD|278aVULN|357DMG|4MDPS|6AAC|7aBPWR|9aBEXP
