0	Index      	 *	Score 	Summary	Detail	
1	54133 34322	 * 	239.16	ACR|3DMG|2ASPD|2BEXP|1VULN|1AART	18ASPD|268DMG|3ERES|4RCR|5LWND|78BEXP|8BPWR|9AART|aVULN
2	54131 12224	 * 	230.23	ACR|2VULN|2ASPD|2DMG|2CDMG|1BEXP	1aASPD|29DMG|3ERES|4RCR|5BEXP|69VULN|7DUST|89CDMG|9BPWR
3	54132 52221	 * 	227.93	ACR|3ASPD|3DMG|2VULN	18aASPD|289DMG|3ERES|4RCR|5RPLT|6SNITOX|78VULN|8BPWR
4	54131 31511	 * 	223.10	ACR|1BASARM|2ASPD|2DMG|1BEXP	16ASPD|2aDMG|3ERES|4RCR|5BEXP|7AAC|8BASARM|9LWND
5	54131 31531	   	223.00	ACR|1BASARM|2ASPD|2DMG|1BEXP	16ASPD|2aDMG|3ERES|4RCR|5BEXP|7AAC|8BASARM|9MBVNT
6	54131 31523	 * 	221.26	ACR|3ASPD|1BASARM|1DMG|1BEXP	16aASPD|2DMG|3aERES|4RCR|5BEXP|7AAC|8BASARM|9aCGEN|aBPWR
7	54133 34313	 * 	221.10	ACR|3ASPD|3DMG|2BEXP	18aASPD|268DMG|3ERES|4RCR|5LWND|78BEXP|8BPWR|9RMIN
8	54131 31522	 * 	220.46	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	16ASPD|2DMG|3ERES|4RCR|5BEXP|7AAC|8BASARM|9CGEN|aVULN
9	54131 21523	 * 	220.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	1aASPD|2DMG|3aERES|4RCR|56BEXP|7AAC|8BASARM|9aCGEN|aBPWR
10	54131 31534	   	220.36	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	16ASPD|2DMG|3ERES|4RCR|5BEXP|7AAC|8BASARM|9MBVNT|aVULN
11	54131 21511	 * 	220.35	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|2aDMG|3ERES|4RCR|56BEXP|7AAC|8BASARM|9LWND
12	54131 21531	   	220.25	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|2aDMG|3ERES|4RCR|56BEXP|7AAC|8BASARM|9MBVNT
13	54133 34321	   	219.42	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|268DMG|3ERES|4RCR|5LWND|78BEXP|8BPWR|9AART|aRCVC
14	54133 34332	   	219.10	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|268DMG|3ERES|4RCR|5LWND|78BEXP|8BPWR|9LHND|aAART
15	54133 34323	   	219.00	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|268DMG|3ERES|4RCR|5LWND|78BEXP|8BPWR|9AART|aAEFBLL
16	54131 15222	   	218.78	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1ASPD|29DMG|3ERES|4RCR|5BEXP|69VULN|7LHND|89CDMG|9BPWR|aAAC
17	54131 12222	   	218.68	ACR|2VULN|2DMG|1ASPD|2CDMG|1BEXP|1AAC	1ASPD|29DMG|3ERES|4RCR|5BEXP|69VULN|7DUST|89CDMG|9BPWR|aAAC
18	54132 52212	   	218.31	ACR|3ASPD|2VULN|2DMG|1AAC	18aASPD|28DMG|3ERES|4RCR|5RPLT|6SNITOX|78VULN|8BPWR|9AAC
19	56523 23313	 * 	217.41	ACR|3VULN|3ASPD|2AART	15aASPD|257VULN|3MDPS|4RCR|5BPWR|68AART|9LHND
20	23623 23222	 * 	216.61	ACR|2VULN|1BASARM|1ASPD|1BASICY|1AART	12LHND|3BASICY|4RCR|56VULN|7ZMB|8ASPD|9BASARM|aAART
21	54131 21522	   	216.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN	1ASPD|2DMG|3ERES|4RCR|56BEXP|7AAC|8BASARM|9CGEN|aVULN
22	54131 21534	   	216.31	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN	1ASPD|2DMG|3ERES|4RCR|56BEXP|7AAC|8BASARM|9MBVNT|aVULN
23	54631 12322	 * 	216.31	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG	1ASPD|2DMG|3AAC|4RCR|5aBEXP|6VULN|7DUST|8SPLARM|9BASARM
24	54631 13322	   	216.31	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG	1ASPD|2DMG|3AAC|4RCR|5aBEXP|6VULN|7LEGI|8SPLARM|9BASARM
