0	Index      	 *	Score 	Summary	Detail	
1	35334 31423	 * 	224.81	ACR|3DMG|2VULN|2AART	19FEWX|2RCR|38AART|49VULN|5AEFBLL|6ZMB|79aDMG|9BPWR
2	35311 26151	 * 	222.75	ACR|1BASARM|2BEXP|1AART|1DMG|1AAC	1FEWX|2RCR|3AART|4ERES|5LWND|6aBEXP|7AAC|8BASARM|9DMG
3	35334 31422	   	220.80	ACR|2VULN|2DMG|2AART|1BEXP	19FEWX|2RCR|38AART|49VULN|5AEFBLL|6ZMB|79DMG|9BPWR|aBEXP
4	35334 31223	 * 	216.36	ACR|3VULN|3DMG|1AART	19FEWX|2RCR|3AART|489VULN|5AEFBLL|6ZMB|79aDMG|9BPWR
5	35333 14523	 * 	216.20	ACR|3BEXP|1VULN|1AART|1ASPD|1DMG	1FEWX|2RCR|3AART|4VULN|5LWND|69aBEXP|7DMG|8ASPD
6	65342 22223	   	214.96	ACR|3VULN|3DMG|1AART	189VULN|2RCR|3DUR|49aDMG|59ZMB|6RCVC|7AART|9BPWR
7	62252 23336	 * 	214.74	ACR|5VULN|2ASPD|2DMG	1246aVULN|3RCVC|5RCR|6aBPWR|7CGEN|8aDMG|9aASPD
8	65221 12523	 * 	214.50	ACR|2VULN|2ASPD|2BEXP|2CDMG	1aVULN|2RCR|3aLIT|46CDMG|57BEXP|8aASPD|9MDPS|aBPWR
9	35311 25151	   	214.44	ACR|1BASARM|2BEXP|1AART|1DMG	1FEWX|2RCR|3AART|4ERES|5LWND|6aBEXP|7RMIN|8BASARM|9DMG
10	35341 12533	   	214.34	ACR|1BASARM|2BEXP|1AART|1DMG	1FEWX|2RCR|3AART|4RPLT|5DMG|6TLV|7BASARM|8aBEXP|9DUST
11	35343 12533	 * 	214.34	ACR|1BASARM|2BEXP|1AART|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|6TLV|7BASARM|8aBEXP|9DUST
12	35343 12362	 * 	214.33	ACR|1BASARM|1AART|1ASPD|1DMG|1AAC	1FEWX|2RCR|3AART|4RPLT|5ASPD|6TLV|7BASARM|8LWND|9DMG|aAAC
13	35341 32312	   	213.36	ACR|1BASARM|1AART|1DMG|1BEXP|1CDMG	16FEWX|2RCR|3AART|4RPLT|5DMG|7CDMG|8ZMB|9BEXP|aBASARM
14	35343 32312	   	213.36	ACR|1BASARM|1AART|1ASPD|1BEXP|1CDMG	16FEWX|2RCR|3AART|4RPLT|5ASPD|7CDMG|8ZMB|9BEXP|aBASARM
15	65232 22281	 * 	212.21	ACR|1BASARM|2DMG|1VULN|1BEXP	1VULN|2RCR|3LIT|4DUR|5MBVNT|6AME|7BASARM|89DMG|aBEXP
16	35341 12343	 * 	212.05	ACR|1BASARM|2DMG|1AART|1AAC	1aFEWX|2RCR|3AART|4RPLT|5aDMG|6TLV|7BASARM|8aLWND|9AAC|aBPWR
17	35343 12343	 * 	212.05	ACR|1BASARM|2ASPD|1AART|1AAC	1aFEWX|2RCR|3AART|4RPLT|5aASPD|6TLV|7BASARM|8aLWND|9AAC|aBPWR
18	65132 21324	   	211.76	ACR|2VULN|2ASPD|2DMG|1AAC|1SELL	1aVULN|2RCR|3TLV|4aASPD|5AAC|6SELL|7ZMB|8MLV|9aDMG|aBPWR
19	35334 31222	   	211.35	ACR|3VULN|2DMG|1AART|1BEXP	19FEWX|2RCR|3AART|489VULN|5AEFBLL|6ZMB|79DMG|9BPWR|aBEXP
20	65234 12231	 * 	210.16	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RCR|3LIT|4DUR|5AME|6aBEXP|7BASARM|8DMG|9RCVC
21	65334 12231	   	210.16	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RCR|3DUR|4AME|5LIT|6aBEXP|7BASARM|8DMG|9RCVC
22	65342 22222	   	209.96	ACR|3VULN|2DMG|1AART|1BEXP	189VULN|2RCR|3DUR|49DMG|59ZMB|6RCVC|7AART|9BPWR|aBEXP
23	65253 12211	   	208.56	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RCR|3LIT|49LWND|5ERES|6aBEXP|7BASARM|8DMG
24	65253 12221	   	208.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RCR|3LIT|4LWND|59ERES|6aBEXP|7BASARM|8DMG
25	65112 13263	 * 	208.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1VULN|2RCR|3TLV|4BEXP|5ZMB|6CDMG|7LWND|8MBVNT|9BASARM|aASPD
26	35341 12262	   	207.91	ACR|1BASARM|1AART|1DMG|1BEXP|1AAC	1FEWX|2RCR|3AART|4RPLT|5DMG|6TLV|7BASARM|8ZMB|9BEXP|aAAC
27	35341 12323	   	207.91	ACR|1BASARM|1AART|1DMG|1BEXP|1AAC	1FEWX|2RCR|3AART|4RPLT|5DMG|6TLV|7BASARM|8LWND|9BEXP|aAAC
28	35341 12512	   	207.91	ACR|1BASARM|1AART|1DMG|1BEXP|1AAC	1FEWX|2RCR|3AART|4RPLT|5DMG|6TLV|7BASARM|8BEXP|9ZMB|aAAC
