0	Index      	 *	Score 	Summary	Detail	
1	36155 11344	 * 	195.14	ACR|4VULN|2ASPD|2BEXP	167aVULN|2RCVC|36LIT|4RCR|5MBVNT|6aBPWR|8aBEXP|9aASPD
2	33312 22362	 * 	172.32	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4LHND|5MLV|7BASARM|89ASPD|aRCR
3	33322 22362	   	172.32	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4FEWX|5MLV|7BASARM|89ASPD|aRCR
4	33342 22362	   	172.32	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4DUR|5MLV|7BASARM|89ASPD|aRCR
5	33362 22362	   	172.32	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4LWND|5MLV|7BASARM|89ASPD|aRCR
6	33311 22362	   	172.22	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4LHND|5ERES|7BASARM|89ASPD|aRCR
7	33321 22362	   	172.22	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4FEWX|5ERES|7BASARM|89ASPD|aRCR
8	33341 22362	   	172.22	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4DUR|5ERES|7BASARM|89ASPD|aRCR
9	33361 22362	   	172.22	DCR|1BASARM|2ASPD|2BEXP|1VULN	1VULN|2AME|36BEXP|4LWND|5ERES|7BASARM|89ASPD|aRCR
10	36155 11341	   	169.09	ACR|2ASPD|3VULN|1BEXP	167VULN|2RCVC|36LIT|4RCR|5MBVNT|6BPWR|8BEXP|9aASPD
11	21152 24521	 * 	168.38	ACR|1BASARM|1CDMG|1BEXP|1VULN	1CGEN|2ERES|3LIT|4RCR|5FEWX|6MDPS|7CDMG|8VULN|9BASARM|aBEXP
12	21155 46321	   	168.28	ACR|1BASARM|1CDMG|1BEXP|1VULN	1CGEN|2ERES|3LIT|4RCR|5MBVNT|6CDMG|7VULN|8MDPS|9BASARM|aBEXP
13	21152 31265	 * 	167.61	ACR|1BASARM|1DMG|1BEXP|1SELL	1CGEN|2ERES|3LIT|4RCR|5FEWX|6AME|7DMG|8SELL|9BEXP|aBASARM
14	36155 11444	   	166.65	ACR|4VULN|2ASPD	167aVULN|2RCVC|36LIT|4RCR|5MBVNT|6aBPWR|8aLHND|9aASPD
15	16152 33234	 * 	165.69	ACR|2DMG|2BEXP|1AART	1DUR|2RCVC|3LIT|4RCR|5FEWX|69DMG|7aBEXP|8AART
16	16152 33152	 * 	165.57	ACR|2DMG|1ASPD|1BEXP|1AAC	1DUR|2RCVC|3LIT|4RCR|5FEWX|6aDMG|7BEXP|8ASPD|9AAC
17	16552 33213	 * 	165.24	ACR|2DMG|2AART|1CDMG|1VULN	1DUR|2RCVC|3VENTOX|4CDMG|5RCR|68DMG|7aAART|9VULN
