0	Index      	 *	Score 	Summary	Detail	
1	34653 21321	 * 	239.20	ACR|1BASARM|2DMG|2BEXP|1ASPD|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8aBEXP
2	34652 33332	 * 	228.20	ACR|1BASARM|2ASPD|2DMG|1BEXP	19ASPD|28DMG|3RCR|4BASARM|5DUR|6NUKE|7LIT|aBEXP
3	34652 13213	 * 	226.76	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8AEMAG|9VULN|aCDMG
4	34653 22231	 * 	226.73	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6MLV|7VULN|8TLV|9BASICY|aBEXP
5	34651 13123	   	225.56	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9CGEN|aVULN
6	34651 23211	   	225.56	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6aLWND|8AEMAG|9VULN
7	34651 13211	   	225.46	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9VULN|aLWND
8	34651 13212	   	225.46	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9VULN|aDUR
9	34651 13313	   	225.46	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9LHND|aVULN
10	34651 23213	   	225.46	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9VULN|aDUST
11	34651 32131	 * 	225.39	ACR|2BASARM|2ASPD|1DMG|1BEXP	19ASPD|2DMG|3RCR|49BASARM|5BEXP|6NUKE|7CGEN|89LHND|9BPWR|aLWND
12	34651 32132	   	225.39	ACR|2BASARM|2ASPD|1DMG|1BEXP	19ASPD|2DMG|3RCR|49BASARM|5BEXP|6NUKE|7CGEN|89LHND|9BPWR|aDUR
13	34652 32133	   	225.39	ACR|2BASARM|2ASPD|1DMG|1CDMG	19ASPD|2DMG|3RCR|49BASARM|5DUR|6NUKE|7CGEN|89LHND|9BPWR|aCDMG
14	34651 13213	   	225.36	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9VULN|aTLV
15	34651 23224	 * 	225.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2DMG|3RCR|4BASARM|5aBEXP|6LWND|8AEMAG|9MBVNT
16	34651 23212	   	225.32	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1SELL	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9VULN|aSELL
17	34651 32133	   	225.29	ACR|2BASARM|2ASPD|1DMG|1BEXP	19ASPD|2DMG|3RCR|49BASARM|5BEXP|6NUKE|7CGEN|89LHND|9BPWR|aTLV
18	34651 13224	   	225.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2DMG|3RCR|4BASARM|5aBEXP|6DUST|8AEMAG|9MBVNT
19	34651 23111	   	224.36	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8LHND|9AART|aCGEN
20	34651 23112	   	224.36	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8LHND|9AART|aLIT
21	34653 21221	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8LWND|aBEXP
22	34653 21323	   	224.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8BEXP|aZMB
23	46122 53122	   	224.33	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1AART	1VENTOX|2AART|3ASPD|4RCR|5DMG|6BASARM|7FEWX|8ERES|9VULN|aBASICY
24	34651 13111	   	224.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9AART|aCGEN
25	34651 13112	   	224.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9AART|aLIT
26	34651 23113	   	224.26	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8LHND|9AART|aMDPS
27	34653 21322	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8BEXP|aMBVNT
28	46122 51322	   	224.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1AART	1VENTOX|2AART|3ASPD|4RCR|5DMG|6BASARM|7TLV|8DUST|9VULN|aBASICY
29	34651 13113	   	224.16	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9AART|aMDPS
30	34653 22123	   	221.73	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6MLV|7VULN|8LHND|9BEXP|aCDMG
31	34651 33222	   	221.63	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4BASARM|5BEXP|6NUKE|7LIT|8MLV|9CDMG|aVULN
32	34651 33322	   	221.53	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4BASARM|5BEXP|6NUKE|7LIT|8TLV|9CDMG|aVULN
33	34651 21312	   	221.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6LWND|7AAC|8CDMG|aCGEN
34	34651 21313	   	221.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6LWND|7AAC|8CDMG|aFEWX
35	34651 11322	   	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6DUST|7AAC|8CDMG|aCGEN
36	34651 11323	   	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6DUST|7AAC|8CDMG|aFEWX
37	34651 21311	   	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6LWND|7AAC|8CDMG|aERES
38	34651 31322	   	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6NUKE|7DUST|8CDMG|aCGEN
39	34651 31323	   	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6NUKE|7DUST|8CDMG|aFEWX
40	46122 53332	 * 	221.32	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1AAC	1VENTOX|29AART|3ASPD|4RCR|5DMG|6BASARM|7FEWX|8BEXP|aAAC
41	34651 11321	   	221.31	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6DUST|7AAC|8CDMG|aERES
42	34651 31321	   	221.31	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|59BEXP|6NUKE|7DUST|8CDMG|aERES
43	46122 52223	   	219.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1VENTOX|2AART|3ASPD|4RCR|5aDMG|6BASARM|7RPLT|8LHND|9BEXP
44	46122 52131	   	219.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AART	1VENTOX|2AART|38ASPD|4RCR|5DMG|6BASARM|7RPLT|9DUST|aCDMG
45	34651 13331	   	218.81	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AAC	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9AAC|aLWND
46	34651 13332	   	218.81	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AAC	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9AAC|aDUR
47	34651 13333	   	218.71	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AAC	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9AAC|aTLV
48	46122 31136	 * 	218.17	ACR|1BASARM|2AART|1VULN|1ASPD|1DMG	1VENTOX|29AART|3ASPD|4RCR|5DMG|6LHND|7FEWX|8BASARM|aVULN
49	46122 21137	   	218.07	ACR|1BASARM|2AART|1VULN|1ASPD|1DMG	1VENTOX|29AART|3ASPD|4RCR|5DMG|6MBVNT|7FEWX|8BASARM|aVULN
50	46122 53313	   	218.02	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1AART	1VENTOX|2AART|3ASPD|4RCR|5DMG|6BASARM|7FEWX|8BEXP|9RMIN|aVULN
51	46122 53323	   	217.92	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART|1BEXP	1VENTOX|2AART|3ASPD|4RCR|5DMG|6BASARM|7FEWX|8BEXP|9TLV|aVULN
52	34653 21133	   	217.92	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6MLV|7aAART|8AME|9CDMG
53	34653 31113	 * 	216.92	ACR|3VULN|1BASARM|1ASPD|1DMG	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6LWND|7DUST|89aVULN
54	34652 33331	   	214.45	ACR|1BASARM|2ASPD|2DMG	19ASPD|28DMG|3RCR|4BASARM|5DUR|6NUKE|7LIT|aMSLFST
55	34652 33333	   	214.45	ACR|1BASARM|2ASPD|2DMG	19ASPD|28DMG|3RCR|4BASARM|5DUR|6NUKE|7LIT|aAME
56	34653 22233	   	213.08	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6MLV|7VULN|8TLV|9BASICY|aLHND
57	34653 33332	   	213.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1VULN	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6LWND|7LIT|8TLV|9BASICY|aVULN
58	34653 33333	   	213.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1CDMG	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6LWND|7LIT|8TLV|9BASICY|aCDMG
59	46122 31134	   	213.02	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1VENTOX|29AART|3ASPD|4RCR|5DMG|6LHND|7FEWX|8BASARM|aBEXP
60	46122 53331	   	213.02	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1VENTOX|29AART|3ASPD|4RCR|5DMG|6BASARM|7FEWX|8BEXP|aCGEN
61	34653 22232	   	212.98	ACR|1BASARM|1VULN|1DMG|1ASPD|1BASICY	1ASPD|2DMG|3RCR|4BASARM|5CGEN|6MLV|7VULN|8TLV|9BASICY|aERES
62	46122 21134	   	212.92	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1VENTOX|29AART|3ASPD|4RCR|5DMG|6MBVNT|7FEWX|8BASARM|aCDMG
63	46122 21135	   	212.92	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1VENTOX|29AART|3ASPD|4RCR|5DMG|6MBVNT|7FEWX|8BASARM|aBEXP
64	46122 53333	   	212.92	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1VENTOX|29AART|3ASPD|4RCR|5DMG|6BASARM|7FEWX|8BEXP|aMBVNT
65	46122 27134	   	212.82	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1VENTOX|29AART|3ASPD|4RCR|5DMG|6MBVNT|7DUST|8BASARM|aCDMG
66	46122 21173	   	212.58	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART|1AAC	1VENTOX|2AART|3ASPD|4RCR|5DMG|6MBVNT|7FEWX|8BASARM|9AAC|aVULN
67	34652 13212	   	212.14	ACR|1BASARM|2ASPD|1VULN|1DMG	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8AEMAG|9VULN|aRCVC
68	34652 32132	   	212.07	ACR|2BASARM|2ASPD|1DMG	19ASPD|2DMG|3RCR|49BASARM|5DUR|6NUKE|7CGEN|89LHND|9BPWR|aRCVC
69	34652 13123	   	211.91	ACR|1BASARM|2ASPD|1DMG|1VULN	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8LHND|9CGEN|aVULN
70	34652 23211	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	17ASPD|2DMG|3RCR|4BASARM|5DUR|6aLWND|8AEMAG|9VULN
71	34652 13211	   	211.81	ACR|1BASARM|2ASPD|1VULN|1DMG	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8AEMAG|9VULN|aLWND
72	34652 13313	   	211.81	ACR|1BASARM|2ASPD|1DMG|1VULN	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8ERES|9LHND|aVULN
73	34652 23213	   	211.81	ACR|1BASARM|2ASPD|1VULN|1DMG	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8AEMAG|9VULN|aDUST
74	34652 32131	   	211.74	ACR|2BASARM|2ASPD|1DMG	19ASPD|2DMG|3RCR|49BASARM|5DUR|6NUKE|7CGEN|89LHND|9BPWR|aLWND
75	34652 23212	   	211.67	ACR|1BASARM|2ASPD|1VULN|1DMG|1SELL	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8AEMAG|9VULN|aSELL
76	34653 21222	   	211.03	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8LWND|aRCVC
77	34651 33123	   	210.93	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ASPD|29DMG|3RCR|4BASARM|5BEXP|6NUKE|7LIT|8DUR|aRCVC
78	34651 23122	   	210.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8LHND|9CGEN|aMLV
79	34651 23123	   	210.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8LHND|9CGEN|aRPLT
80	34651 23131	   	210.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|69aLWND|8LHND
81	34652 23111	   	210.71	ACR|1BASARM|2ASPD|1DMG|1AART	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8LHND|9AART|aCGEN
82	34652 23112	   	210.71	ACR|1BASARM|2ASPD|1DMG|1AART	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8LHND|9AART|aLIT
83	34653 21223	   	210.71	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8LWND|aDUR
84	34631 31251	   	210.61	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7CGEN|8AART|9BASARM|aRPLT
85	34631 31252	   	210.61	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7CGEN|8AART|9BASARM|aLWND
86	34631 31253	   	210.61	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7CGEN|8AART|9BASARM|aLIT
87	34651 13122	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9CGEN|aRPLT
88	34651 13131	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8aLHND|9LWND
89	34651 13132	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9LWND|aDUR
90	34651 23121	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8LHND|9CGEN|aDUST
91	34651 23133	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|69LWND|8LHND|aDUST
92	34651 23231	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9LIT|aFEWX
93	34651 23233	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9LIT|aZMB
94	34651 33122	   	210.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ASPD|29DMG|3RCR|4BASARM|5BEXP|6NUKE|7LIT|8DUR|aRPLT
95	34652 13111	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8LHND|9AART|aCGEN
96	34652 13112	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8LHND|9AART|aLIT
97	34652 13133	   	210.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8LHND|9LWND|aCDMG
98	34652 23113	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8LHND|9AART|aMDPS
99	34652 23231	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8AEMAG|9LIT|aBEXP
100	34652 33132	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	19ASPD|2DMG|3RCR|4BASARM|58DUR|6NUKE|7LIT|aBEXP
101	34652 33323	   	210.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ASPD|28DMG|3RCR|4BASARM|5DUR|6NUKE|7LIT|9RPLT|aBEXP
102	34653 12331	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	1aASPD|2DMG|3RCR|4BASARM|58CGEN|6DMSP|7AART|9TLV
103	34631 32251	   	210.51	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7AME|8AART|9BASARM|aRPLT
104	34631 32252	   	210.51	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7AME|8AART|9BASARM|aLWND
105	34631 32253	   	210.51	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7AME|8AART|9BASARM|aLIT
106	34631 33251	   	210.51	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7ERES|8AART|9BASARM|aRPLT
107	34631 33252	   	210.51	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7ERES|8AART|9BASARM|aLWND
108	34631 33253	   	210.51	ACR|1BASARM|2DMG|1ASPD|1AART	1ASPD|26DMG|3RCR|4DMSP|5AEFBLL|7ERES|8AART|9BASARM|aLIT
109	34651 13121	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6aDUST|8LHND|9CGEN
110	34651 13133	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8LHND|9LWND|aTLV
111	34651 13231	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9LIT|aFEWX
